Unnamed: 0,SEA,SFO
First Downs,15,18
Rush-Yds-TDs,21-70-0,34-262-1
Cmp-Att-Yd-TD-INT,19-31-252-2-3,19-25-163-1-0
Sacked-Yards,2-19,1-9
Net Pass Yards,233,154
Total Yards,303,416
Fumbles-Lost,2-2,1-1
Turnovers,5,1
Penalties-Yards,5-30,5-39
Third Down Conv.,1-8,3-13
Fourth Down Conv.,0-2,0-0
Time of Possession,23:48,36:12
