Quarter,Time,Tm,Detail,PIT,CLE
1.0,12:34,Browns,Phil Dawson 31 yard field goal,0,3
,0:41,Steelers,Jerome Bettis 5 yard rush (Jeff Reed kick),7,3
2.0,4:29,Steelers,Jerome Bettis 1 yard rush (Jeff Reed kick),14,3
4.0,12:25,Steelers,Jeff Reed 20 yard field goal,17,3
,9:14,Steelers,Russell Stuvaints 24 yard defensive fumble return (Jeff Reed kick),24,3
,6:23,Browns,Aaron Shea 7 yard pass from Kelly Holcomb (Phil Dawson kick),24,10
