Unnamed: 0,PIT,CLE
First Downs,18,12
Rush-Yds-TDs,47-180-2,22-68-0
Cmp-Att-Yd-TD-INT,10-16-134-0-1,12-25-174-1-2
Sacked-Yards,2-14,4-14
Net Pass Yards,120,160
Total Yards,300,228
Fumbles-Lost,0-0,3-2
Turnovers,1,4
Penalties-Yards,5-38,3-11
Third Down Conv.,7-15,2-10
Fourth Down Conv.,0-0,1-1
Time of Possession,36:00,24:00
