Unnamed: 0,CIN,MIA
First Downs,25,29
Rush-Yds-TDs,25-59-0,34-96-1
Cmp-Att-Yd-TD-INT,33-56-396-4-0,31-52-419-4-1
Sacked-Yards,4-25,2-13
Net Pass Yards,371,406
Total Yards,430,502
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,10-77,6-47
Third Down Conv.,4-18,6-16
Fourth Down Conv.,3-3,0-0
Time of Possession,33:36,36:24
