Quarter,Time,Down,ToGo,Location,CIN,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,MIA 25,0,0,Patrick Laird right guard for 2 yards (tackle by Carlos Dunlap),0.610,0.330
1,14:25,2,8,MIA 27,0,0,Ryan Fitzpatrick pass complete short middle to Allen Hurns for 14 yards (tackle by B.W. Webb),0.330,1.660
1,13:46,1,10,MIA 41,0,0,Ryan Fitzpatrick pass incomplete short middle intended for DeVante Parker (defended by Nick Vigil),1.660,1.120
1,13:42,2,10,MIA 41,0,0,Patrick Laird right guard for 7 yards (tackle by Jessie Bates and Nick Vigil),1.120,1.360
1,13:01,3,3,MIA 48,0,0,Ryan Fitzpatrick pass complete short left to Albert Wilson for 12 yards (tackle by B.W. Webb),1.360,2.920
1,12:21,1,10,CIN 40,0,0,Patrick Laird right tackle for no gain (tackle by Sam Hubbard),2.920,2.370
1,11:50,2,10,CIN 40,0,0,"Ryan Fitzpatrick pass complete short left to Patrick Laird for 1 yard (tackle by Jessie Bates). Penalty on Michael Deiter: Offensive Holding, 10 yards. Penalty on Shaq Calhoun: Ineligible Downfield Pass, 10 yards",2.370,1.160
1,11:22,2,19,CIN 49,0,0,Ryan Fitzpatrick pass complete deep right to Allen Hurns for 27 yards (tackle by Darqueze Dennard and Shawn Williams),1.160,4.110
1,10:48,1,10,CIN 22,0,0,Myles Gaskin right end for no gain (tackle by Carl Lawson),4.110,3.560
1,10:06,2,10,CIN 22,0,0,Ryan Fitzpatrick pass complete short middle to Albert Wilson for 14 yards (tackle by Shawn Williams and Germaine Pratt),3.560,5.370
1,9:24,1,8,CIN 8,0,0,Ryan Fitzpatrick pass complete short right to Albert Wilson for 7 yards (tackle by Shawn Williams),5.370,5.910
1,8:39,2,1,CIN 1,0,6,"Ryan Fitzpatrick pass complete short right to Christian Wilkins for 1 yard (tackle by Jessie Bates). Christian Wilkins fumbles (forced by Jessie Bates), recovered by Christian Wilkins at CIN--3, touchdown",5.910,7.000
1,8:32,,,CIN 15,0,7,Jason Sanders kicks extra point good,0.000,0.000
1,8:32,,,MIA 35,0,7,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,8:32,1,10,CIN 25,0,7,Joe Mixon right guard for 2 yards (tackle by Jerome Baker and Davon Godchaux),0.610,0.330
1,8:00,2,8,CIN 27,0,7,Andy Dalton sacked by Zach Sieler for -8 yards,0.330,-1.510
1,7:19,3,16,CIN 19,0,7,Andy Dalton pass complete short left to Tyler Boyd for 7 yards (tackle by Tae Hayes and Jomal Wiltz),-1.510,-1.630
1,7:05,4,9,CIN 26,0,7,"Kevin Huber punts 57 yards, returned by Trevor Davis for 8 yards (tackle by Hardy Nickerson)",-1.630,-0.610
1,6:54,1,10,MIA 25,0,7,Ryan Fitzpatrick pass complete short middle to Albert Wilson for -2 yards (tackle by Sam Hubbard and Shawn Williams),0.610,-0.210
1,6:30,2,12,MIA 23,0,7,Ryan Fitzpatrick pass incomplete short middle intended for Mike Gesicki,-0.210,-0.890
1,6:26,3,12,MIA 23,0,7,Ryan Fitzpatrick pass complete deep middle to DeVante Parker for 19 yards (tackle by Clayton Fejedelem). Penalty on Carl Lawson: Illegal Use of Hands (Declined),-0.890,1.730
1,6:02,1,10,MIA 42,0,7,Ryan Fitzpatrick pass complete deep middle to DeVante Parker for 51 yards (tackle by William Jackson),1.730,5.600
1,5:12,,,,,,Timeout #1 by Miami Dolphins,,
1,5:12,1,7,CIN 7,0,7,Ryan Fitzpatrick pass incomplete short middle intended for DeVante Parker,5.600,4.760
1,5:09,2,7,CIN 7,0,7,Ryan Fitzpatrick pass incomplete short right intended for Mike Gesicki,4.760,3.810
1,5:05,3,7,CIN 7,0,13,"Ryan Fitzpatrick pass complete short middle to DeVante Parker for 7 yards, touchdown",3.810,7.000
1,5:00,,,CIN 15,0,14,Jason Sanders kicks extra point good,0.000,0.000
1,5:00,,,MIA 35,0,14,"Jason Sanders kicks off 62 yards, returned by Darius Phillips for 21 yards (tackle by Patrick Laird)",0.000,0.540
1,4:54,1,10,CIN 24,0,14,John Ross right end for 1 yard (tackle by Eric Rowe),0.540,0.130
1,4:28,2,9,CIN 25,0,14,Joe Mixon up the middle for 1 yard (tackle by Christian Wilkins),0.130,-0.430
1,3:44,3,8,CIN 26,0,14,Andy Dalton pass incomplete deep left intended for John Ross,-0.430,-1.630
1,3:39,4,8,CIN 26,0,14,"Kevin Huber punts 59 yards, returned by Trevor Davis for 10 yards (tackle by Stanley Morgan and Tony McRae). Penalty on Mack Hollins: Illegal Block Above the Waist, 10 yards",-1.630,0.220
1,3:25,1,10,MIA 15,0,14,Ryan Fitzpatrick pass incomplete deep left intended for DeVante Parker,-0.220,-0.710
1,3:21,2,10,MIA 15,0,14,Ryan Fitzpatrick pass incomplete short middle intended for DeVante Parker,-0.710,-1.370
1,3:18,3,10,MIA 15,0,14,Ryan Fitzpatrick pass complete short middle to Albert Wilson for 7 yards (tackle by Darqueze Dennard),-1.370,-1.900
1,2:31,4,3,MIA 22,0,14,"Matt Haack punts 57 yards, returned by Darius Phillips for -1 yards (tackle by Patrick Laird)",-1.900,-0.280
1,2:18,1,10,CIN 20,0,14,Andy Dalton sacked by and Jerome Baker for no gain and Davon Godchaux for no gain,0.280,-0.270
1,1:44,2,10,CIN 20,0,14,Andy Dalton pass complete short left to Tyler Boyd for 19 yards (tackle by Jomal Wiltz),-0.270,1.530
1,1:09,1,10,CIN 39,0,14,Joe Mixon left end for 4 yards (tackle by Zach Sieler and Jerome Baker),1.530,1.530
1,0:28,2,6,CIN 43,0,14,"Penalty on Jamal Davis: Neutral Zone Infraction, 5 yards (no play)",1.530,2.200
1,0:12,2,1,CIN 48,0,14,Giovani Bernard left guard for 3 yards (tackle by Davon Godchaux),2.200,2.320
Quarter,Time,Down,ToGo,Location,CIN,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIA 49,0,14,Andy Dalton pass incomplete short left intended for Tyler Boyd (defended by Adrian Colbert),2.320,1.780
2,14:54,2,10,MIA 49,0,14,Andy Dalton pass complete deep left to John Ross for 34 yards (tackle by Tae Hayes),1.780,4.580
2,14:28,1,10,MIA 15,0,14,Joe Mixon left end for 3 yards (tackle by Eric Rowe),4.580,4.450
2,13:45,2,7,MIA 12,0,14,Joe Mixon left tackle for 8 yards (tackle by Adrian Colbert and Trent Harris),4.450,6.280
2,13:06,1,4,MIA 4,0,14,Joe Mixon up the middle for 2 yards (tackle by Zach Sieler and Davon Godchaux),6.280,5.720
2,12:27,2,2,MIA 2,0,14,Joe Mixon right guard for 1 yard (tackle by Davon Godchaux),5.720,5.170
2,11:48,3,1,MIA 1,0,14,Joe Mixon up the middle for -1 yards (tackle by Jerome Baker),5.170,3.250
2,10:51,4,2,MIA 2,3,14,Randy Bullock 20 yard field goal good,3.250,3.000
2,10:49,,,CIN 35,3,14,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
2,10:49,1,10,MIA 25,3,14,De'Lance Turner up the middle for 5 yards (tackle by Andrew Billings and Sam Hubbard),0.610,0.740
2,10:14,2,5,MIA 30,3,14,De'Lance Turner up the middle for 1 yard (tackle by Germaine Pratt),0.740,0.170
2,9:33,3,4,MIA 31,3,14,Ryan Fitzpatrick pass incomplete deep left intended for Mike Gesicki,0.170,-1.310
2,9:29,4,4,MIA 31,3,14,"Matt Haack punts 50 yards, returned by Alex Erickson for 17 yards (tackle by Durham Smythe)",-1.310,-1.330
2,9:16,1,10,CIN 36,3,14,John Ross right end for 5 yards (tackle by Trent Harris),1.330,1.470
2,8:41,2,5,CIN 41,3,14,Joe Mixon left guard for 2 yards (tackle by Zach Sieler and Vince Biegel),1.470,1.030
2,8:00,3,3,CIN 43,3,14,Andy Dalton pass incomplete short left intended for Tyler Eifert,1.030,-0.520
2,7:56,4,3,CIN 43,3,14,Kevin Huber punts 51 yards out of bounds,-0.520,0.380
2,7:46,1,10,MIA 6,3,14,Myles Gaskin right tackle for no gain (tackle by Darqueze Dennard),-0.380,-0.780
2,7:08,2,10,MIA 6,3,14,Ryan Fitzpatrick pass incomplete short right intended for Myles Gaskin (defended by Carlos Dunlap),-0.780,-1.420
2,7:05,3,10,MIA 6,3,14,Ryan Fitzpatrick pass incomplete deep right intended for Mike Gesicki (defended by Greg Mabin),-1.420,-2.490
2,6:59,4,10,MIA 6,3,14,"Matt Haack punts 60 yards, returned by Alex Erickson for 10 yards (tackle by Patrick Laird). Penalty on Tony McRae: Offensive Holding, 10 yards",-2.490,-1.200
2,6:47,1,10,CIN 34,3,14,Andy Dalton pass complete short right to C.J. Uzomah for 5 yards (tackle by Jerome Baker),1.200,1.330
2,6:02,2,5,CIN 39,3,14,Joe Mixon left end for no gain (tackle by Zach Sieler),1.330,0.630
2,5:19,3,5,CIN 39,3,14,Andy Dalton pass incomplete short right intended for Alex Erickson (defended by Jerome Baker),0.630,-0.780
2,5:16,4,5,CIN 39,3,14,"Kevin Huber punts 48 yards, fair catch by Trevor Davis at MIA-13",-0.780,0.320
2,5:08,1,10,MIA 13,3,14,Ryan Fitzpatrick pass incomplete short middle intended for DeVante Parker,-0.320,-0.770
2,5:04,2,10,MIA 13,3,14,Ryan Fitzpatrick right end for 15 yards (tackle by Carlos Dunlap),-0.770,0.810
2,4:27,1,10,MIA 28,3,14,Ryan Fitzpatrick pass complete short right to Mike Gesicki for 2 yards (tackle by Shawn Williams),0.810,0.530
2,3:50,2,8,MIA 30,3,14,Ryan Fitzpatrick pass complete short middle to Albert Wilson for 35 yards (tackle by Darqueze Dennard),0.530,3.250
2,3:08,1,10,CIN 35,3,14,Ryan Fitzpatrick pass complete short left to Isaiah Ford for 4 yards (tackle by Hardy Nickerson),3.250,3.240
2,2:27,2,6,CIN 31,3,20,"Ryan Fitzpatrick pass complete deep right to Mike Gesicki for 31 yards, touchdown",3.240,7.000
2,2:20,,,CIN 15,3,21,Jason Sanders kicks extra point good,0.000,0.000
