Quarter,Time,Tm,Detail,CIN,MIA
1,8:32,Dolphins,Christian Wilkins 1 yard pass from Ryan Fitzpatrick (Jason Sanders kick),0,7
,5:00,Dolphins,DeVante Parker 7 yard pass from Ryan Fitzpatrick (Jason Sanders kick),0,14
2,10:49,Bengals,Randy Bullock 20 yard field goal,3,14
,2:20,Dolphins,Mike Gesicki 31 yard pass from Ryan Fitzpatrick (Jason Sanders kick),3,21
,0:02,Bengals,Randy Bullock 57 yard field goal,6,21
3,8:24,Dolphins,Mike Gesicki 13 yard pass from Ryan Fitzpatrick (Jason Sanders kick),6,28
,3:38,Bengals,Tyler Boyd 34 yard pass from Andy Dalton (pass failed),12,28
4,11:12,Dolphins,Myles Gaskin 2 yard rush (Jason Sanders kick),12,35
,6:11,Bengals,C.J. Uzomah 8 yard pass from Andy Dalton (Randy Bullock kick),19,35
,0:29,Bengals,Tyler Boyd 3 yard pass from Andy Dalton (Tyler Eifert pass from Andy Dalton),27,35
,0:00,Bengals,Tyler Eifert 25 yard pass from Andy Dalton (Andy Dalton run),35,35
OT,0:00,Dolphins,Jason Sanders 37 yard field goal,35,38
