Quarter,Time,Tm,Detail,GNB,MIN
1.0,13:17,Packers,Mason Crosby 54 yard field goal,3,0
,9:14,Vikings,Greg Joseph 51 yard field goal,3,3
,1:48,Vikings,Dalvin Cook 1 yard rush (Greg Joseph kick failed),3,9
2.0,7:37,Vikings,Adam Thielen 10 yard pass from Kirk Cousins (Greg Joseph kick),3,16
,0:30,Packers,Josiah Deguara 25 yard pass from Aaron Rodgers (Mason Crosby kick),10,16
3.0,8:26,Vikings,Justin Jefferson 9 yard pass from Kirk Cousins (Greg Joseph kick),10,23
,3:35,Packers,Davante Adams 10 yard pass from Aaron Rodgers (Mason Crosby kick),17,23
4.0,7:49,Packers,Davante Adams 18 yard pass from Aaron Rodgers (Mason Crosby kick),24,23
,2:17,Vikings,Justin Jefferson 23 yard pass from Kirk Cousins (Dalvin Cook run),24,31
,2:08,Packers,Marquez Valdes-Scantling 75 yard pass from Aaron Rodgers (Mason Crosby kick),31,31
,0:00,Vikings,Greg Joseph 29 yard field goal,31,34
