Unnamed: 0,GNB,MIN
First Downs,21,25
Rush-Yds-TDs,19-95-0,29-90-1
Cmp-Att-Yd-TD-INT,23-33-385-4-0,24-35-341-3-0
Sacked-Yards,2-13,2-23
Net Pass Yards,372,318
Total Yards,467,408
Fumbles-Lost,1-0,2-0
Turnovers,0,0
Penalties-Yards,8-92,3-25
Third Down Conv.,7-11,9-13
Fourth Down Conv.,0-0,0-0
Time of Possession,28:59,31:01
