Quarter,Time,Down,ToGo,Location,GNB,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Greg Joseph kicks off 65 yards, touchback.",,
1,15:00,1,10,GNB 25,0,0,Aaron Rodgers pass complete short right to Davante Adams for 37 yards (tackle by Eric Kendricks),,
1,14:16,1,10,MIN 38,0,0,Aaron Rodgers pass incomplete short middle intended for Marquez Valdes-Scantling (defended by Xavier Woods),,
1,14:13,2,10,MIN 38,0,0,Aaron Rodgers pass complete short right to AJ Dillon for 2 yards (tackle by Armon Watts and Eric Kendricks),,
1,13:28,3,8,MIN 36,0,0,Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling,,
1,13:22,4,8,MIN 36,3,0,Mason Crosby 54 yard field goal good,,
1,13:17,,,GNB 35,3,0,"Mason Crosby kicks off 65 yards, touchback.",,
1,13:17,1,10,MIN 25,3,0,Dalvin Cook up the middle for -1 yards (tackle by Preston Smith),,
1,12:45,2,11,MIN 24,3,0,Kirk Cousins pass complete short left to Justin Jefferson for 5 yards (tackle by Kevin King),,
1,12:12,3,6,MIN 29,3,0,Kirk Cousins pass complete deep right to Justin Jefferson for 43 yards (tackle by Darnell Savage),,
1,11:26,1,10,GNB 28,3,0,Dalvin Cook right guard for 6 yards (tackle by De'Vondre Campbell and Eric Stokes),,
1,10:42,2,4,GNB 22,3,0,Dalvin Cook right end for -1 yards (tackle by Tyler Lancaster and Preston Smith),,
1,10:03,3,5,GNB 23,3,0,Kirk Cousins sacked by Preston Smith for -10 yards,,
1,9:20,4,15,GNB 33,3,3,Greg Joseph 51 yard field goal good,,
1,9:14,,,MIN 35,3,3,"Greg Joseph kicks off 65 yards, touchback.",,
1,9:14,1,10,GNB 25,3,3,AJ Dillon up the middle for 4 yards (tackle by D.J. Wonnum and Armon Watts),,
1,8:48,2,6,GNB 29,3,3,"Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling. Penalty on Patrick Peterson: Defensive Holding, 5 yards (accepted) (no play)",,
1,8:41,1,10,GNB 34,3,3,Aaron Rodgers pass complete short left to AJ Dillon for 4 yards (tackle by Mackensie Alexander and Bashaud Breeland),,
1,8:00,2,6,GNB 38,3,3,Aaron Rodgers pass complete short right to AJ Dillon for 13 yards (tackle by Eric Kendricks and Anthony Barr),,
1,7:15,1,10,MIN 49,3,3,Patrick Taylor left end for 1 yard (tackle by Armon Watts),,
1,6:35,2,9,MIN 48,3,3,Aaron Rodgers pass incomplete short right intended for Davante Adams (defended by Bashaud Breeland),,
1,6:28,3,9,MIN 48,3,3,"Penalty on Lucas Patrick: False Start, 5 yards (accepted) (no play)",,
1,6:28,3,14,GNB 47,3,3,"Aaron Rodgers pass complete short left to Patrick Taylor for no gain (tackle by Harrison Smith). Penalty on Everson Griffen: Defensive Offside, 5 yards (accepted) (no play)",,
1,6:07,3,9,MIN 48,3,3,"Aaron Rodgers sacked by Armon Watts for -8 yards. Aaron Rodgers fumbles (forced by Armon Watts), recovered by Aaron Rodgers at GB-44 (tackle by Armon Watts)",,
1,5:15,4,17,GNB 44,3,3,"Corey Bojorquez punts 40 yards, fair catch by Dede Westbrook at MIN-16",,
1,5:08,1,10,MIN 16,3,3,Kirk Cousins pass complete short left to Dalvin Cook for 3 yards (tackle by De'Vondre Campbell),,
1,4:33,2,7,MIN 19,3,3,Dalvin Cook left tackle for 3 yards (tackle by Adrian Amos),,
1,3:52,3,4,MIN 22,3,3,Kirk Cousins pass complete deep left to Adam Thielen for 18 yards,,
1,3:19,1,10,MIN 40,3,3,Alexander Mattison left end for 3 yards (tackle by Oren Burks and Tyler Lancaster),,
1,2:40,2,7,MIN 43,3,3,"Kirk Cousins pass complete deep right to Justin Jefferson for 56 yards (tackle by Adrian Amos) MIN challenged the runner broke the plane ruling, and the play was upheld.",,
1,1:51,1,1,GNB 1,3,9,"Dalvin Cook up the middle for 1 yard, touchdown",,
1,1:48,,,GNB 15,3,9,Greg Joseph kicks extra point no good,,
1,1:48,,,MIN 35,3,9,"Greg Joseph kicks off 65 yards, touchback.",,
1,1:48,1,10,GNB 25,3,9,AJ Dillon up the middle for 5 yards (tackle by Eric Kendricks),,
1,1:22,2,5,GNB 30,3,9,Aaron Rodgers pass complete short left to AJ Dillon for 3 yards (tackle by Patrick Peterson),,
1,0:44,3,2,GNB 33,3,9,Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for 5 yards (tackle by Harrison Smith),,
1,0:03,1,10,GNB 38,3,9,"Penalty on Royce Newman: False Start, 5 yards (accepted) (no play)",,
