0,1
Officials,Officials
Referee,Jerome Boger
Umpire,Carl Paganelli
Head Linesman,Jerry Bergman
Line Judge,Tom Stephan
Back Judge,Dino Paganelli
Side Judge,Joe Larrew
Field Judge,Doug Rosenbaum
