Quarter,Time,Tm,Detail,WAS,CAR
1.0,7:31,Panthers,Olindo Mare 20 yard field goal,0,3
2.0,12:24,Redskins,Graham Gano 31 yard field goal,3,3
,5:02,Panthers,Olindo Mare 45 yard field goal,3,6
,1:02,Redskins,Graham Gano 49 yard field goal,6,6
,0:02,Panthers,Olindo Mare 45 yard field goal,6,9
3.0,12:17,Panthers,Cam Newton 16 yard rush (Olindo Mare kick),6,16
,8:14,Redskins,John Beck 4 yard rush (Graham Gano kick),13,16
,2:17,Panthers,Jonathan Stewart 2 yard rush (Olindo Mare kick),13,23
4.0,8:13,Panthers,Brandon LaFell 2 yard pass from Cam Newton (Olindo Mare kick),13,30
,5:05,Redskins,Fred Davis 7 yard pass from John Beck (Graham Gano kick),20,30
,1:56,Panthers,Olindo Mare 40 yard field goal,20,33
