Unnamed: 0,WAS,CAR
First Downs,22,20
Rush-Yds-TDs,23-92-1,37-175-2
Cmp-Att-Yd-TD-INT,22-37-279-1-1,18-23-256-1-0
Sacked-Yards,3-18,4-24
Net Pass Yards,261,232
Total Yards,353,407
Fumbles-Lost,2-2,1-0
Turnovers,3,0
Penalties-Yards,3-26,13-105
Third Down Conv.,5-12,5-12
Fourth Down Conv.,0-2,0-0
Time of Possession,24:30,35:30
