Quarter,Time,Down,ToGo,Location,WAS,CAR,Detail,EPB,EPA
1,6:55,2,9,WAS 21,0,3,Tim Hightower right end for 10 yards (tackle by Jason Phillips),-0.130,1.000
1,6:24,1,10,WAS 31,0,3,John Beck pass complete short middle to Santana Moss for 16 yards (tackle by James Anderson),1.000,2.060
1,5:41,1,10,WAS 47,0,3,Tim Hightower right end for 6 yards (tackle by Dan Connor),2.060,2.330
1,5:34,2,4,CAR 47,0,3,Tim Hightower left guard for 7 yards (tackle by James Anderson),2.330,2.920
1,4:57,1,10,CAR 40,0,3,John Beck pass incomplete deep middle intended for Fred Davis (defended by James Anderson),2.920,2.370
1,4:57,2,10,CAR 40,0,3,"Penalty on Fred Davis: False Start, 5 yards (no play)",2.370,1.700
1,4:53,2,15,CAR 45,0,3,John Beck pass incomplete short right intended for Tim Hightower (defended by Antwan Applewhite),1.700,1.030
1,4:49,3,15,CAR 45,0,3,"John Beck sacked by Antwan Applewhite for -7 yards. John Beck fumbles (forced by Antwan Applewhite), recovered by Terrell McClain at WAS-48 (tackle by Erik Cook)",1.030,-2.390
1,4:41,1,10,WAS 48,0,3,Cam Newton sacked by Adam Carriker and LaRon Landry for -6 yards. Penalty on Byron Bell: Face Mask (15 Yards) (Declined),2.390,1.040
1,4:22,2,16,CAR 46,0,3,Cam Newton pass complete short right to Legedu Naanee for 8 yards (tackle by DeAngelo Hall),1.040,1.420
1,3:42,3,8,WAS 46,0,3,Cam Newton pass incomplete deep left intended for Brandon LaFell,1.420,0.200
1,3:36,4,8,WAS 46,0,3,"Jason Baker punts 33 yards, fair catch by Brandon Banks",0.200,0.320
1,3:28,1,10,WAS 13,0,3,Tim Hightower left end for 17 yards (tackle by Charles Godfrey),-0.320,0.940
1,2:50,1,10,WAS 30,0,3,Tim Hightower left end for 2 yards (tackle by Dan Connor),0.940,0.660
1,2:10,2,8,WAS 32,0,3,Tim Hightower right tackle for 5 yards (tackle by James Anderson),0.660,0.630
1,1:25,3,3,WAS 37,0,3,"John Beck pass incomplete short left intended for Santana Moss. Penalty on Charles Johnson: Defensive Offside (Offsetting), Penalty on Sean Locklear: Offensive Holding (Offsetting) (no play)",0.630,0.630
1,1:22,3,3,WAS 37,0,3,"Roy Helu left end for -1 yards (tackle by James Anderson and Darius Butler). Penalty on Thomas Williams: Unsportsmanlike Conduct, 15 yards",0.630,2.320
1,0:51,1,10,CAR 49,0,3,Tim Hightower left end for 17 yards (tackle by Antwan Applewhite),2.320,3.450
1,0:24,1,10,CAR 32,0,3,"Tim Hightower left tackle for no gain (tackle by James Anderson). Penalty on Terrell McClain: Defensive Offside, 5 yards (no play)",3.450,4.180
1,0:06,1,5,CAR 27,0,3,Tim Hightower left end for 3 yards (tackle by Captain Munnerlyn),4.180,3.980
Quarter,Time,Down,ToGo,Location,WAS,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,CAR 24,0,3,Tim Hightower right end for no gain (tackle by Dan Connor and Greg Hardy),3.980,3.270
2,14:27,3,2,CAR 24,0,3,Tim Hightower left tackle for 3 yards (tackle by Dan Connor and Antwan Applewhite),3.270,4.170
2,13:48,1,10,CAR 21,0,3,John Beck right end for 7 yards (tackle by Sherrod Martin),4.170,4.740
2,13:15,2,3,CAR 14,0,3,Tim Hightower left guard for 1 yard (tackle by Dan Connor),4.740,4.240
2,12:32,3,2,CAR 13,0,3,John Beck pass incomplete short left intended for Jabar Gaffney (defended by Thomas Williams),4.240,2.690
2,12:28,4,2,CAR 13,3,3,Graham Gano 31 yard field goal good,2.690,3.000
2,,,,WAS 35,3,3,"Graham Gano kicks off 69 yards, returned by Kealoha Pilares for 15 yards (tackle by Lorenzo Alexander). Penalty on Thomas Williams: Offensive Holding, 5 yards",0.000,-0.380
2,12:24,1,10,CAR 6,3,3,Jonathan Stewart up the middle for 7 yards (tackle by London Fletcher),-0.380,-0.270
2,11:45,2,3,CAR 13,3,3,Jonathan Stewart left end for 29 yards (tackle by Josh Wilson),-0.270,1.730
2,11:00,1,10,CAR 42,3,3,DeAngelo Williams right tackle for 5 yards (tackle by Ryan Kerrigan and Rocky McIntosh),1.730,1.860
2,10:18,2,5,CAR 47,3,3,Cam Newton sacked by Adam Carriker for -8 yards,1.860,0.100
2,9:38,3,13,CAR 39,3,3,Cam Newton pass complete deep right to Steve Smith for 17 yards,0.100,2.650
2,9:08,1,10,WAS 44,3,3,Cam Newton pass complete short left to Steve Smith for 21 yards (tackle by Rocky McIntosh),2.650,4.040
2,8:36,1,10,WAS 23,3,3,Jonathan Stewart right guard for no gain (tackle by Kedric Golston),4.040,3.500
2,7:57,2,10,WAS 23,3,3,Cam Newton pass complete short left to Jeremy Shockey for 12 yards (tackle by Reed Doughty),3.500,4.840
2,7:11,1,10,WAS 11,3,3,DeAngelo Williams up the middle for no gain (tackle by Ryan Kerrigan),4.840,4.140
2,6:28,2,10,WAS 11,3,3,Cam Newton sacked by Brian Orakpo for -7 yards,4.140,2.680
2,5:49,,,,3,3,Timeout #1 by Carolina Panthers,0.000,2.680
2,5:49,3,17,WAS 18,3,3,Cam Newton pass complete short left to Legedu Naanee for 6 yards (tackle by Kevin Barnes),2.680,2.630
2,5:11,4,11,WAS 12,3,3,"Olindo Mare 30 yard field goal good. Penalty on Ben Hartsock: Offensive Holding, 10 yards (no play)",2.630,1.990
2,5:06,4,21,WAS 22,3,3,"Olindo Mare 40 yard field goal good. Penalty on Reggie Wells: False Start, 5 yards (no play)",1.990,1.670
2,5:06,4,26,WAS 27,3,6,Olindo Mare 45 yard field goal good,1.670,3.000
2,,,,CAR 35,3,6,"Olindo Mare kicks off 65 yards, touchback",0.000,0.280
2,5:02,1,10,WAS 20,3,6,Tim Hightower left end for 3 yards (tackle by Darius Butler),0.280,0.140
2,4:29,2,7,WAS 23,3,6,Tim Hightower right tackle for no gain (tackle by Dan Connor),0.140,-0.560
2,3:55,3,7,WAS 23,3,6,"John Beck pass complete short left to Anthony Armstrong for 9 yards (tackle by Darius Butler). Penalty on Captain Munnerlyn: Face Mask (15 Yards), 15 yards",-0.560,2.060
2,3:35,1,10,WAS 47,3,6,Tim Hightower right end for 1 yard (tackle by James Anderson),2.060,1.650
2,3:06,2,9,WAS 48,3,6,John Beck pass incomplete short right intended for Jabar Gaffney,1.650,0.960
2,3:02,,,,3,6,Timeout #1 by Washington Redskins,0.000,0.960
2,3:02,3,9,WAS 48,3,6,John Beck pass complete short middle to Jabar Gaffney for 18 yards (tackle by Sherrod Martin),0.960,3.310
2,2:23,1,10,CAR 34,3,6,"Tim Hightower left end for 8 yards (tackle by Dan Connor). Penalty on Sione Fua: Defensive Offside, 5 yards (no play)",3.310,4.040
2,2:04,1,5,CAR 29,3,6,Tim Hightower right end for 3 yards (tackle by Greg Hardy),4.040,3.850
2,1:59,2,2,CAR 26,3,6,"John Beck pass incomplete. Penalty on John Beck: Intentional Grounding, 11 yards",3.850,1.690
2,1:53,3,13,CAR 37,3,6,John Beck pass complete short middle to Terrence Austin for 6 yards (tackle by Captain Munnerlyn),1.690,1.320
2,1:06,,,,3,6,Timeout #2 by Washington Redskins,0.000,1.320
2,1:06,4,7,CAR 31,6,6,Graham Gano 49 yard field goal good,1.320,3.000
2,,,,WAS 35,6,6,"Graham Gano kicks off 65 yards, touchback",0.000,0.280
2,1:02,1,10,CAR 20,6,6,Cam Newton sacked by Barry Cofield for -3 yards,0.280,-0.790
2,0:55,2,13,CAR 17,6,6,Cam Newton pass incomplete short middle intended for Greg Olsen (defended by London Fletcher),-0.790,-1.510
2,0:49,3,13,CAR 17,6,6,Cam Newton pass incomplete short right intended for Greg Olsen (defended by DeAngelo Hall),-1.510,-2.320
2,0:46,4,13,CAR 17,6,6,"Jason Baker punts 48 yards, returned by Brandon Banks for -4 yards (tackle by Captain Munnerlyn)",-2.320,-1.000
2,0:36,1,10,WAS 31,6,6,John Beck pass incomplete deep left intended for Jabar Gaffney (defended by Darius Butler),1.000,0.460
2,0:30,2,10,WAS 31,6,6,"John Beck pass complete short left to Jabar Gaffney for 3 yards (tackle by Charles Johnson). Jabar Gaffney fumbles (forced by Charles Johnson), recovered by James Anderson at WAS-34 (tackle by Erik Cook)",0.460,-3.310
2,0:21,1,10,WAS 34,6,6,Cam Newton pass complete short left to Greg Olsen for 4 yards (tackle by Rocky McIntosh),3.310,3.310
2,0:17,2,6,WAS 30,6,6,Cam Newton pass incomplete deep left intended for Steve Smith,3.310,2.610
2,0:12,3,6,WAS 30,6,6,Cam Newton pass complete short left to Steve Smith for 3 yards (tackle by Brian Orakpo),2.610,1.770
2,0:07,,,,6,6,Timeout #3 by Washington Redskins,0.000,1.770
2,0:07,4,3,WAS 27,6,9,Olindo Mare 45 yard field goal good,1.770,3.000
2,,,,CAR 35,6,9,Olindo Mare kicks off 35 yards,0.000,0.940
2,0:01,1,10,WAS 30,6,9,John Beck kneels for -1 yards,0.940,0.260
Quarter,Time,Down,ToGo,Location,WAS,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,6,9,"Olindo Mare kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,WAS 20,6,9,John Beck pass complete deep middle to Jabar Gaffney for 32 yards (tackle by Charles Godfrey),0.280,2.390
3,14:20,1,10,CAR 48,6,9,Tim Hightower right tackle for 6 yards (tackle by Dan Connor),2.390,2.660
3,13:43,2,4,CAR 42,6,9,Ryan Torain left guard for 2 yards (tackle by Dan Connor),2.660,2.210
3,13:00,3,2,CAR 40,6,9,John Beck pass incomplete short right intended for Terrence Austin (defended by Chris Gamble),2.210,0.590
3,12:56,4,2,CAR 40,6,9,John Beck sacked by James Anderson for -7 yards,0.590,-2.060
3,12:52,1,10,CAR 47,6,9,Cam Newton pass complete deep left to Brandon LaFell for 37 yards (tackle by Kevin Barnes),2.060,4.510
3,12:23,1,10,WAS 16,6,15,"Cam Newton left tackle for 16 yards, touchdown",4.510,7.000
3,,,,WAS 2,6,16,Olindo Mare kicks extra point good,0.000,0.000
3,,,,CAR 35,6,16,"Olindo Mare kicks off 72 yards, returned by Brandon Banks for 25 yards (tackle by Jermale Hines)",0.000,0.040
3,12:12,1,10,WAS 18,6,16,John Beck pass complete short right to Fred Davis for 22 yards (tackle by Charles Godfrey),0.040,1.600
3,11:34,1,10,WAS 40,6,16,John Beck pass complete short right to Logan Paulsen for 24 yards (tackle by Charles Godfrey),1.600,3.180
3,10:54,1,10,CAR 36,6,16,Tim Hightower left guard for 4 yards (tackle by Dan Connor),3.180,3.180
3,10:27,2,6,CAR 32,6,16,John Beck pass complete short middle to Logan Paulsen for 24 yards (tackle by James Anderson and Jason Phillips),3.180,5.370
3,9:47,1,8,CAR 8,6,16,Ryan Torain left end for -7 yards (tackle by James Anderson and Dan Connor),5.370,3.460
3,9:03,2,15,CAR 15,6,16,John Beck pass complete short left to Fred Davis for 11 yards (tackle by Captain Munnerlyn),3.460,4.490
3,8:20,3,4,CAR 4,12,16,"John Beck left end for 4 yards, touchdown",4.490,7.000
3,,,,CAR 2,13,16,Graham Gano kicks extra point good,0.000,0.000
3,,,,WAS 35,13,16,"Graham Gano kicks off 65 yards, touchback",0.000,0.280
3,8:14,1,10,CAR 20,13,16,Cam Newton pass complete deep left to Steve Smith for 33 yards (tackle by Josh Wilson),0.280,2.460
3,7:44,1,10,WAS 47,13,16,DeAngelo Williams right tackle for 1 yard (tackle by Reed Doughty and London Fletcher),2.460,2.050
3,7:04,2,9,WAS 46,13,16,Cam Newton pass complete short right to Steve Smith for 15 yards (tackle by DeAngelo Hall),2.050,3.510
3,6:19,1,10,WAS 31,13,16,Steve Smith left end for 6 yards (tackle by London Fletcher),3.510,3.780
3,5:34,2,4,WAS 25,13,16,DeAngelo Williams left guard for 3 yards (tackle by Rocky McIntosh),3.780,3.470
3,4:55,3,1,WAS 22,13,16,Jerome Felton up the middle for 3 yards (tackle by Rocky McIntosh and London Fletcher),3.470,4.310
3,4:18,1,10,WAS 19,13,16,"Cam Newton left end for 2 yards, lateral to DeAngelo Williams for 5 yards (tackle by LaRon Landry)",4.310,4.920
3,3:38,2,3,WAS 12,13,16,DeAngelo Williams left guard for 8 yards (tackle by Reed Doughty),4.920,6.280
3,2:59,1,4,WAS 4,13,16,Jonathan Stewart up the middle for 2 yards (tackle by Brian Orakpo),6.280,5.720
3,2:21,2,2,WAS 2,13,22,"Jonathan Stewart right guard for 2 yards, touchdown",5.720,7.000
3,,,,WAS 2,13,23,Olindo Mare kicks extra point good,0.000,0.000
3,,,,CAR 35,13,23,"Olindo Mare kicks off 65 yards, touchback",0.000,0.280
3,2:17,1,10,WAS 20,13,23,John Beck pass incomplete short right intended for Anthony Armstrong,0.280,-0.270
3,2:12,2,10,WAS 20,13,23,John Beck pass incomplete short right intended for Fred Davis,-0.270,-0.960
3,2:07,3,10,WAS 20,13,23,John Beck pass complete short left to Terrence Austin for 8 yards (tackle by Sherrod Martin),-0.960,-1.500
3,1:46,4,2,WAS 28,13,23,"Saverio Rocca punts 37 yards, fair catch by Armanti Edwards",-1.500,-1.270
3,1:39,1,10,CAR 35,13,23,"DeAngelo Williams right tackle for no gain (tackle by Rocky McIntosh). Penalty on Byron Bell: Offensive Holding, 10 yards (no play)",1.270,0.610
3,1:15,1,20,CAR 25,13,23,Jonathan Stewart left guard for 3 yards (tackle by London Fletcher),0.610,-0.220
3,0:29,2,17,CAR 28,13,23,Cam Newton pass complete short right to Steve Smith for 18 yards (tackle by Josh Wilson),-0.220,1.990
Quarter,Time,Down,ToGo,Location,WAS,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CAR 46,13,23,Cam Newton pass complete short right to Jeremy Shockey for 8 yards (tackle by LaRon Landry),1.990,2.530
4,14:23,2,2,WAS 46,13,23,DeAngelo Williams right guard for 3 yards (tackle by Stephen Bowen),2.530,2.720
4,13:43,1,10,WAS 43,13,23,Jonathan Stewart left guard for 3 yards (tackle by Barry Cofield),2.720,2.580
4,13:04,2,7,WAS 40,13,23,Jonathan Stewart up the middle for 3 yards (tackle by Brian Orakpo and Josh Wilson),2.580,2.280
4,12:23,3,4,WAS 37,13,23,Cam Newton up the middle for 7 yards (tackle by London Fletcher),2.280,3.580
4,11:41,1,10,WAS 30,13,23,Cam Newton pass complete short right to Jeremy Shockey for 3 yards (tackle by London Fletcher),3.580,3.440
4,11:01,2,7,WAS 27,13,23,"Cam Newton pass incomplete short middle intended for Jeremy Shockey. Penalty on Geoff Hangartner: Offensive Holding, 10 yards (no play)",3.440,2.090
4,10:56,2,17,WAS 37,13,23,Cam Newton pass complete deep left to Steve Smith for 36 yards (tackle by Josh Wilson),2.090,6.970
4,10:07,1,1,WAS 1,13,23,Jonathan Stewart up the middle for no gain,6.970,5.910
4,9:15,2,1,WAS 1,13,23,"Jonathan Stewart right guard for -1 yards (tackle by Reed Doughty). Jonathan Stewart fumbles (forced by Reed Doughty), recovered by Ben Hartsock at WAS-2",5.910,4.950
,,,,,,,"CAR challenged the runner was down by contact ruling, and the play was upheld.",,
4,8:17,3,2,WAS 2,13,29,"Cam Newton pass complete short left to Brandon LaFell for 2 yards, touchdown",4.950,7.000
4,,,,WAS 2,13,30,Olindo Mare kicks extra point good,0.000,0.000
4,,,,CAR 35,13,30,"Olindo Mare kicks off 65 yards, touchback",0.000,0.280
4,8:13,1,10,WAS 20,13,30,John Beck pass incomplete short left intended for Terrence Austin (defended by Greg Hardy),0.280,-0.270
4,8:08,2,10,WAS 20,13,30,John Beck pass complete short middle to Niles Paul for 14 yards (tackle by Darius Butler),-0.270,1.200
4,7:37,1,10,WAS 34,13,30,John Beck pass complete short left to Jabar Gaffney for 15 yards (tackle by James Anderson),1.200,2.190
4,7:08,1,10,WAS 49,13,30,John Beck pass complete short right to Fred Davis for 17 yards (tackle by Charles Godfrey),2.190,3.310
4,6:35,1,10,CAR 34,13,30,John Beck pass complete short right to Fred Davis for 14 yards (tackle by Thomas Williams),3.310,4.240
4,6:07,1,10,CAR 20,13,30,John Beck pass incomplete short left intended for Terrence Austin (defended by Captain Munnerlyn),4.240,3.690
4,6:03,2,10,CAR 20,13,30,John Beck pass incomplete short right intended for Anthony Armstrong,3.690,3.010
4,5:58,3,10,CAR 20,13,30,John Beck pass complete short left to Niles Paul for 11 yards (tackle by Darius Butler),3.010,5.140
,,,,,,,"CAR challenged the pass completion ruling, and the play was upheld.",,
4,5:52,1,9,CAR 9,13,30,John Beck pass complete short left to Roy Helu for 2 yards (tackle by Thomas Williams),5.140,4.760
4,5:12,2,7,CAR 7,19,30,"John Beck pass complete short middle to Fred Davis for 7 yards, touchdown",4.760,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,,,,CAR 2,20,30,Graham Gano kicks extra point good,0.000,0.000
4,,,,WAS 35,20,30,"Graham Gano kicks onside 14 yards, recovered by Legedu Naanee",0.000,2.320
4,5:03,1,10,WAS 49,20,30,"DeAngelo Williams left tackle for no gain. Penalty on Jeremy Shockey: Offensive Holding, 10 yards (no play)",2.320,1.660
4,4:57,1,20,CAR 41,20,30,DeAngelo Williams up the middle for 6 yards (tackle by Rocky McIntosh),1.660,1.240
4,4:11,2,14,CAR 47,20,30,Jonathan Stewart right guard for 4 yards (tackle by Barry Cofield),1.240,1.090
4,4:02,,,,20,30,Timeout #1 by Washington Redskins,0.000,1.090
4,4:02,3,10,WAS 49,20,30,Cam Newton up the middle for 2 yards (tackle by Keyaron Fox),1.090,0.130
4,3:59,,,,20,30,Timeout #2 by Washington Redskins,0.000,0.130
4,3:59,4,8,WAS 47,20,30,"Jason Baker punts 35 yards, fair catch by Brandon Banks",0.130,0.350
4,3:51,1,10,WAS 12,20,30,John Beck pass complete short middle to Terrence Austin for 12 yards (tackle by Antwan Applewhite and James Anderson),-0.350,0.540
4,3:29,1,10,WAS 24,20,30,John Beck pass incomplete short right intended for Anthony Armstrong (defended by Chris Gamble),0.540,0.000
4,3:26,2,10,WAS 24,20,30,"John Beck pass incomplete short left intended for Anthony Armstrong. Penalty on Sean Locklear: Offensive Holding, 10 yards (no play)",0.000,-1.470
4,3:26,2,20,WAS 14,20,30,"Penalty on Charles Johnson: Defensive Offside, 5 yards (no play)",-1.470,-0.740
4,3:21,2,15,WAS 19,20,30,John Beck pass incomplete deep right intended for Leonard Hankerson is intercepted by Chris Gamble at WAS-44 and returned for 19 yards (tackle by Terrence Austin),-0.740,-3.910
4,3:13,1,10,WAS 25,20,30,DeAngelo Williams up the middle for 1 yard (tackle by Reed Doughty),3.910,3.500
4,3:07,,,,20,30,Timeout #3 by Washington Redskins,0.000,3.500
4,3:07,2,9,WAS 24,20,30,Jonathan Stewart up the middle for no gain (tackle by Brian Orakpo and LaRon Landry),3.500,2.810
4,2:23,3,9,WAS 24,20,30,Jonathan Stewart left guard for 2 yards (tackle by LaRon Landry and Reed Doughty),2.810,1.990
4,2:00,4,7,WAS 22,20,33,Olindo Mare 40 yard field goal good,1.990,3.000
4,,,,CAR 35,20,33,"Olindo Mare kicks off 65 yards, touchback",0.000,0.280
4,1:56,1,10,WAS 20,20,33,John Beck pass complete short left to Fred Davis for 9 yards (tackle by James Anderson). Penalty on Charles Johnson: Defensive Offside (Declined),0.280,0.950
4,1:50,2,1,WAS 29,20,33,John Beck pass incomplete short right intended for Jabar Gaffney,0.950,0.230
4,1:46,3,1,WAS 29,20,33,John Beck sacked by Charles Johnson for -4 yards,0.230,-1.700
4,1:19,4,5,WAS 25,20,33,John Beck pass complete short middle to Roy Helu for 4 yards (tackle by Antwan Applewhite),-1.700,-3.640
4,1:12,1,10,WAS 29,20,33,Cam Newton kneels for -1 yards,3.640,2.970
4,0:34,2,11,WAS 30,20,33,Cam Newton kneels for -1 yards,2.970,2.150
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
