Unnamed: 0,CHI,TAM
First Downs,21,19
Rush-Yds-TDs,39-174-1,25-104-1
Cmp-Att-Yd-TD-INT,20-27-156-1-0,15-29-295-2-1
Sacked-Yards,1-3,1-10
Net Pass Yards,153,285
Total Yards,327,389
Fumbles-Lost,0-0,5-2
Turnovers,0,3
Penalties-Yards,3-25,4-47
Third Down Conv.,6-15,2-8
Fourth Down Conv.,0-0,0-0
Time of Possession,37:03,22:57
