Quarter,Time,Tm,Detail,WAS,NYG
1.0,10:52,Redskins,John Hall 28 yard field goal,3,0
,2:14,Giants,Dorsey Levens 5 yard rush (Matt Bryant kick),3,7
2.0,14:02,Redskins,Darnerien McCants 6 yard pass from Tim Hasselbeck (John Hall kick),10,7
3.0,10:04,Redskins,Rod Gardner 7 yard pass from Tim Hasselbeck (John Hall kick),17,7
4.0,10:42,Redskins,John Hall 41 yard field goal,20,7
