Unnamed: 0,WAS,NYG
First Downs,20,15
Rush-Yds-TDs,48-150-0,23-120-1
Cmp-Att-Yd-TD-INT,13-19-154-2-0,12-25-145-0-1
Sacked-Yards,2-16,6-45
Net Pass Yards,138,100
Total Yards,288,220
Fumbles-Lost,0-0,2-2
Turnovers,0,3
Penalties-Yards,6-35,7-70
Third Down Conv.,8-16,4-12
Fourth Down Conv.,0-0,1-2
Time of Possession,37:08,22:52
