Unnamed: 0,SFO,SEA
First Downs,15,22
Rush-Yds-TDs,38-228-1,27-90-1
Cmp-Att-Yd-TD-INT,14-25-162-2-0,20-37-220-1-2
Sacked-Yards,0-0,3-10
Net Pass Yards,162,210
Total Yards,390,300
Fumbles-Lost,0-0,2-0
Turnovers,0,2
Penalties-Yards,10-87,3-20
Third Down Conv.,7-17,5-13
Fourth Down Conv.,1-1,0-1
Time of Possession,31:04,28:56
