Quarter,Time,Tm,Detail,SFO,SEA
1.0,2:18,Seahawks,Shaun Alexander 3 yard rush (Josh Brown kick),0,7
2.0,0:03,49ers,Joe Nedney 39 yard field goal,3,7
4.0,11:24,49ers,Vernon Davis 8 yard pass from Alex Smith (Joe Nedney kick),10,7
,4:01,49ers,Frank Gore 20 yard pass from Alex Smith (Joe Nedney kick),17,7
,1:42,49ers,Alex Smith 18 yard rush (Joe Nedney kick),24,7
,0:09,Seahawks,Jerramy Stevens 22 yard pass from Matt Hasselbeck (Josh Brown kick),24,14
