Unnamed: 0,LAR,SEA
First Downs,24,22
Rush-Yds-TDs,29-118-2,25-92-0
Cmp-Att-Yd-TD-INT,25-37-365-1-1,21-33-283-2-2
Sacked-Yards,1-7,2-21
Net Pass Yards,358,262
Total Yards,476,354
Fumbles-Lost,1-0,0-0
Turnovers,1,2
Penalties-Yards,5-85,3-20
Third Down Conv.,2-10,4-10
Fourth Down Conv.,1-1,0-1
Time of Possession,33:03,26:57
