Quarter,Time,Tm,Detail,LAR,SEA
2.0,9:04,Seahawks,D.K. Metcalf 19 yard pass from Russell Wilson (Jason Myers kick),0,7
,1:08,Rams,Matt Gay 31 yard field goal,3,7
3.0,7:56,Rams,Darrell Henderson 5 yard rush (Matt Gay kick failed),9,7
,4:46,Rams,Tyler Higbee 13 yard pass from Matthew Stafford (Matt Gay kick),16,7
4.0,9:16,Seahawks,D.K. Metcalf 23 yard pass from Geno Smith (Jason Myers kick),16,14
,6:08,Rams,Sony Michel 2 yard rush (Matt Gay kick),23,14
,2:45,Seahawks,Jason Myers 32 yard field goal,23,17
,0:24,Rams,Matt Gay 47 yard field goal,26,17
