Unnamed: 0,CAR,STL
First Downs,21,16
Rush-Yds-TDs,38-186-0,21-76-0
Cmp-Att-Yd-TD-INT,18-27-199-3-0,22-42-167-1-0
Sacked-Yards,0-0,1-5
Net Pass Yards,199,162
Total Yards,385,238
Fumbles-Lost,3-2,2-2
Turnovers,2,2
Penalties-Yards,7-75,8-82
Third Down Conv.,4-12,7-16
Fourth Down Conv.,0-0,0-1
Time of Possession,34:07,25:53
