Quarter,Time,Tm,Detail,CAR,STL
1.0,9:20,Panthers,Drew Carter 10 yard pass from Jake Delhomme (John Kasay kick),7,0
,2:00,Rams,Torry Holt 3 yard pass from Marc Bulger (Jeff Wilkins kick),7,7
2.0,0:00,Rams,Jeff Wilkins 42 yard field goal,7,10
3.0,12:51,Rams,Jeff Wilkins 28 yard field goal,7,13
,8:33,Panthers,Steve Smith Sr. 68 yard pass from Jake Delhomme (John Kasay kick),14,13
4.0,14:56,Panthers,John Kasay 34 yard field goal,17,13
,7:15,Panthers,Drew Carter 9 yard pass from Jake Delhomme (John Kasay kick),24,13
,1:04,Panthers,John Kasay 32 yard field goal,27,13
