Quarter,Time,Tm,Detail,NYJ,SDG
2.0,12:17,Chargers,Kris Wilson 13 yard pass from Philip Rivers (Nate Kaeding kick),0,7
3.0,10:45,Jets,Jay Feely 46 yard field goal,3,7
4.0,13:35,Jets,Dustin Keller 2 yard pass from Mark Sanchez (Jay Feely kick),10,7
,7:17,Jets,Shonn Greene 53 yard rush (Jay Feely kick),17,7
,2:14,Chargers,Philip Rivers 1 yard rush (Nate Kaeding kick),17,14
