Quarter,Time,Down,ToGo,Location,NYJ,SDG,Detail,EPB,EPA
1,7:33,2,11,NYJ 23,0,0,Philip Rivers pass complete short right to LaDainian Tomlinson for -4 yards (tackle by Darrelle Revis),3.430,2.210
1,6:56,,,,0,0,Timeout #1 by San Diego Chargers,0.000,2.210
1,6:56,3,15,NYJ 27,0,0,Philip Rivers pass complete short left to Darren Sproles for 9 yards (tackle by Drew Coleman),2.210,2.270
1,6:31,4,6,NYJ 18,0,0,Nate Kaeding 36 yard field goal no good,2.270,-0.670
1,6:28,1,10,NYJ 26,0,0,Mark Sanchez pass incomplete short right intended for Dustin Keller,0.670,0.130
1,6:25,2,10,NYJ 26,0,0,Shonn Greene right end for 5 yards (tackle by Stephen Cooper and Larry English),0.130,0.100
1,5:41,3,5,NYJ 31,0,0,Mark Sanchez pass incomplete short middle intended for Jerricho Cotchery,0.100,-1.310
1,5:37,4,5,NYJ 31,0,0,Steve Weatherford punts 49 yards,-1.310,-0.280
1,5:29,1,10,SDG 20,0,0,LaDainian Tomlinson middle for 3 yards (tackle by Sione Pouha),0.280,0.140
1,4:53,2,7,SDG 23,0,0,LaDainian Tomlinson middle for -1 yards (tackle by David Harris and Mike DeVito),0.140,-0.690
1,4:12,3,8,SDG 22,0,0,Philip Rivers pass complete short right to Antonio Gates for 10 yards (tackle by Eric Smith),-0.690,1.070
1,3:31,1,10,SDG 32,0,0,Philip Rivers pass incomplete,1.070,0.530
1,3:26,,,,0,0,Timeout #2 by San Diego Chargers,0.000,0.530
1,3:26,2,10,SDG 32,0,0,Philip Rivers pass complete deep middle to Vincent Jackson for 26 yards (tackle by Jim Leonhard),0.530,2.790
1,2:41,1,10,NYJ 42,0,0,LaDainian Tomlinson middle for no gain (tackle by Howard Green and Marques Douglas),2.790,2.240
1,1:56,2,10,NYJ 42,0,0,"Penalty on Brandyn Dombrowski: False Start, 5 yards (no play)",2.240,1.570
1,1:38,2,15,NYJ 47,0,0,Philip Rivers pass complete short right to Antonio Gates for 11 yards (tackle by Donald Strickland),1.570,2.340
1,0:56,3,4,NYJ 36,0,0,Philip Rivers pass incomplete short middle intended for Legedu Naanee (defended by Darrelle Revis),2.340,0.890
1,0:52,4,4,NYJ 36,0,0,"Penalty on Kris Wilson: Unnecessary Roughness, 15 yards, Penalty on Kassim Osgood: False Start (Declined) (no play)",0.890,-0.130
1,0:49,4,19,SDG 49,0,0,"Mike Scifres punts 36 yards, fair catch by Jerricho Cotchery",-0.130,0.220
1,0:46,1,10,NYJ 15,0,0,Thomas Jones right end for 4 yards (tackle by Ian Scott),-0.220,-0.110
1,0:09,2,6,NYJ 19,0,0,"Shonn Greene right tackle for no gain (tackle by Ian Scott and Travis Johnson). Penalty on Mark Sanchez: False Start, 5 yards (no play)",-0.110,-0.820
1,0:09,2,11,NYJ 14,0,0,Thomas Jones right tackle for 7 yards (tackle by Eric Weddle),-0.820,-0.630
Quarter,Time,Down,ToGo,Location,NYJ,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,NYJ 21,0,0,Shonn Greene left end for -4 yards (tackle by Stephen Cooper),-0.630,-2.320
2,14:15,4,8,NYJ 17,0,0,"Steve Weatherford punts 40 yards, returned by Darren Sproles for no gain. Penalty on Antoine Cason: Face Mask (15 Yards), 12 yards",-2.320,-1.000
2,14:13,1,10,SDG 31,0,0,Philip Rivers pass complete short left to Jacob Hester for 15 yards (tackle by Kerry Rhodes),1.000,1.990
2,13:37,1,10,SDG 46,0,0,"Philip Rivers pass incomplete short middle intended for Malcom Floyd. Penalty on Lito Sheppard: Defensive Pass Interfere, 15 yards (no play)",1.990,2.980
2,13:29,1,10,NYJ 39,0,0,Philip Rivers pass complete short left to Antonio Gates for 23 yards (tackle by Kerry Rhodes),2.980,4.510
2,13:05,1,10,NYJ 16,0,0,LaDainian Tomlinson middle for 3 yards (tackle by David Harris and Marques Douglas),4.510,4.390
2,12:22,2,7,NYJ 13,0,6,"Philip Rivers pass complete short middle to Kris Wilson for 13 yards, touchdown",4.390,7.000
2,,,,NYJ 2,0,7,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,0,7,"Nate Kaeding kicks off 63 yards, returned by Brad Smith for 9 yards (tackle by Kris Wilson)",0.000,-0.140
2,12:11,1,10,NYJ 16,0,7,"Penalty on Damien Woody: False Start, 5 yards (no play)",-0.140,-0.540
2,12:11,1,15,NYJ 11,0,7,Shonn Greene middle for 1 yard (tackle by Antonio Garay),-0.540,-1.070
2,11:28,2,14,NYJ 12,0,7,Mark Sanchez pass incomplete short right intended for Jerricho Cotchery,-1.070,-1.890
2,11:22,3,14,NYJ 12,0,7,Mark Sanchez pass complete short right to Tony Richardson for 8 yards (tackle by Quentin Jammer and Paul Oliver),-1.890,-2.030
2,10:42,4,6,NYJ 20,0,7,"Steve Weatherford punts 42 yards, fair catch by Darren Sproles",-2.030,-1.470
2,10:40,1,10,SDG 38,0,7,Philip Rivers pass incomplete short right intended for Malcom Floyd (defended by Jim Leonhard),1.470,0.920
,,,,,,,"SDG challenged the fumble ruling, and the original play was overturned.",,
2,10:35,2,10,SDG 38,0,7,LaDainian Tomlinson middle for 1 yard (tackle by David Harris),0.920,0.370
2,9:53,3,9,SDG 39,0,7,Philip Rivers pass complete short left to Antonio Gates for 8 yards (tackle by David Harris and Kerry Rhodes),0.370,-0.260
2,9:07,4,1,SDG 47,0,7,"Mike Scifres punts 38 yards, returned by Jerricho Cotchery for -1 yards (tackle by C.J. Spillman). Penalty on James Ihedigbo: Offensive Holding, 7 yards",-0.260,0.380
2,8:58,1,10,NYJ 7,0,7,Shonn Greene middle for 7 yards (tackle by Shaun Phillips),-0.380,-0.250
2,8:25,2,3,NYJ 14,0,7,Shonn Greene right tackle for 11 yards (tackle by Steve Gregory and Kevin Ellison),-0.250,0.610
2,7:49,1,10,NYJ 25,0,7,Shonn Greene left end for 5 yards (tackle by Ian Scott and Stephen Cooper),0.610,0.740
2,7:15,2,5,NYJ 30,0,7,Mark Sanchez pass complete short right to Tony Richardson for 4 yards (tackle by Brandon Siler),0.740,0.560
2,6:32,3,1,NYJ 34,0,7,Shonn Greene right tackle for 2 yards (tackle by Eric Weddle and Shawne Merriman),0.560,1.330
2,5:52,1,10,NYJ 36,0,7,Mark Sanchez sacked by Eric Weddle for -7 yards,1.330,-0.160
2,5:20,2,17,NYJ 29,0,7,Shonn Greene middle for 7 yards (tackle by Eric Weddle),-0.160,0.100
2,4:36,3,10,NYJ 36,0,7,Mark Sanchez pass complete deep left to Braylon Edwards for 21 yards (tackle by Paul Oliver and Antonio Cromartie),0.100,2.720
2,3:57,1,10,SDG 43,0,7,Shonn Greene middle for 1 yard (tackle by Antonio Garay),2.720,2.310
2,3:11,,,,0,7,Timeout #1 by New York Jets,0.000,2.310
2,3:11,2,9,SDG 42,0,7,Mark Sanchez pass complete short left to Shonn Greene for 4 yards (tackle by Shaun Phillips and Stephen Cooper),2.310,2.150
2,2:32,3,5,SDG 38,0,7,Mark Sanchez pass incomplete short middle intended for Dustin Keller (defended by Quentin Jammer),2.150,0.720
2,2:27,4,5,SDG 38,0,7,"Steve Weatherford punts 29 yards, returned by Darren Sproles for 3 yards (tackle by James Ihedigbo)",0.720,0.350
2,2:18,1,10,SDG 12,0,7,Philip Rivers pass incomplete deep left intended for Vincent Jackson,-0.350,-0.780
2,2:12,2,10,SDG 12,0,7,LaDainian Tomlinson right end for 3 yards (tackle by Jim Leonhard and David Harris),-0.780,-1.070
2,2:00,3,7,SDG 15,0,7,Darren Sproles middle for 2 yards (tackle by David Harris),-1.070,-2.320
2,1:55,,,,0,7,Timeout #2 by New York Jets,0.000,-2.320
2,1:55,4,5,SDG 17,0,7,"Mike Scifres punts 60 yards, returned by Jerricho Cotchery for 9 yards (tackle by Brandon Siler)",-2.320,-1.070
2,1:44,1,10,NYJ 32,0,7,Mark Sanchez pass incomplete short right intended for Dustin Keller (defended by Steve Gregory),1.070,0.530
2,1:37,2,10,NYJ 32,0,7,Mark Sanchez pass complete short left to Jerricho Cotchery for 3 yards (tackle by Steve Gregory),0.530,0.230
2,1:13,3,7,NYJ 35,0,7,Mark Sanchez pass complete short left to Braylon Edwards for 20 yards (tackle by Eric Weddle),0.230,2.590
2,1:13,1,10,SDG 45,0,7,Mark Sanchez spiked the ball,2.590,2.040
2,0:55,2,10,SDG 45,0,7,Mark Sanchez pass incomplete deep left intended for Braylon Edwards,2.040,1.360
2,0:49,3,10,SDG 45,0,7,Mark Sanchez pass incomplete short left intended for Wallace Wright,1.360,0.270
2,0:43,4,10,SDG 45,0,7,"Steve Weatherford punts 45 yards, touchback",0.270,-0.280
2,0:36,1,10,SDG 20,0,7,Darren Sproles middle for 9 yards (tackle by Kerry Rhodes),0.280,0.950
2,0:25,,,,0,7,Timeout #3 by San Diego Chargers,0.000,0.950
2,0:25,2,1,SDG 29,0,7,Darren Sproles middle for 22 yards (tackle by Jim Leonhard),0.950,2.320
2,0:25,1,10,NYJ 49,0,7,Philip Rivers spiked the ball,2.320,1.780
2,0:11,,,,0,7,Timeout #3 by New York Jets,0.000,1.780
2,0:11,2,10,NYJ 49,0,7,Philip Rivers pass complete short left to Vincent Jackson for 10 yards (tackle by Bart Scott),1.780,2.980
2,0:06,1,10,NYJ 39,0,7,Nate Kaeding 57 yard field goal no good,2.980,1.990
Quarter,Time,Down,ToGo,Location,NYJ,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,,,"Nate Kaeding kicks off 66 yards, returned by Brad Smith for 36 yards (tackle by Paul Oliver)",,
3,14:53,1,10,NYJ 40,0,7,Thomas Jones right tackle for 8 yards (tackle by Stephen Cooper),1.600,2.130
3,14:19,2,2,NYJ 48,0,7,Thomas Jones middle for 4 yards (tackle by Jacques Cesaire and Ian Scott),2.130,2.390
3,13:42,1,10,SDG 48,0,7,Mark Sanchez pass incomplete deep left intended for Braylon Edwards,2.390,1.850
3,13:35,2,10,SDG 48,0,7,Thomas Jones right tackle for 3 yards (tackle by Shaun Phillips and Shawne Merriman),1.850,1.550
3,12:57,3,7,SDG 45,0,7,"Mark Sanchez pass incomplete short right intended for Jerricho Cotchery. Penalty on Quentin Jammer: Defensive Pass Interfere, 8 yards (no play)",1.550,3.120
3,12:54,1,10,SDG 37,0,7,Thomas Jones right end for 3 yards (tackle by Brandon Siler),3.120,2.980
3,12:19,2,7,SDG 34,0,7,Thomas Jones right guard for 2 yards (tackle by Shaun Phillips),2.980,2.540
3,11:36,3,5,SDG 32,0,7,Mark Sanchez pass complete short right to Dustin Keller for 4 yards (tackle by Quentin Jammer),2.540,1.720
3,10:49,,,,0,7,Timeout #1 by New York Jets,0.000,1.720
3,10:49,4,1,SDG 28,3,7,Jay Feely 46 yard field goal good,1.720,3.000
3,,,,NYJ 30,3,7,"Jay Feely kicks off 61 yards, returned by Darren Sproles for 17 yards (tackle by Marquice Cole)",0.000,0.670
3,10:40,1,10,SDG 26,3,7,Philip Rivers pass incomplete short left intended for LaDainian Tomlinson,0.670,0.130
3,10:37,2,10,SDG 26,3,7,LaDainian Tomlinson middle for 2 yards (tackle by Sione Pouha and Mike DeVito),0.130,-0.300
3,9:54,3,8,SDG 28,3,7,Philip Rivers pass incomplete deep left intended for Malcom Floyd (defended by Donald Strickland),-0.300,-1.500
3,9:46,4,8,SDG 28,3,7,"Mike Scifres punts 53 yards, fair catch by Jerricho Cotchery",-1.500,-0.150
3,9:41,1,10,NYJ 19,3,7,Shonn Greene right end for 4 yards (tackle by Quentin Jammer),0.150,0.210
3,9:09,2,6,NYJ 23,3,7,Shonn Greene left tackle for 7 yards (tackle by Alfonso Boone),0.210,0.940
3,8:31,1,10,NYJ 30,3,7,Mark Sanchez pass complete short right to Dustin Keller for 13 yards (tackle by Eric Weddle),0.940,1.800
3,7:52,1,10,NYJ 43,3,7,Jerricho Cotchery left end for 1 yard (tackle by Brandon Siler),1.800,1.390
3,7:06,2,9,NYJ 44,3,7,"Penalty on Damien Woody: False Start, 5 yards (no play)",1.390,0.710
3,6:47,2,14,NYJ 39,3,7,Mark Sanchez pass incomplete deep right intended for Braylon Edwards is intercepted by Quentin Jammer at SDG-38 and returned for 24 yards,0.710,-3.050
3,6:38,1,10,NYJ 38,3,7,"Philip Rivers pass complete short middle to Vincent Jackson for 8 yards (tackle by Darrelle Revis). Penalty on Malcom Floyd: Illegal Block Above the , 10 yards",3.050,2.920
3,5:22,1,12,NYJ 40,3,7,Philip Rivers pass complete short middle to LaDainian Tomlinson for 3 yards (tackle by David Harris),2.920,2.640
3,5:22,2,9,NYJ 37,3,7,Philip Rivers pass complete short right to LaDainian Tomlinson for 1 yard (tackle by Bryan Thomas),2.640,2.080
3,4:36,3,8,NYJ 36,3,7,Philip Rivers pass incomplete deep right intended for Vincent Jackson is intercepted by Darrelle Revis at NYJ-17 and returned for 6 yards,2.080,-0.480
3,4:23,1,10,NYJ 23,3,7,Thomas Jones right end for 4 yards (tackle by Eric Weddle),0.480,0.470
3,3:42,2,6,NYJ 27,3,7,Thomas Jones left tackle for -4 yards (tackle by Kevin Burnett),0.470,-0.760
3,3:00,3,10,NYJ 23,3,7,Mark Sanchez pass complete short right to Jerricho Cotchery for 15 yards (tackle by Quentin Jammer),-0.760,1.470
3,2:29,1,10,NYJ 38,3,7,Thomas Jones right tackle for 2 yards (tackle by Antonio Garay),1.470,1.190
3,1:50,2,8,NYJ 40,3,7,Thomas Jones right guard for 5 yards (tackle by Stephen Cooper and Antonio Garay),1.190,1.160
3,1:06,3,3,NYJ 45,3,7,Mark Sanchez pass incomplete short right intended for Jerricho Cotchery,1.160,-0.390
3,1:01,4,3,NYJ 45,3,7,Steve Weatherford punts 51 yards,-0.390,0.380
3,0:51,1,10,SDG 4,3,7,LaDainian Tomlinson middle for 1 yard (tackle by Sione Pouha),-0.380,-0.710
3,0:12,2,9,SDG 5,3,7,Philip Rivers pass incomplete deep right intended for Antonio Gates is intercepted by Jim Leonhard at SDG-27 and returned for 11 yards,-0.710,-4.510
3,0:02,1,10,SDG 16,3,7,"Shonn Greene middle for 2 yards (tackle by Jacques Cesaire and Luis Castillo). Penalty on Shaun Phillips: Unnecessary Roughness, 7 yards",4.510,5.600
Quarter,Time,Down,ToGo,Location,NYJ,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,7,SDG 7,3,7,Shonn Greene right end for 1 yard (tackle by Luis Castillo and Jacques Cesaire),5.600,4.950
4,14:24,2,6,SDG 6,3,7,Shonn Greene right tackle for 4 yards (tackle by Shawne Merriman),4.950,4.950
4,13:42,3,2,SDG 2,9,7,"Mark Sanchez pass complete short right to Dustin Keller for 2 yards, touchdown",4.950,7.000
4,,,,SDG 2,10,7,Jay Feely kicks extra point good,0.000,0.000
4,,,,NYJ 30,10,7,"Jay Feely kicks off 55 yards, returned by Antonio Cromartie for 11 yards (tackle by James Ihedigbo). Antonio Cromartie fumbles (forced by James Ihedigbo), recovered by Darren Sproles at SDG-29",0.000,0.870
4,13:24,1,10,SDG 29,10,7,LaDainian Tomlinson middle for 1 yard (tackle by Sione Pouha),0.870,0.460
4,12:51,2,9,SDG 30,10,7,Philip Rivers pass complete short middle to Mike Tolbert for 6 yards (tackle by Bryan Thomas),0.460,0.560
4,12:22,3,3,SDG 36,10,7,Philip Rivers pass complete short right to Antonio Gates for 10 yards (tackle by Donald Strickland),0.560,1.990
4,11:36,1,10,SDG 46,10,7,Philip Rivers sacked by Mike DeVito for -5 yards,1.990,0.780
4,11:02,2,15,SDG 41,10,7,Philip Rivers pass complete short left to Darren Sproles for 2 yards (tackle by David Harris),0.780,0.370
4,10:20,3,13,SDG 43,10,7,"Philip Rivers sacked by Kerry Rhodes for -10 yards. Philip Rivers fumbles (forced by Kerry Rhodes), recovered by Brandon Manumaleuna at SDG-33",0.370,-1.180
4,9:40,4,23,SDG 33,10,7,"Mike Scifres punts 58 yards, returned by Jerricho Cotchery for 25 yards (tackle by Kassim Osgood)",-1.180,-1.200
4,9:27,1,10,NYJ 34,10,7,Shonn Greene middle for 4 yards (tackle by Shaun Phillips),1.200,1.200
4,8:52,2,6,NYJ 38,10,7,Shonn Greene left end for 2 yards (tackle by Stephen Cooper),1.200,0.760
4,8:07,3,4,NYJ 40,10,7,Mark Sanchez pass complete short left to Jerricho Cotchery for 7 yards (tackle by Antonio Cromartie),0.760,2.060
4,7:26,1,10,NYJ 47,16,7,"Shonn Greene middle for 53 yards, touchdown",2.060,7.000
4,,,,SDG 2,17,7,Jay Feely kicks extra point good,0.000,0.000
4,,,,NYJ 30,17,7,"Jay Feely kicks off 39 yards, returned by Brandon Manumaleuna for 17 yards (tackle by James Ihedigbo)",0.000,2.130
4,7:14,1,10,SDG 48,17,7,Philip Rivers pass complete short left to Malcom Floyd for 8 yards (tackle by Dwight Lowery),2.130,2.660
4,6:42,2,2,NYJ 44,17,7,Philip Rivers pass incomplete short right intended for Antonio Gates,2.660,1.950
4,6:38,3,2,NYJ 44,17,7,Philip Rivers pass complete short right to Antonio Gates for 14 yards (tackle by Jim Leonhard and Kerry Rhodes),1.950,3.580
4,5:59,1,10,NYJ 30,17,7,Philip Rivers pass complete short left to Vincent Jackson for 5 yards (tackle by David Harris),3.580,3.710
4,5:22,2,5,NYJ 25,17,7,Philip Rivers pass incomplete short left intended for Darren Sproles,3.710,3.010
4,5:18,3,5,NYJ 25,17,7,Philip Rivers pass complete short left to Malcom Floyd for 3 yards (tackle by Dwight Lowery),3.010,2.120
4,4:42,4,2,NYJ 22,17,7,Nate Kaeding 40 yard field goal no good,2.120,-0.940
4,4:38,1,10,NYJ 30,17,7,Shonn Greene middle for 2 yards (tackle by Eric Weddle),0.940,0.660
4,3:55,2,8,NYJ 32,17,7,Shonn Greene right end for 3 yards (tackle by Stephen Cooper),0.660,0.370
4,3:50,,,,17,7,Timeout #1 by San Diego Chargers,0.000,0.370
4,3:50,3,5,NYJ 35,17,7,Shonn Greene left end for 2 yards (tackle by Stephen Cooper and Luis Castillo),0.370,-0.910
4,3:44,,,,17,7,Timeout #2 by San Diego Chargers,0.000,-0.910
4,3:44,4,3,NYJ 37,17,7,"Steve Weatherford punts 26 yards, returned by Antonio Cromartie for no gain",-0.910,-1.400
4,3:36,1,10,SDG 37,17,7,Philip Rivers pass complete short middle to Antonio Gates for 11 yards (tackle by Donald Strickland),1.400,2.130
4,3:08,1,10,SDG 48,17,7,"Penalty on Kris Dielman: False Start, 5 yards (no play)",2.130,1.800
4,3:07,1,15,SDG 43,17,7,"Philip Rivers pass complete deep right to Vincent Jackson for 37 yards (tackle by Dwight Lowery). Penalty on Vincent Jackson: Unsportsmanlike Conduct, 15 yards",1.800,3.250
,,,,,,,"NYJ challenged the pass completion ruling, and the play was upheld.",,
4,3:00,1,10,NYJ 35,17,7,Philip Rivers pass complete short right to Darren Sproles for 19 yards (tackle by Jim Leonhard),3.250,4.510
4,2:53,1,10,NYJ 16,17,7,Philip Rivers for 3 yards (tackle by Shaun Ellis),4.510,4.390
4,2:45,2,7,NYJ 13,17,7,Philip Rivers pass incomplete short middle intended for Antonio Gates (defended by David Harris),4.390,3.540
4,2:42,3,7,NYJ 13,17,7,Philip Rivers pass complete short right to Vincent Jackson for 12 yards (tackle by Bart Scott),3.540,6.970
4,2:20,1,1,NYJ 1,17,13,"Philip Rivers middle for 1 yard, touchdown",6.970,7.000
4,,,,NYJ 2,17,14,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,17,14,Mike Scifres kicks onside 8 yards,0.000,3.050
4,2:12,1,10,SDG 38,17,14,Shonn Greene right tackle for no gain (tackle by Shaun Phillips),3.050,2.510
4,2:00,2,10,SDG 38,17,14,Shonn Greene right tackle for 4 yards (tackle by Jacques Cesaire),2.510,2.340
4,1:55,,,,17,14,Timeout #3 by San Diego Chargers,0.000,2.340
4,1:55,3,6,SDG 34,17,14,Shonn Greene right tackle for 5 yards (tackle by Shawne Merriman and Luis Castillo),2.340,1.620
4,1:09,,,,17,14,Timeout #3 by New York Jets,0.000,1.620
4,1:09,4,1,SDG 29,17,14,Thomas Jones middle for 2 yards (tackle by Luis Castillo),1.620,3.780
4,0:24,1,10,SDG 27,17,14,Mark Sanchez kneels for -1 yards,3.780,3.100
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
