Quarter,Time,Tm,Detail,WAS,PHI
1.0,4:02,Eagles,David Akers 52 yard field goal,0,3
2.0,11:28,Eagles,Jon Ritchie 4 yard pass from Donovan McNabb (David Akers kick),0,10
,5:56,Redskins,Patrick Ramsey 1 yard rush (John Hall kick),7,10
,1:07,Eagles,David Akers 36 yard field goal,7,13
,0:05,Redskins,John Hall 48 yard field goal,10,13
3.0,7:33,Redskins,John Hall 45 yard field goal,13,13
,3:15,Eagles,N.D. Kalu 15 yard interception return (David Akers kick),13,20
4.0,8:56,Redskins,John Hall 37 yard field goal,16,20
,3:10,Eagles,Brian Westbrook 19 yard rush (David Akers kick),16,27
,1:14,Redskins,John Hall 53 yard field goal,19,27
,0:13,Redskins,Darnerien McCants 32 yard pass from Patrick Ramsey (pass failed),25,27
