Unnamed: 0,WAS,PHI
First Downs,20,18
Rush-Yds-TDs,21-49-1,30-127-1
Cmp-Att-Yd-TD-INT,25-50-271-1-2,16-30-157-1-2
Sacked-Yards,2-13,3-17
Net Pass Yards,258,140
Total Yards,307,267
Fumbles-Lost,0-0,1-0
Turnovers,2,2
Penalties-Yards,11-85,7-86
Third Down Conv.,5-17,6-14
Fourth Down Conv.,1-1,0-0
Time of Possession,27:31,32:29
