Unnamed: 0,CAR,SFO
First Downs,17,23
Rush-Yds-TDs,18-57-1,33-110-2
Cmp-Att-Yd-TD-INT,19-34-303-3-0,22-37-284-1-4
Sacked-Yards,1-2,4-37
Net Pass Yards,301,247
Total Yards,358,357
Fumbles-Lost,2-2,2-1
Turnovers,2,5
Penalties-Yards,7-49,7-60
Third Down Conv.,2-9,8-16
Fourth Down Conv.,0-0,1-1
Time of Possession,23:19,36:41
