Quarter,Time,Tm,Detail,PHI,DAL
1.0,14:57,Cowboys,Randal Williams 37 yard kickoff return (Billy Cundiff kick),0,7
2.0,10:20,Eagles,Brian Westbrook 5 yard rush (David Akers kick),7,7
,0:12,Cowboys,Billy Cundiff 51 yard field goal,7,10
3.0,4:00,Cowboys,Troy Hambrick 1 yard rush (Billy Cundiff kick),7,17
,2:56,Eagles,Duce Staley 52 yard pass from Donovan McNabb (David Akers kick),14,17
4.0,14:12,Cowboys,Billy Cundiff 22 yard field goal,14,20
,4:14,Eagles,Correll Buckhalter 20 yard rush (David Akers kick),21,20
,1:11,Cowboys,Billy Cundiff 28 yard field goal,21,23
