Unnamed: 0,PHI,DAL
First Downs,14,15
Rush-Yds-TDs,32-117-2,36-119-1
Cmp-Att-Yd-TD-INT,11-26-126-1-0,15-26-183-0-1
Sacked-Yards,2-11,1-10
Net Pass Yards,115,173
Total Yards,232,292
Fumbles-Lost,2-1,1-0
Turnovers,1,1
Penalties-Yards,2-10,5-23
Third Down Conv.,5-15,5-16
Fourth Down Conv.,1-1,1-1
Time of Possession,27:56,32:04
