Quarter,Time,Down,ToGo,Location,NYJ,SFO,Detail,EPB,EPA
1,,,,NYJ 2,0,7,Joe Nedney kicks extra point good,0.000,0.000
1,,,,SFO 30,0,7,"Joe Nedney kicks off 61 yards, returned by Leon Washington for 16 yards (tackle by Delanie Walker)",0.000,0.610
1,2:11,1,10,NYJ 25,0,7,Brett Favre pass complete short middle to Laveranues Coles for 5 yards (tackle by Donald Strickland),0.610,0.740
1,1:35,2,5,NYJ 30,0,7,Brett Favre pass complete short left to Chansi Stuckey for 8 yards (tackle by Patrick Willis),0.740,1.470
1,1:00,1,10,NYJ 38,0,7,Leon Washington left tackle for 1 yard (tackle by Takeo Spikes and Ronald Fields),1.470,1.060
1,0:19,2,9,NYJ 39,0,7,Brett Favre pass incomplete deep middle intended for Jerricho Cotchery,1.060,0.370
1,0:12,3,9,NYJ 39,0,7,Brett Favre pass complete short right to Chansi Stuckey for 8 yards (tackle by Donald Strickland),0.370,-0.260
Quarter,Time,Down,ToGo,Location,NYJ,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,NYJ 47,0,7,"Reggie Hodges punts 39 yards, returned by Arnaz Battle for no gain",-0.260,0.280
2,14:51,1,10,SFO 14,0,7,Frank Gore right tackle for 12 yards (tackle by Abram Elam and Eric Barton),-0.280,0.670
2,14:16,1,10,SFO 26,0,7,Frank Gore right guard for 5 yards (tackle by Bryan Thomas),0.670,0.810
2,13:37,2,5,SFO 31,0,7,Frank Gore left tackle for -2 yards (tackle by Calvin Pace),0.810,-0.160
2,12:53,3,7,SFO 29,0,7,Shaun Hill pass incomplete deep middle intended for Isaac Bruce (defended by Drew Coleman),-0.160,-1.440
2,12:47,4,7,SFO 29,0,7,Andy Lee punts 32 yards,-1.440,-1.530
2,12:38,1,10,NYJ 39,0,7,Brett Favre pass complete short left to Chansi Stuckey for 3 yards (tackle by Aubrayo Franklin),1.530,1.390
2,11:55,2,7,NYJ 42,0,7,Thomas Jones up the middle for 3 yards (tackle by Aubrayo Franklin),1.390,1.090
2,11:21,3,4,NYJ 45,0,7,Brett Favre pass complete short right to Chansi Stuckey for 24 yards (tackle by Keith Lewis),1.090,3.510
2,10:48,1,10,SFO 31,0,7,Brett Favre pass complete short right to Thomas Jones for 9 yards (tackle by Walt Harris),3.510,4.180
2,10:08,2,1,SFO 22,0,7,Thomas Jones right guard for 2 yards (tackle by Isaac Sopoaga),4.180,4.240
2,9:29,1,10,SFO 20,0,7,Brett Favre pass complete short middle to Leon Washington for 5 yards (tackle by Patrick Willis),4.240,4.450
2,8:48,2,5,SFO 15,0,7,Thomas Jones up the middle for 8 yards (tackle by Michael Lewis),4.450,5.600
2,8:08,1,7,SFO 7,0,7,Thomas Jones up the middle for 5 yards (tackle by Aubrayo Franklin),5.600,5.720
2,7:25,2,2,SFO 2,6,7,"Brett Favre right end for 2 yards, touchdown. Penalty on Michael Lewis: Defensive Holding (Declined)",5.720,7.000
2,,,,SFO 2,7,7,Jay Feely kicks extra point good,0.000,0.000
2,,,,NYJ 30,7,7,"Jay Feely kicks off 61 yards, returned by Delanie Walker for 18 yards (tackle by Marques Murrell). Delanie Walker fumbles (forced by Marques Murrell), ball out of bounds at SFO-26",0.000,0.670
2,7:10,1,10,SFO 26,7,7,Shaun Hill pass complete short middle to Frank Gore for 3 yards (tackle by David Harris),0.670,0.540
2,6:33,2,7,SFO 29,7,7,Shaun Hill pass incomplete deep left intended for Delanie Walker,0.540,-0.160
2,6:26,3,7,SFO 29,7,7,Shaun Hill up the middle for 8 yards (tackle by Ty Law),-0.160,1.400
2,5:41,1,10,SFO 37,7,7,Frank Gore up the middle for 3 yards (tackle by Shaun Ellis),1.400,1.260
2,5:06,2,7,SFO 40,7,7,Frank Gore up the middle for 3 yards (tackle by David Harris),1.260,0.960
2,4:21,3,4,SFO 43,7,7,Shaun Hill pass complete short left to Isaac Bruce for 3 yards (tackle by Darrelle Revis),0.960,-0.320
2,3:28,4,1,SFO 46,7,7,Frank Gore left tackle for 4 yards (tackle by Abram Elam and Darrelle Revis),-0.320,2.260
2,2:50,1,10,,7,7,Shaun Hill pass complete deep middle to Vernon Davis for 20 yards (tackle by Kerry Rhodes),2.260,3.580
2,2:10,1,10,NYJ 30,7,7,Shaun Hill sacked by Mike DeVito and David Harris for -10 yards,3.580,1.680
2,2:00,2,20,NYJ 40,7,7,Shaun Hill pass complete short right to Dominique Zeigler for 13 yards (tackle by Dwight Lowery),1.680,2.740
2,1:11,3,7,NYJ 27,7,7,Shaun Hill pass complete short right to Isaac Bruce for 19 yards (tackle by Hank Poteat),2.740,5.370
2,1:03,1,8,NYJ 8,7,7,"Shaun Hill pass incomplete short right intended for Jason Hill. Penalty on Dwight Lowery: Defensive Holding, 4 yards (no play)",5.370,6.280
2,0:59,1,4,NYJ 4,7,7,Shaun Hill pass incomplete short left intended for Isaac Bruce,6.280,5.340
2,0:54,2,4,NYJ 4,7,7,Shaun Hill pass incomplete short right intended for Frank Gore,5.340,4.490
2,0:50,,,,7,7,Timeout #1 by San Francisco 49ers,0.000,4.490
2,0:50,3,4,NYJ 4,7,13,"Shaun Hill pass complete short right to Frank Gore for 4 yards, touchdown",4.490,7.000
2,,,,NYJ 2,7,14,Joe Nedney kicks extra point good,0.000,0.000
2,,,,SFO 30,7,14,"Joe Nedney kicks off 59 yards, returned by Leon Washington for 16 yards (tackle by Dominique Zeigler). Penalty on Wallace Wright: Offensive Holding, 10 yards",0.000,-0.060
2,0:39,1,10,NYJ 17,7,14,Brett Favre pass complete short left to Brad Smith for no gain,-0.060,-0.580
2,0:17,2,10,NYJ 17,7,14,Brett Favre pass incomplete deep middle intended for Dustin Keller,-0.580,-1.250
2,0:11,3,10,NYJ 17,7,14,Brett Favre pass complete short middle to Leon Washington for 5 yards (tackle by Michael Lewis),-1.250,-1.900
Quarter,Time,Down,ToGo,Location,NYJ,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,7,14,"Jay Feely kicks off 65 yards, returned by Delanie Walker for 17 yards (tackle by Marques Murrell)",0.000,0.410
3,14:55,1,10,SFO 22,7,14,Frank Gore right guard for 5 yards (tackle by Eric Barton),0.410,0.540
3,14:23,2,5,SFO 27,7,14,Frank Gore up the middle for 5 yards (tackle by Eric Barton),0.540,1.070
3,13:50,1,10,SFO 32,7,14,DeShaun Foster up the middle for 1 yard (tackle by David Harris),1.070,0.660
3,13:11,2,9,SFO 33,7,14,Shaun Hill pass incomplete deep right intended for Bryant Johnson,0.660,-0.030
3,13:04,3,9,SFO 33,7,14,Shaun Hill pass incomplete short right intended for Jason Hill (defended by Calvin Pace),-0.030,-1.180
3,13:01,4,9,SFO 33,7,14,"Andy Lee punts 54 yards, returned by Leon Washington for 3 yards (tackle by Brian Jennings). Penalty on Ahmad Carroll: Illegal Block Above the Waist, 8 yards",-1.180,0.380
3,12:48,1,10,NYJ 8,7,14,Brett Favre pass complete short left to Leon Washington for 3 yards (tackle by Walt Harris),-0.380,-0.560
3,12:17,2,7,NYJ 11,7,14,Brett Favre pass incomplete deep right intended for Jerricho Cotchery,-0.560,-1.070
3,12:09,3,7,NYJ 11,7,14,Brett Favre pass complete short middle to Leon Washington for 6 yards (tackle by Patrick Willis). Penalty on Alan Faneca: Offensive Holding (Declined),-1.070,-2.320
3,11:53,4,1,NYJ 17,7,14,"Reggie Hodges punts 53 yards, returned by Arnaz Battle for 4 yards (tackle by Wallace Wright)",-2.320,-1.200
3,11:37,1,10,SFO 34,7,14,DeShaun Foster left guard for 3 yards (tackle by Kenyon Coleman),1.200,1.060
3,10:58,2,7,SFO 37,7,14,DeShaun Foster up the middle for 2 yards (tackle by David Harris),1.060,0.630
3,10:17,3,5,SFO 39,7,14,Shaun Hill pass complete short left to Vernon Davis for 4 yards (tackle by Dwight Lowery),0.630,-0.520
3,9:41,4,1,SFO 43,7,14,"Penalty on Kris Jenkins: Encroachment, 5 yards (no play)",-0.520,2.130
3,9:16,1,10,SFO 48,7,14,Shaun Hill pass complete short right to Bryant Johnson for 9 yards (tackle by Abram Elam),2.130,2.800
3,8:54,2,1,NYJ 43,7,14,"DeShaun Foster right guard for 4 yards (tackle by Shaun Ellis). DeShaun Foster fumbles (forced by Shaun Ellis), recovered by David Baas at NYJ-39",2.800,2.980
3,8:06,1,10,NYJ 39,7,14,Michael Robinson left tackle for 4 yards (tackle by Shaun Ellis),2.980,2.980
3,7:30,2,6,NYJ 35,7,14,Shaun Hill pass incomplete short right intended for Isaac Bruce is intercepted by David Bowens at NYJ-31 and returned for 24 yards (tackle by Michael Robinson),2.980,-2.590
3,7:21,1,10,SFO 45,7,14,Thomas Jones right guard for 9 yards (tackle by Michael Lewis),2.590,3.260
3,6:43,2,1,SFO 36,7,14,Brett Favre pass complete short middle to Thomas Jones for 4 yards (tackle by Manny Lawson),3.260,3.450
3,6:04,1,10,SFO 32,7,14,Brett Favre pass complete short middle to Chris Baker for 15 yards (tackle by Manny Lawson),3.450,4.440
3,5:29,1,10,SFO 17,13,14,"Thomas Jones right tackle for 17 yards, touchdown",4.440,7.000
3,,,,SFO 2,14,14,Jay Feely kicks extra point good,0.000,0.000
3,,,,NYJ 30,14,14,"Jay Feely kicks off 65 yards, returned by Michael Robinson for 34 yards (tackle by Jay Feely)",0.000,1.530
3,5:17,1,10,SFO 39,14,14,"Shaun Hill up the middle for 12 yards (tackle by Darrelle Revis). Penalty on David Baas: Offensive Holding, 10 yards (no play)",1.530,0.870
3,4:54,1,20,SFO 29,14,14,Shaun Hill pass complete short left to DeShaun Foster for 8 yards (tackle by David Harris),0.870,0.720
3,4:02,2,12,SFO 37,14,14,Shaun Hill pass complete deep left to Bryant Johnson for 17 yards (tackle by Eric Barton),0.720,2.520
3,3:21,1,10,NYJ 46,14,14,Shaun Hill pass complete short left to Bryant Johnson for 6 yards (tackle by Eric Barton),2.520,2.790
3,2:43,2,4,NYJ 40,14,14,DeShaun Foster left end for 6 yards (tackle by C.J. Mosley),2.790,3.310
3,2:01,1,10,NYJ 34,14,14,"DeShaun Foster right end for 1 yard (tackle by Bryan Thomas). Penalty on Kris Jenkins: Defensive Holding, 5 yards",3.310,3.710
3,1:39,1,10,NYJ 28,14,14,"Shaun Hill pass complete deep middle to Delanie Walker for 28 yards. Penalty on Joe Staley: Offensive Holding, 10 yards (no play)",3.710,3.050
3,1:32,1,20,NYJ 38,14,14,Shaun Hill sacked by Shaun Ellis for 0 yards,3.050,1.820
3,0:57,2,20,NYJ 38,14,14,Shaun Hill pass complete short right to Jason Hill for 11 yards (tackle by Kerry Rhodes),1.820,2.610
3,0:13,3,9,NYJ 27,14,14,Shaun Hill pass complete short left to Isaac Bruce for 13 yards (tackle by Drew Coleman),2.610,4.650
Quarter,Time,Down,ToGo,Location,NYJ,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYJ 14,14,14,Shaun Hill pass incomplete short right intended for Isaac Bruce,4.650,4.000
4,14:57,2,10,NYJ 14,14,14,Shaun Hill pass incomplete short left intended for Bryant Johnson,4.000,3.110
4,14:51,3,10,NYJ 14,14,14,Shaun Hill pass incomplete short middle intended for Dominique Zeigler,3.110,2.510
4,14:47,4,10,NYJ 14,14,17,Joe Nedney 32 yard field goal good,2.510,3.000
4,,,,SFO 30,14,17,"Joe Nedney kicks off 69 yards, returned by Leon Washington for 39 yards. Penalty on James Ihedigbo: Offensive Holding, 10 yards",0.000,0.940
4,14:29,1,10,NYJ 30,14,17,"Brett Favre pass incomplete short right intended for Thomas Jones (defended by Michael Lewis). Penalty on Chris Baker: Offensive Holding, 10 yards (no play)",0.940,0.280
4,14:29,1,20,NYJ 20,14,17,Brett Favre pass complete short left to Thomas Jones for -1 yards (tackle by Aubrayo Franklin),0.280,-1.150
4,13:39,2,21,NYJ 19,14,17,Brett Favre pass incomplete deep middle intended for Laveranues Coles,-1.150,-1.870
4,13:32,,,,14,17,Timeout #1 by New York Jets,0.000,-1.870
4,13:32,3,21,NYJ 19,14,17,Brett Favre pass complete short left to Leon Washington for 9 yards (tackle by Parys Haralson),-1.870,-1.500
4,12:52,4,12,NYJ 28,14,17,"Reggie Hodges punts 42 yards, returned by Arnaz Battle for 19 yards (tackle by Cody Spencer)",-1.500,-2.190
4,12:40,1,10,SFO 49,14,17,DeShaun Foster left guard for 5 yards (tackle by David Harris and Calvin Pace),2.190,2.320
4,12:00,2,5,NYJ 46,14,17,DeShaun Foster up the middle for 2 yards (tackle by Kerry Rhodes),2.320,1.880
4,11:15,3,3,NYJ 44,14,17,Shaun Hill pass complete short right to Jason Hill for 13 yards (tackle by Dwight Lowery),1.880,3.510
4,10:45,1,10,NYJ 31,14,17,DeShaun Foster up the middle for 1 yard (tackle by Calvin Pace),3.510,3.100
4,9:57,2,9,NYJ 30,14,17,Shaun Hill pass complete short left to Michael Robinson for 13 yards (tackle by Sione Pouha),3.100,4.440
4,9:13,1,10,NYJ 17,14,17,Shaun Hill pass complete short right to Billy Bajema for 5 yards (tackle by David Harris),4.440,4.690
4,8:28,2,5,NYJ 12,14,17,DeShaun Foster up the middle for -1 yards (tackle by Kenyon Coleman),4.690,3.680
4,7:47,3,6,NYJ 13,14,17,Shaun Hill pass complete short right to Jason Hill for 9 yards (tackle by Drew Coleman),3.680,6.280
4,6:57,1,4,NYJ 4,14,17,DeShaun Foster up the middle for 1 yard (tackle by Shaun Ellis and David Bowens),6.280,5.530
4,6:12,2,3,NYJ 3,14,23,"Shaun Hill pass complete short left to Bryant Johnson for 3 yards, touchdown",5.530,7.000
4,,,,NYJ 2,14,24,Joe Nedney kicks extra point good,0.000,0.000
4,,,,SFO 30,14,24,"Joe Nedney kicks off 65 yards, returned by Brad Smith for 9 yards. Brad Smith fumbles, recovered by Leon Washington at NYJ-1",0.000,-0.380
4,5:55,1,10,NYJ 1,14,24,Brett Favre pass complete short left to Jerricho Cotchery for 10 yards (tackle by Donald Strickland),-0.380,-0.370
4,5:32,1,10,NYJ 11,14,24,Brett Favre pass complete short left to Leon Washington for 3 yards (tackle by Walt Harris),-0.370,-0.530
4,5:03,2,7,NYJ 14,14,24,Brett Favre pass incomplete deep right intended for Jerricho Cotchery,-0.530,-1.070
4,4:54,3,7,NYJ 14,14,24,Brett Favre sacked by Parys Haralson and Roderick Green for -6 yards,-1.070,-2.490
4,4:28,4,13,NYJ 8,14,24,"Reggie Hodges punts 42 yards, fair catch by Arnaz Battle",-2.490,-2.260
4,4:19,1,10,,14,24,DeShaun Foster right end for 4 yards (tackle by Bryan Thomas),2.260,2.250
4,3:34,2,6,NYJ 46,14,24,"Penalty on Joe Staley: False Start, 5 yards (no play)",2.250,1.580
4,3:32,2,11,SFO 49,14,24,DeShaun Foster right tackle for -2 yards (tackle by Bryan Thomas),1.580,0.630
4,2:47,3,13,SFO 47,14,24,Shaun Hill pass complete short right to Vernon Davis for 5 yards (tackle by Darrelle Revis). Penalty on Vernon Davis: Illegal Formation (Declined),0.630,0.070
4,2:41,4,8,NYJ 48,14,24,"Andy Lee punts 36 yards, returned by Leon Washington for 10 yards (tackle by Reggie Smith)",0.070,-0.410
4,2:28,1,10,NYJ 22,14,24,Brett Favre pass incomplete short left intended for Dustin Keller,0.410,-0.130
4,2:22,2,10,NYJ 22,14,24,Brett Favre pass complete short middle to Brad Smith for 7 yards (tackle by Michael Lewis),-0.130,0.100
4,2:14,3,3,NYJ 29,14,24,Brett Favre pass incomplete short middle intended for Dustin Keller,0.100,-1.440
4,2:08,4,3,NYJ 29,14,24,Brett Favre pass complete short middle to Dustin Keller for 9 yards (tackle by Michael Lewis),-1.440,1.470
4,2:00,1,10,NYJ 38,14,24,Brett Favre pass incomplete deep left intended for Laveranues Coles is intercepted by Walt Harris at SFO-7. Penalty on Laveranues Coles: Offensive Pass Interference (Declined),1.470,0.380
4,1:52,1,10,SFO 7,14,24,DeShaun Foster right guard for 2 yards (tackle by Shaun Ellis),-0.380,-0.630
4,1:47,,,,14,24,Timeout #2 by New York Jets,0.000,-0.630
4,1:47,2,8,SFO 9,14,24,DeShaun Foster right tackle for 4 yards (tackle by David Harris and Eric Barton),-0.630,-0.720
4,1:42,,,,14,24,Timeout #3 by New York Jets,0.000,-0.720
4,1:42,3,4,SFO 13,14,24,DeShaun Foster up the middle for 2 yards (tackle by David Harris),-0.720,-2.440
4,0:55,,,,14,24,Timeout #1 by San Francisco 49ers,0.000,-2.440
4,0:55,4,2,SFO 15,14,24,"Andy Lee punts 56 yards, returned by Leon Washington for 1 yard (tackle by Jason Hill)",-2.440,-0.940
4,0:44,1,10,NYJ 30,14,24,Brett Favre pass incomplete deep middle intended for Chansi Stuckey (defended by Mark Roman),0.940,0.390
4,0:38,2,10,NYJ 30,14,24,Brett Favre pass incomplete short left intended for Laveranues Coles,0.390,-0.300
4,0:33,3,10,NYJ 30,14,24,Brett Favre sacked by Parys Haralson for -2 yards,-0.300,-1.500
4,0:13,4,12,NYJ 28,14,24,Brett Favre sacked by Justin Smith for -6 yards. Penalty on SFO: Defensive 12 On-field (Declined),-1.500,1.200
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
