Unnamed: 0,NYJ,SFO
First Downs,10,25
Rush-Yds-TDs,12-59-2,33-100-0
Cmp-Att-Yd-TD-INT,20-31-137-0-1,28-39-285-2-1
Sacked-Yards,3-14,2-10
Net Pass Yards,123,275
Total Yards,182,375
Fumbles-Lost,1-0,5-1
Turnovers,1,2
Penalties-Yards,8-57,3-25
Third Down Conv.,1-10,8-15
Fourth Down Conv.,1-2,1-1
Time of Possession,20:11,39:49
