Week,Day,Date,Time,Winner/tie,Unnamed: 5,Loser/tie,Unnamed: 7,PtsW,PtsL,YdsW,TOW,YdsL,TOL,url,Home,Away,File
Week1,Thu,2003-09-04,9:09PM,Washington Redskins,,New York Jets,boxscore,16,13,327,2,158,0,https://www.pro-football-reference.com/boxscores/200309040was.htm,WAS,NYJ,2003_Week1_WAS_vs_NYJ
Week1,Sun,2003-09-07,1:00PM,Kansas City Chiefs,,San Diego Chargers,boxscore,27,14,390,2,232,2,https://www.pro-football-reference.com/boxscores/200309070kan.htm,KC,LAC,2003_Week1_KC_vs_LAC
Week1,Sun,2003-09-07,1:04PM,Buffalo Bills,,New England Patriots,boxscore,31,0,322,2,239,4,https://www.pro-football-reference.com/boxscores/200309070buf.htm,BUF,NE,2003_Week1_BUF_vs_NE
Week1,Sun,2003-09-07,1:04PM,Carolina Panthers,,Jacksonville Jaguars,boxscore,24,23,242,2,331,1,https://www.pro-football-reference.com/boxscores/200309070car.htm,CAR,JAX,2003_Week1_CAR_vs_JAX
Week1,Sun,2003-09-07,1:04PM,Minnesota Vikings,@,Green Bay Packers,boxscore,30,25,337,2,304,5,https://www.pro-football-reference.com/boxscores/200309070gnb.htm,GB,MIN,2003_Week1_GB_vs_MIN
Week1,Sun,2003-09-07,1:04PM,Pittsburgh Steelers,,Baltimore Ravens,boxscore,34,15,339,1,231,2,https://www.pro-football-reference.com/boxscores/200309070pit.htm,PIT,BAL,2003_Week1_PIT_vs_BAL
Week1,Sun,2003-09-07,1:05PM,New York Giants,,St. Louis Rams,boxscore,23,13,336,3,355,4,https://www.pro-football-reference.com/boxscores/200309070nyg.htm,NYG,LAR,2003_Week1_NYG_vs_LAR
Week1,Sun,2003-09-07,1:06PM,Denver Broncos,@,Cincinnati Bengals,boxscore,30,10,293,3,294,4,https://www.pro-football-reference.com/boxscores/200309070cin.htm,CIN,DEN,2003_Week1_CIN_vs_DEN
Week1,Sun,2003-09-07,1:06PM,Indianapolis Colts,@,Cleveland Browns,boxscore,9,6,271,2,280,2,https://www.pro-football-reference.com/boxscores/200309070cle.htm,CLE,IND,2003_Week1_CLE_vs_IND
Week1,Sun,2003-09-07,1:06PM,Detroit Lions,,Arizona Cardinals,boxscore,42,24,261,0,434,3,https://www.pro-football-reference.com/boxscores/200309070det.htm,DET,ARI,2003_Week1_DET_vs_ARI
Week1,Sun,2003-09-07,1:06PM,Houston Texans,@,Miami Dolphins,boxscore,21,20,393,0,301,3,https://www.pro-football-reference.com/boxscores/200309070mia.htm,MIA,HOU,2003_Week1_MIA_vs_HOU
Week1,Sun,2003-09-07,4:18PM,Seattle Seahawks,,New Orleans Saints,boxscore,27,10,270,0,359,4,https://www.pro-football-reference.com/boxscores/200309070sea.htm,SEA,NO,2003_Week1_SEA_vs_NO
Week1,Sun,2003-09-07,4:19PM,Atlanta Falcons,@,Dallas Cowboys,boxscore,27,13,318,1,403,2,https://www.pro-football-reference.com/boxscores/200309070dal.htm,DAL,ATL,2003_Week1_DAL_vs_ATL
Week1,Sun,2003-09-07,4:19PM,San Francisco 49ers,,Chicago Bears,boxscore,49,7,391,2,127,5,https://www.pro-football-reference.com/boxscores/200309070sfo.htm,SF,CHI,2003_Week1_SF_vs_CHI
Week1,Sun,2003-09-07,8:51PM,Tennessee Titans,,Oakland Raiders,boxscore,25,20,334,2,280,1,https://www.pro-football-reference.com/boxscores/200309070oti.htm,TEN,LVR,2003_Week1_TEN_vs_LVR
Week1,Mon,2003-09-08,9:09PM,Tampa Bay Buccaneers,@,Philadelphia Eagles,boxscore,17,0,328,1,245,2,https://www.pro-football-reference.com/boxscores/200309080phi.htm,PHI,TB,2003_Week1_PHI_vs_TB
