Quarter,Time,Down,ToGo,Location,STL,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 60 yards, returned by Joffrey Reynolds for 10 yards (tackle by Clint Kriewaldt)",0.000,0.280
1,14:55,1,10,STL 20,0,0,Arlen Harris left tackle for 1 yard (tackle by James Farrior and Mike Logan),0.280,-0.130
1,14:17,2,9,STL 21,0,0,Marc Bulger pass incomplete intended for Torry Holt,-0.130,-0.820
1,14:12,3,9,STL 21,0,0,Marc Bulger pass incomplete intended for Torry Holt,-0.820,-1.960
1,14:07,4,9,STL 21,0,0,"Sean Landeta punts 47 yards, returned by Antwaan Randle El for 6 yards (tackle by Jamie Duncan)",-1.960,-1.470
1,13:56,1,10,PIT 38,0,0,Tommy Maddox pass incomplete intended for Plaxico Burress,1.470,0.920
1,13:52,2,10,PIT 38,0,0,Tommy Maddox pass incomplete intended for Jerome Bettis,0.920,0.230
1,13:48,3,10,PIT 38,0,0,Tommy Maddox pass complete to Amos Zereoue for 5 yards (tackle by Pisa Tinoisamoa),0.230,-0.520
1,13:10,4,5,PIT 43,0,0,Josh Miller punts 41 yards,-0.520,0.140
1,13:02,1,10,STL 16,0,0,"Penalty on Torry Holt: False Start, 5 yards (no play)",-0.140,-0.540
1,13:02,1,15,STL 11,0,0,Marc Bulger pass complete to Torry Holt for 48 yards (tackle by Brent Alexander),-0.540,2.850
1,12:20,1,10,PIT 41,0,0,Arlen Harris right guard for no gain,2.850,2.310
1,11:38,2,10,PIT 41,0,0,"Penalty on Kyle Turley: False Start, 5 yards (no play)",2.310,1.630
1,11:12,2,15,PIT 46,0,0,Arlen Harris left guard for 10 yards (tackle by Mike Logan and Brent Alexander),1.630,2.280
1,10:31,3,5,PIT 36,6,0,"Marc Bulger pass complete to Torry Holt for 36 yards, touchdown",2.280,7.000
1,,,,PIT 2,7,0,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,7,0,"Jeff Wilkins kicks off 51 yards, lateral to Ike Taylor for 28 yards (tackle by Rich Coady)",0.000,1.730
1,10:17,1,10,PIT 42,7,0,Jerome Bettis right tackle for 3 yards (tackle by Rich Coady),1.730,1.590
1,9:41,2,7,PIT 45,7,0,"Jerome Bettis right guard for -1 yards (tackle by Grant Wistrom). Jerome Bettis fumbles (forced by Grant Wistrom), recovered by Robert W. Thomas at PIT-44 (tackle by Jerame Tuman)",1.590,-2.650
1,9:30,1,10,PIT 44,7,0,Marc Bulger pass incomplete intended for Torry Holt,2.650,2.110
1,9:26,2,10,PIT 44,7,0,Marc Bulger pass complete to Torry Holt for 12 yards (tackle by James Farrior),2.110,3.450
1,8:45,1,10,PIT 32,7,0,Marc Bulger pass complete to Arlen Harris for 1 yard (tackle by Brent Alexander),3.450,3.040
1,8:00,2,9,PIT 31,7,0,Arlen Harris right guard for 2 yards (tackle by James Farrior),3.040,2.610
1,7:16,3,7,PIT 29,7,0,Marc Bulger pass incomplete intended for Brandon Manumaleuna,2.610,1.500
1,7:06,4,7,PIT 29,7,0,Jeff Wilkins 47 yard field goal no good,1.500,-1.400
1,7:06,1,10,PIT 37,7,0,Jerome Bettis left end for 8 yards (tackle by Rich Coady and Jamie Duncan),1.400,1.940
1,6:27,2,2,PIT 45,7,0,Jerome Bettis right tackle for 4 yards (tackle by Jerametrius Butler),1.940,2.190
1,5:47,1,10,PIT 49,7,0,Jerome Bettis up the middle for -1 yards (tackle by Leonard Little and Brian Young),2.190,1.510
1,5:09,2,11,PIT 48,7,0,Tommy Maddox pass incomplete intended for Plaxico Burress,1.510,0.830
1,5:01,3,11,PIT 48,7,0,Tommy Maddox sacked by Grant Wistrom for -3 yards,0.830,-0.390
1,4:33,4,14,PIT 45,7,0,"Josh Miller punts 41 yards, returned by DeJuan Groce for 4 yards (tackle by Chidi Iwuoma)",-0.390,-0.040
1,4:23,1,10,STL 18,7,0,Arlen Harris left guard for 5 yards (tackle by Joey Porter),0.040,0.280
1,3:46,2,5,STL 23,7,0,Arlen Harris left end for 12 yards (tackle by Brent Alexander and Dewayne Washington),0.280,1.270
1,3:06,1,10,STL 35,7,0,Arlen Harris up the middle for 3 yards (tackle by Kendrell Bell),1.270,1.130
1,2:28,,,,7,0,Timeout #1 by St. Louis Rams,0.000,1.130
1,2:28,2,7,STL 38,7,0,Marc Bulger pass complete to Brandon Manumaleuna for 1 yard (tackle by Joey Porter),1.130,0.560
1,1:42,3,6,STL 39,7,0,Marc Bulger sacked by Joey Porter for -10 yards,0.560,-1.440
1,1:15,4,16,STL 29,7,0,"Sean Landeta punts 42 yards, returned by Antwaan Randle El for no gain. Penalty on Spencer Nead: Face Mask (15 Yards) (Offsetting), Penalty on PIT: Offensive Holding (Offsetting) (no play)",-1.440,-1.440
1,1:01,4,16,STL 29,7,6,"Sean Landeta punts 55 yards, returned by Antwaan Randle El for 84 yards, touchdown",-1.440,-7.000
1,,,,STL 2,7,7,Jeff Reed kicks extra point good,0.000,0.000
1,,,,PIT 30,7,7,"Jeff Reed kicks off 63 yards, returned by Joffrey Reynolds for 15 yards (tackle by Clint Kriewaldt)",0.000,0.410
1,0:43,1,10,STL 22,7,7,Arlen Harris right guard for 4 yards (tackle by Jason Gildon),0.410,0.410
Quarter,Time,Down,ToGo,Location,STL,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,STL 26,7,7,"Penalty on Adam Timmerman: False Start, 5 yards (no play)",0.410,-0.270
2,14:58,2,11,STL 21,7,7,Arlen Harris left guard for 5 yards (tackle by Kendrell Bell),-0.270,-0.290
2,14:21,3,6,STL 26,7,7,Marc Bulger pass incomplete intended for Torry Holt,-0.290,-1.630
2,14:16,,,,7,7,Timeout #2 by St. Louis Rams,0.000,-1.630
2,14:13,4,6,STL 26,7,7,"Sean Landeta punts 47 yards, returned by Antwaan Randle El for 2 yards (tackle by Spencer Nead)",-1.630,-0.870
2,14:03,1,10,PIT 29,7,7,Tommy Maddox pass complete to Jerame Tuman for 21 yards (tackle by Rich Coady),0.870,2.260
2,13:25,1,10,PIT 50,7,7,Tommy Maddox pass incomplete intended for Hines Ward,2.260,1.710
2,13:20,2,10,PIT 50,7,7,Antwaan Randle El left end for 7 yards (tackle by Robert W. Thomas),1.710,1.950
2,12:41,3,3,STL 43,7,7,Tommy Maddox sacked by Leonard Little for -5 yards,1.950,0.070
2,12:10,4,8,STL 48,7,7,Josh Miller punts 37 yards,0.070,0.370
2,12:00,1,10,STL 11,7,7,Marc Bulger pass complete to Cam Cleeland for 26 yards (tackle by Brent Alexander),-0.370,1.400
2,11:22,1,10,STL 37,7,7,Marc Bulger pass complete to Isaac Bruce for 29 yards (tackle by Chad Scott),1.400,3.310
2,10:43,,,,7,7,Timeout #3 by St. Louis Rams,0.000,3.310
2,10:43,1,10,PIT 34,7,7,Marc Bulger pass incomplete intended for Brandon Manumaleuna (defended by Kendrell Bell),3.310,2.770
2,10:37,2,10,PIT 34,7,7,Marc Bulger pass complete to Arlen Harris for 5 yards (tackle by Deshea Townsend),2.770,2.740
2,9:56,3,5,PIT 29,7,7,Marc Bulger pass complete to Arlen Harris for 4 yards (tackle by Dewayne Washington),2.740,1.950
2,9:12,4,1,PIT 25,7,7,Arlen Harris up the middle for 2 yards (tackle by Mike Logan),1.950,4.040
2,8:30,1,10,PIT 23,7,7,Marc Bulger pass complete to Dane Looker for 22 yards,4.040,6.970
2,8:01,1,1,PIT 1,13,7,"Arlen Harris left guard for 1 yard, touchdown",6.970,7.000
