Quarter,Time,Tm,Detail,STL,PIT
1.0,10:23,Rams,Torry Holt 36 yard pass from Marc Bulger (Jeff Wilkins kick),7,0
,0:43,Steelers,Antwaan Randle El 84 yard punt return (Jeff Reed kick),7,7
2.0,7:58,Rams,Arlen Harris 1 yard rush (Jeff Wilkins kick),14,7
,4:55,Steelers,Hines Ward 9 yard pass from Tommy Maddox (Jeff Reed kick),14,14
,0:52,Rams,Jeff Wilkins 20 yard field goal,17,14
3.0,9:13,Rams,Jeff Wilkins 22 yard field goal,20,14
,6:51,Steelers,Hines Ward 22 yard pass from Tommy Maddox (Jeff Reed kick),20,21
,2:31,Rams,Arlen Harris 9 yard rush (Jeff Wilkins kick),27,21
4.0,7:54,Rams,Arlen Harris 9 yard rush,33,21
