Unnamed: 0,STL,PIT
First Downs,26,11
Rush-Yds-TDs,37-89-3,18-94-0
Cmp-Att-Yd-TD-INT,22-37-375-1-0,12-28-159-2-3
Sacked-Yards,2-16,2-8
Net Pass Yards,359,151
Total Yards,448,245
Fumbles-Lost,0-0,2-1
Turnovers,0,4
Penalties-Yards,8-45,5-37
Third Down Conv.,5-16,1-10
Fourth Down Conv.,1-1,0-1
Time of Possession,40:00,20:00
