Quarter,Time,Down,ToGo,Location,DEN,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Mike Vanderjagt kicks off 60 yards, returned by Adrian Madise for 16 yards (tackle by Donald Strickland)",0.000,0.670
1,14:52,1,10,DEN 26,0,0,Mike Anderson right guard for 3 yards (tackle by David Thornton),0.670,0.540
1,14:14,2,7,DEN 29,0,0,Mike Anderson right guard for 6 yards (tackle by Donald Strickland),0.540,0.630
1,13:36,3,1,DEN 35,0,0,"Penalty on Ben Hamilton: False Start, 5 yards (no play)",0.630,-0.030
1,13:08,,,,0,0,Timeout #1 by Denver Broncos,0.000,-0.030
1,13:08,3,6,DEN 30,0,6,"Jake Plummer pass incomplete intended for Quentin Griffin is intercepted by Gary Brackett at DEN-31 and returned for 31 yards, touchdown",-0.030,-7.000
1,,,,DEN 2,0,7,Mike Vanderjagt kicks extra point good,0.000,0.000
1,,,,IND 30,0,7,"Mike Vanderjagt kicks off 59 yards, returned by Deltha O'Neal for 14 yards (tackle by Keyon Whiteside)",0.000,0.610
1,12:53,1,10,DEN 25,0,7,Jake Plummer pass complete to Ashley Lelie for 60 yards (tackle by Donald Strickland),0.610,4.580
1,12:16,1,10,IND 15,0,7,Mike Anderson right tackle for 4 yards (tackle by Montae Reagor and Mike Doss),4.580,4.640
1,11:35,2,6,IND 11,0,7,Jake Plummer pass incomplete intended for Rod Smith,4.640,3.780
1,11:26,3,6,IND 11,0,7,Quentin Griffin up the middle for 8 yards (tackle by Anthony Floyd),3.780,6.510
1,10:42,1,3,IND 3,0,7,Mike Anderson left tackle for 1 yard (tackle by Rob Morris and Donald Strickland),6.510,5.720
1,9:59,2,2,IND 2,6,7,"Mike Anderson right tackle for 2 yards, touchdown",5.720,7.000
1,,,,IND 2,7,7,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 30,7,7,"Micah Knorr kicks off 67 yards, returned by Dominic Rhodes for 26 yards (tackle by Sam Brandon)",0.000,0.870
1,9:50,1,10,IND 29,7,7,Edgerrin James left end for -5 yards (tackle by Mario Fatafehi),0.870,-0.350
1,9:09,2,15,IND 24,7,7,Edgerrin James right end for 4 yards (tackle by Kenoy Kennedy),-0.350,-0.490
1,8:32,3,11,IND 28,7,7,"Peyton Manning sacked by Bertrand Berry and Trevor Pryce for -6 yards. Peyton Manning fumbles (forced by Bertrand Berry), recovered by Rick DeMulling at IND-19",-0.490,-2.140
1,7:58,4,20,IND 19,7,7,"Hunter Smith punts 38 yards, fair catch by Deltha O'Neal",-2.140,-1.800
1,7:50,1,10,DEN 43,7,7,Mike Anderson left end for 3 yards (tackle by Anthony Floyd and Montae Reagor),1.800,1.660
1,7:10,2,7,DEN 46,7,7,Jake Plummer pass complete to Shannon Sharpe for 26 yards (tackle by Donald Strickland),1.660,3.710
1,6:41,1,10,IND 28,7,7,"Mike Anderson right guard for 20 yards (tackle by Walt Harris). Penalty on Ben Hamilton: Offensive Holding, 10 yards (no play)",3.710,3.050
1,6:12,1,20,IND 38,7,7,Quentin Griffin right guard for 5 yards (tackle by Nick Harper),3.050,2.490
1,5:30,2,15,IND 33,7,7,Jake Plummer up the middle for 6 yards (tackle by Gary Brackett),2.490,2.610
1,4:47,3,9,IND 27,7,7,Jake Plummer pass complete to Quentin Griffin for 24 yards (tackle by David Macklin),2.610,6.510
1,3:57,1,3,IND 3,7,7,Mike Anderson up the middle for 2 yards (tackle by Chad Bratzke and Larry Tripplett),6.510,5.910
1,3:16,2,1,IND 1,7,7,Mike Anderson left tackle for no gain (tackle by David Thornton and David Macklin),5.910,5.170
1,2:35,3,1,IND 1,7,7,"Penalty on Reuben Droughns: False Start, 5 yards (no play)",5.170,4.040
1,2:11,3,6,IND 6,13,7,"Jake Plummer up the middle for 6 yards, touchdown",4.040,7.000
1,,,,IND 2,14,7,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 30,14,7,"Micah Knorr kicks off 66 yards, returned by Dominic Rhodes for 39 yards (tackle by Scott Turner)",0.000,1.800
1,2:00,1,10,IND 43,14,7,Peyton Manning pass complete to Marcus Pollard for 8 yards (tackle by Lenny Walls),1.800,2.330
1,1:31,2,2,DEN 49,14,7,Edgerrin James up the middle for no gain (tackle by Reggie Hayward),2.330,1.620
1,1:31,3,2,DEN 49,14,7,"Penalty on Trevor Pryce: Encroachment, 5 yards (no play)",1.620,2.650
1,0:44,1,10,DEN 44,14,7,Peyton Manning pass complete to Marcus Pollard for 19 yards (tackle by Kenoy Kennedy),2.650,3.910
1,0:19,1,10,DEN 25,14,7,Edgerrin James right end for 4 yards (tackle by Kenoy Kennedy),3.910,3.900
Quarter,Time,Down,ToGo,Location,DEN,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,DEN 21,14,7,Edgerrin James left end for 5 yards (tackle by Nick Ferguson and Donnie Spragan),3.900,4.060
2,14:16,3,1,DEN 16,14,13,"Edgerrin James right end for 16 yards, touchdown",4.060,7.000
2,,,,DEN 2,14,14,Mike Vanderjagt kicks extra point good,0.000,0.000
2,,,,IND 30,14,14,"Mike Vanderjagt kicks off 62 yards, returned by Deltha O'Neal for 28 yards (tackle by Donald Strickland). Penalty on Dwayne Carswell: Offensive Holding, 10 yards",,
2,14:03,1,10,DEN 19,14,14,Mike Anderson right end for 4 yards (tackle by Nick Harper),0.150,0.210
2,13:26,2,6,DEN 23,14,14,Jake Plummer pass complete to Ashley Lelie for 19 yards,0.210,1.730
2,12:54,1,10,DEN 42,14,14,Quentin Griffin up the middle for 5 yards (tackle by Raheem Brock),1.730,1.860
2,12:17,2,5,DEN 47,14,14,Jake Plummer pass complete to Rod Smith for 9 yards (tackle by David Thornton),1.860,2.650
2,11:37,1,10,IND 44,14,14,Quentin Griffin right end for no gain (tackle by Rob Morris and Josh Williams),2.650,2.110
2,11:02,2,10,IND 44,14,14,"Penalty on Matt Lepsis: False Start, 5 yards (no play)",2.110,1.440
2,10:43,2,15,IND 49,14,14,Jake Plummer pass complete to Ashley Lelie for 19 yards (tackle by David Macklin),1.440,3.580
2,9:57,1,10,IND 30,14,14,"Penalty on Patrick Hape: False Start, 5 yards (no play)",3.580,3.250
2,9:31,1,15,IND 35,14,14,Mike Anderson up the middle for 8 yards (tackle by David Thornton and Chad Bratzke),3.250,3.440
2,8:52,2,7,IND 27,14,14,Quentin Griffin right end for 9 yards (tackle by David Thornton),3.440,4.370
2,8:18,1,10,IND 18,14,14,Quentin Griffin left end for 6 yards (tackle by David Thornton),4.370,4.810
2,7:40,2,4,IND 12,14,14,Mike Anderson left tackle for 4 yards (tackle by David Thornton and Marcus Washington),4.810,5.370
2,7:00,1,8,IND 8,14,14,Mike Anderson up the middle for 7 yards (tackle by Donald Strickland),5.370,5.910
2,6:22,,,,14,14,Timeout #2 by Denver Broncos,0.000,5.910
2,6:22,2,1,IND 1,20,14,"Jake Plummer up the middle for 1 yard, touchdown",5.910,7.000
2,,,,IND 2,21,14,Jason Elam kicks extra point good,0.000,0.000
2,,,,DEN 30,21,14,"Micah Knorr kicks off 69 yards, returned by Dominic Rhodes for 28 yards (tackle by Jashon Sykes)",0.000,0.870
2,6:14,1,10,IND 29,21,14,Peyton Manning pass incomplete intended for Marvin Harrison,0.870,0.330
2,6:07,2,10,IND 29,21,14,Edgerrin James right end for 3 yards (tackle by Donnie Spragan),0.330,0.040
2,5:25,3,7,IND 32,21,14,Peyton Manning pass incomplete intended for Marvin Harrison,0.040,-1.240
2,5:20,4,7,IND 32,21,14,"Hunter Smith punts 44 yards, returned by Deltha O'Neal for 9 yards (tackle by Justin Snow)",-1.240,-1.140
2,5:09,1,10,DEN 33,21,14,Mike Anderson up the middle for -1 yards (tackle by Rob Morris and Dwight Freeney),1.140,0.460
2,4:32,2,11,DEN 32,21,14,Jake Plummer pass complete to Ashley Lelie for 10 yards (tackle by David Macklin),0.460,1.090
2,4:00,3,1,DEN 42,21,14,Jake Plummer pass complete to Shannon Sharpe for 4 yards (tackle by Donald Strickland),1.090,1.990
2,3:19,1,10,DEN 46,21,14,Mike Anderson right tackle for 1 yard (tackle by Chad Bratzke and Montae Reagor),1.990,1.590
2,2:37,2,9,DEN 47,21,14,"Jake Plummer pass incomplete intended for Ed McCaffrey (defended by David Macklin). Penalty on Marcus Washington: Roughing the Passer, 15 yards (no play)",1.590,3.050
2,2:30,1,10,IND 38,21,14,Quentin Griffin up the middle for 22 yards (tackle by David Thornton and Nick Harper),3.050,4.510
2,2:00,1,10,IND 16,21,14,Quentin Griffin right tackle for 1 yard (tackle by Rob Morris and Raheem Brock),4.510,4.050
2,1:18,2,9,IND 15,27,14,"Jake Plummer pass complete to Rod Smith for 15 yards, touchdown",4.050,7.000
2,,,,IND 2,28,14,Jason Elam kicks extra point good,0.000,0.000
2,,,,DEN 30,28,14,"Micah Knorr kicks off 65 yards, returned by Dominic Rhodes for 28 yards (tackle by Nick Ferguson)",0.000,1.140
2,1:05,1,10,IND 33,28,14,"Peyton Manning pass complete to Edgerrin James for 4 yards (tackle by Reggie Hayward). Penalty on Tarik Glenn: Ineligible Downfield Pass, 5 yards (no play)",1.140,0.810
2,0:58,1,15,IND 28,28,14,"Penalty on Ryan Diem: False Start, 5 yards (no play)",0.810,0.480
2,0:58,1,20,IND 23,28,14,Peyton Manning pass complete to Marcus Pollard for 27 yards (tackle by Nick Ferguson),0.480,2.260
2,0:49,,,,28,14,Timeout #1 by Indianapolis Colts,0.000,2.260
2,0:49,1,10,IND 50,28,14,Peyton Manning pass complete to Brandon Stokley for 5 yards (tackle by Donnie Spragan),2.260,2.390
2,0:33,2,5,DEN 45,28,14,"Peyton Manning pass complete to Marvin Harrison for 7 yards (tackle by Donnie Spragan). Penalty on Mario Fatafehi: Unnecessary Roughness, 15 yards",2.390,4.040
2,0:26,1,10,DEN 23,28,14,Peyton Manning pass incomplete intended for Marvin Harrison (defended by Lenny Walls),4.040,3.500
2,0:21,2,10,DEN 23,28,14,Peyton Manning pass complete to Marcus Pollard for 1 yard (tackle by Lenny Walls),3.500,2.940
2,0:13,,,,28,14,Timeout #2 by Indianapolis Colts,0.000,2.940
2,0:13,3,9,DEN 22,28,14,Peyton Manning pass incomplete intended for Brandon Stokley,2.940,1.990
2,0:08,4,9,DEN 22,28,17,Mike Vanderjagt 40 yard field goal good,1.990,3.000
