Unnamed: 0,DEN,IND
First Downs,26,11
Rush-Yds-TDs,54-227-3,12-47-1
Cmp-Att-Yd-TD-INT,14-17-238-1-1,12-23-146-0-0
Sacked-Yards,0-0,2-10
Net Pass Yards,238,136
Total Yards,465,183
Fumbles-Lost,3-0,3-0
Turnovers,1,0
Penalties-Yards,11-93,6-45
Third Down Conv.,9-13,2-9
Fourth Down Conv.,0-1,0-1
Time of Possession,44:58,15:02
