Quarter,Time,Tm,Detail,CHI,ATL
1.0,9:41,Falcons,Matt Bryant 52 yard field goal,0,3
2.0,14:47,Bears,Robbie Gould 25 yard field goal,3,3
,5:59,Bears,Josh Morgan 3 yard pass from Jay Cutler (Robbie Gould kick),10,3
,0:02,Bears,Robbie Gould 28 yard field goal,13,3
3.0,11:19,Falcons,Antone Smith 41 yard pass from Matt Ryan (Matt Bryant kick),13,10
,6:19,Falcons,Matt Bryant 54 yard field goal,13,13
,5:06,Bears,Matt Forte 6 yard rush (Robbie Gould kick failed),19,13
4.0,10:07,Bears,Matt Forte 9 yard rush (Martellus Bennett pass from Jay Cutler),27,13
