Unnamed: 0,NYG,OAK
First Downs,15,18
Rush-Yds-TDs,24-65-1,29-119-2
Cmp-Att-Yd-TD-INT,21-34-212-1-0,22-36-287-1-0
Sacked-Yards,3-12,1-5
Net Pass Yards,200,282
Total Yards,265,401
Fumbles-Lost,2-2,4-1
Turnovers,2,1
Penalties-Yards,1-5,6-42
Third Down Conv.,5-14,6-15
Fourth Down Conv.,0-0,1-3
Time of Possession,28:41,31:19
