Quarter,Time,Tm,Detail,NYG,OAK
1.0,12:26,Raiders,Marshawn Lynch 51 yard rush (Giorgio Tavecchio kick),0,7
,0:06,Giants,Orleans Darkwa 1 yard rush (Aldrick Rosas kick),7,7
2.0,3:37,Raiders,Giorgio Tavecchio 39 yard field goal,7,10
4.0,10:18,Raiders,DeAndre Washington 9 yard rush (Giorgio Tavecchio kick),7,17
,5:16,Giants,Evan Engram 10 yard pass from Geno Smith (Aldrick Rosas kick),14,17
,3:23,Raiders,Johnny Holton 9 yard pass from Derek Carr (Giorgio Tavecchio kick),14,24
,1:38,Giants,Aldrick Rosas 52 yard field goal,17,24
