Quarter,Time,Down,ToGo,Location,NYG,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,1,10,NYG 25,0,0,Orleans Darkwa middle for 3 yards (tackle by Khalil Mack and Nicholas Morrow),0.610,0.470
1,14:18,2,7,NYG 28,0,0,Geno Smith pass incomplete short middle intended for Evan Engram,0.470,-0.230
1,14:13,3,7,NYG 28,0,0,Geno Smith pass incomplete short left intended for Roger Lewis (defended by Sean Smith),-0.230,-1.500
1,14:10,4,7,NYG 28,0,0,"Brad Wing punts 51 yards, returned by Jalen Richard for 19 yards (tackle by Ray-Ray Armstrong). Jalen Richard fumbles (forced by Ray-Ray Armstrong), recovered by Keith McGill at OAK-40",-1.500,-1.600
1,13:57,1,10,OAK 40,0,0,Marshawn Lynch right tackle for 2 yards (tackle by Damon Harrison and Dalvin Tomlinson),1.600,1.320
1,13:19,2,8,OAK 42,0,0,Marshawn Lynch left guard for 7 yards (tackle by Landon Collins),1.320,1.550
1,12:35,3,1,OAK 49,0,6,"Marshawn Lynch right guard for 51 yards, touchdown",1.550,7.000
1,12:26,,,NYG 15,0,7,Giorgio Tavecchio kicks extra point good,0.000,0.000
1,12:26,,,OAK 35,0,7,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
1,12:26,1,10,NYG 25,0,7,Orleans Darkwa right end for -4 yards (tackle by Bruce Irvin),0.610,-0.480
1,11:47,2,14,NYG 21,0,7,Shane Vereen middle for -3 yards (tackle by NaVorro Bowman and Justin Ellis),-0.480,-1.720
1,11:09,3,17,NYG 18,0,7,Geno Smith pass complete short right to Shane Vereen for 3 yards (tackle by Nicholas Morrow and NaVorro Bowman),-1.720,-1.960
1,10:38,4,14,NYG 21,0,7,"Brad Wing punts 42 yards, returned by Jalen Richard for 2 yards (tackle by Kalif Raymond)",-1.960,-1.530
1,10:30,1,10,OAK 39,0,7,Cordarrelle Patterson left end for no gain (tackle by Olivier Vernon),1.530,0.990
1,9:52,2,10,OAK 39,0,7,Derek Carr pass complete short right to Cordarrelle Patterson for 7 yards (tackle by Ross Cockrell and Dominique Rodgers-Cromartie),0.990,1.220
1,9:09,3,3,OAK 46,0,7,Cordarrelle Patterson middle for 1 yard (tackle by B.J. Goodson),1.220,-0.260
1,8:27,4,2,OAK 47,0,7,"Marquette King punts 53 yards, touchback",-0.260,-0.280
1,8:19,1,10,NYG 20,0,7,Orleans Darkwa middle for no gain (tackle by Khalil Mack),0.280,-0.270
1,7:37,2,10,NYG 20,0,7,Geno Smith pass incomplete short right intended for Tavarres King,-0.270,-0.960
1,7:32,3,10,NYG 20,0,7,Geno Smith pass complete short middle to Shane Vereen for 6 yards (tackle by Denico Autry),-0.960,-1.630
1,6:58,4,4,NYG 26,0,7,"Brad Wing punts 47 yards, muffed catch by Jalen Richard, recovered by Jalen Richard and returned for 2 yards (tackle by Andrew Adams)",-1.630,-0.740
1,6:46,1,10,OAK 27,0,7,Derek Carr pass incomplete short right intended for Johnny Holton,0.740,0.200
1,6:41,2,10,OAK 27,0,7,DeAndre Washington right guard for -2 yards (tackle by B.J. Goodson and Brandon Dixon),0.200,-0.760
1,6:01,3,12,OAK 25,0,7,"Penalty on Gabe Jackson: False Start, 5 yards (no play)",-0.760,-1.420
1,5:41,3,17,OAK 20,0,7,Derek Carr pass incomplete deep middle intended for Isaac Whitney,-1.420,-2.030
1,5:32,4,17,OAK 20,0,7,"Marquette King punts 62 yards, returned by Kalif Raymond for 8 yards (tackle by Cordarrelle Patterson)",-2.030,-0.670
1,5:22,1,10,NYG 26,0,7,Geno Smith pass complete short right to Rhett Ellison for 5 yards (tackle by Nicholas Morrow),0.670,0.810
1,4:47,2,5,NYG 31,0,7,Orleans Darkwa middle for 2 yards (tackle by Denico Autry),0.810,0.370
1,4:12,3,3,NYG 33,0,7,"Penalty on Denico Autry: Neutral Zone Infraction, 5 yards (no play)",0.370,1.470
1,3:52,1,10,NYG 38,0,7,Geno Smith for 2 yards (tackle by Khalil Mack),1.470,1.190
1,3:22,2,8,NYG 40,0,7,Orleans Darkwa middle for 3 yards (tackle by Karl Joseph),1.190,0.890
1,3:00,3,5,NYG 43,0,7,Geno Smith pass complete short left to Evan Engram for 15 yards (tackle by Sean Smith). Penalty on T.J. Carrie: Defensive Holding (Declined),0.890,2.790
1,2:35,1,10,OAK 42,0,7,Geno Smith pass incomplete,2.790,2.240
1,2:28,2,10,OAK 42,0,7,Geno Smith pass complete short left to Evan Engram for 29 yards (tackle by Bruce Irvin),2.240,4.710
1,1:46,1,10,OAK 13,0,7,Wayne Gallman middle for 7 yards (tackle by Karl Joseph),4.710,5.340
1,1:08,2,3,OAK 6,0,7,Wayne Gallman middle for no gain (tackle by Bruce Irvin and Nicholas Morrow),5.340,0.000
1,0:22,,,,,,Timeout #1 by New York Giants,0.000,-4.560
1,0:22,3,3,OAK 6,0,7,Geno Smith pass complete short right to Sterling Shepard for 5 yards (tackle by Dexter McDonald),4.560,0.000
1,0:09,,,,,,Timeout #2 by New York Giants,0.000,-6.970
1,0:09,1,1,OAK 1,6,7,"Orleans Darkwa middle for 1 yard, touchdown",6.970,7.000
1,0:06,,,OAK 15,7,7,Aldrick Rosas kicks extra point good,0.000,0.000
1,0:06,,,NYG 35,7,7,"Aldrick Rosas kicks off 49 yards, returned by Jalen Richard for 17 yards (tackle by Shane Smith)",0.000,-1.140
Quarter,Time,Down,ToGo,Location,NYG,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 33,7,7,Marshawn Lynch left tackle for 4 yards (tackle by Damon Harrison and Calvin Munson),1.140,1.130
2,14:21,2,6,OAK 37,7,7,Derek Carr pass complete short left to Jared Cook for 9 yards (tackle by Brandon Dixon and Calvin Munson). Penalty on Brandon Dixon: Illegal Use of Hands (Declined),1.130,1.990
2,13:59,1,10,OAK 46,7,7,Marshawn Lynch left tackle for 1 yard (tackle by Calvin Munson and Jason Pierre-Paul),1.990,1.590
2,13:18,2,9,OAK 47,7,7,Derek Carr pass complete short middle to Seth Roberts for 7 yards (tackle by Kelvin Sheppard),1.590,1.820
2,12:35,3,2,NYG 46,7,7,Marshawn Lynch middle for 1 yard (tackle by Damon Harrison and Dalvin Tomlinson),1.820,0.270
2,11:52,4,1,NYG 45,7,7,Marshawn Lynch middle for -1 yards (tackle by Olivier Vernon),0.270,-1.990
2,11:45,1,10,NYG 46,7,7,Paul Perkins left guard for 4 yards (tackle by Nicholas Morrow and Reggie Nelson),1.990,1.990
2,11:10,2,6,,7,7,Geno Smith pass complete short middle to Evan Engram for 16 yards (tackle by Karl Joseph),1.990,3.310
2,10:31,1,10,OAK 34,7,7,Paul Perkins middle for 5 yards (tackle by Nicholas Morrow and Justin Ellis),3.310,3.450
2,9:52,2,5,OAK 29,7,7,"Penalty on Geno Smith: Delay of Game, 5 yards (no play)",3.450,2.770
2,9:37,2,10,OAK 34,7,7,Geno Smith pass complete short right to Tavarres King for 5 yards (tackle by Dexter McDonald),2.770,2.740
2,9:00,3,5,OAK 29,7,7,"Geno Smith sacked by Bruce Irvin for -7 yards. Geno Smith fumbles (forced by Bruce Irvin), recovered by NaVorro Bowman at OAK-31 and returned for 1 yards (tackle by Geno Smith)",2.740,-1.070
2,8:53,1,10,OAK 32,7,7,"Penalty on Jalen Richard: False Start, 5 yards (no play)",1.070,0.740
2,8:53,1,15,OAK 27,7,7,Derek Carr pass complete deep middle to Seth Roberts for 18 yards (tackle by Landon Collins),0.740,1.930
2,8:13,1,10,OAK 45,7,7,Derek Carr pass incomplete short left intended for Jalen Richard (defended by Brandon Dixon),1.930,1.380
2,8:10,2,10,OAK 45,7,7,Jalen Richard left tackle for 4 yards (tackle by Devon Kennard),1.380,1.220
2,7:31,3,6,OAK 49,7,7,Derek Carr pass complete short left to Cordarrelle Patterson for 12 yards (tackle by Landon Collins),1.220,2.980
2,6:47,1,10,NYG 39,7,7,Derek Carr pass incomplete deep right intended for Johnny Holton,2.980,2.440
2,6:41,2,10,NYG 39,7,7,Marshawn Lynch left tackle for -1 yards (tackle by Jason Pierre-Paul),2.440,1.620
2,6:03,3,11,NYG 40,7,7,Derek Carr pass complete short middle to Clive Walford for 10 yards (tackle by Kelvin Sheppard),1.620,1.520
2,5:16,4,1,NYG 30,7,7,Marshawn Lynch left guard for 10 yards (tackle by Landon Collins),1.520,4.240
2,4:34,1,10,NYG 20,7,7,Derek Carr pass complete short right to Marshawn Lynch for -1 yards (tackle by Jay Bromley),4.240,3.560
2,3:51,2,11,NYG 21,7,7,Derek Carr pass incomplete deep right intended for Jared Cook (defended by Landon Collins),3.560,2.870
2,3:46,3,11,NYG 21,7,7,Derek Carr pass incomplete short middle intended for Jalen Richard,2.870,2.060
2,3:41,4,11,NYG 21,7,10,Giorgio Tavecchio 39 yard field goal good,2.060,3.000
2,3:37,,,OAK 35,7,10,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
2,3:37,1,10,NYG 25,7,10,Geno Smith pass complete short right to Roger Lewis for 9 yards (tackle by Reggie Nelson),0.610,1.280
2,2:58,2,1,NYG 34,7,10,Orleans Darkwa left end for -4 yards (tackle by Treyvon Hester),1.280,0.040
2,2:14,3,5,NYG 30,7,10,Geno Smith pass incomplete short right intended for Tavarres King,0.040,-1.370
2,2:08,4,5,NYG 30,7,10,Brad Wing punts 69 yards,-1.370,0.380
2,1:56,1,10,OAK 1,7,10,Marshawn Lynch right guard for 6 yards (tackle by Ross Cockrell and Devon Kennard),-0.380,-0.340
2,1:13,2,4,OAK 7,7,10,Derek Carr pass complete short left to Seth Roberts for 8 yards (tackle by Brandon Dixon),-0.340,0.000
2,1:05,,,,,,Timeout #1 by Oakland Raiders,0.000,0.220
2,1:05,1,10,OAK 15,7,10,Derek Carr pass incomplete short left intended for Jared Cook,-0.220,-0.710
2,1:02,2,10,OAK 15,7,10,Derek Carr pass incomplete short left intended for Johnny Holton (defended by Brandon Dixon),-0.710,-1.370
2,0:56,3,10,OAK 15,7,10,Derek Carr pass complete short right to Clive Walford for 5 yards (tackle by Darryl Morris),-1.370,-2.030
2,0:49,4,5,OAK 20,7,10,Marquette King middle for -11 yards (tackle by Shane Smith),-2.030,-5.140
2,0:46,1,9,OAK 9,7,10,"Penalty on Khalil Mack: Neutral Zone Infraction, 5 yards (no play)",5.140,6.280
2,0:46,1,4,OAK 4,7,10,Geno Smith pass incomplete short right intended for Sterling Shepard,6.280,5.340
2,0:42,2,4,OAK 4,7,10,"Geno Smith sacked by Khalil Mack for -7 yards. Geno Smith fumbles (forced by Khalil Mack), recovered by Khalil Mack at OAK-11 (tackle by Geno Smith)",5.340,0.370
2,0:35,1,10,OAK 11,7,10,Derek Carr pass complete short middle to Jamize Olawale for 5 yards (tackle by Darryl Morris and Kelvin Sheppard),-0.370,-0.300
2,0:03,2,5,OAK 16,7,10,Jamize Olawale middle for 9 yards (tackle by Brandon Dixon),-0.300,0.610
Quarter,Time,Down,ToGo,Location,NYG,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,7,10,"Aldrick Rosas kicks off 46 yards, returned by DeAndre Washington for 14 yards (tackle by Landon Collins)",0.000,-1.140
3,14:55,1,10,OAK 33,7,10,Derek Carr pass incomplete short right intended for Johnny Holton,1.140,0.590
3,14:49,2,10,OAK 33,7,10,Marshawn Lynch right end for 2 yards (tackle by Jason Pierre-Paul and Dominique Rodgers-Cromartie),0.590,0.170
3,14:07,3,8,OAK 35,7,10,Derek Carr pass incomplete short right intended for Jared Cook,0.170,-1.040
3,13:59,4,8,OAK 35,7,10,"Marquette King punts 52 yards, returned by Kalif Raymond for 2 yards (tackle by Jamize Olawale)",-1.040,0.220
3,13:48,1,10,NYG 15,7,10,Orleans Darkwa middle for 5 yards (tackle by Justin Ellis),-0.220,0.080
3,13:06,2,5,NYG 20,7,10,Geno Smith pass complete short middle to Sterling Shepard for 4 yards (tackle by NaVorro Bowman),0.080,-0.270
3,12:25,3,1,NYG 24,7,10,Orleans Darkwa left guard for 4 yards (tackle by Eddie Vanderdoes),-0.270,0.810
3,11:52,1,10,NYG 28,7,10,Orleans Darkwa left guard for 1 yard (tackle by Karl Joseph and Bruce Irvin),0.810,0.400
3,11:06,2,9,NYG 29,7,10,Geno Smith pass complete short left to Tavarres King for 9 yards (tackle by NaVorro Bowman),0.400,1.470
3,10:27,1,10,NYG 38,7,10,Geno Smith pass complete short middle to Orleans Darkwa for -1 yards (tackle by Bruce Irvin),1.470,0.790
3,9:48,2,11,NYG 37,7,10,Geno Smith pass complete short right to Tavarres King for 4 yards (tackle by Dexter McDonald),0.790,0.630
3,9:05,3,7,NYG 41,7,10,Geno Smith pass incomplete short middle intended for Sterling Shepard (defended by T.J. Carrie),0.630,-0.650
3,9:00,4,7,NYG 41,7,10,"Brad Wing punts 46 yards, fair catch by Jalen Richard",-0.650,0.320
3,8:53,1,10,OAK 13,7,10,Marshawn Lynch right tackle for 4 yards (tackle by Damon Harrison and B.J. Goodson),-0.320,-0.300
3,8:14,2,6,OAK 17,7,10,Derek Carr pass complete deep middle to Clive Walford for 26 yards (tackle by Landon Collins),-0.300,1.800
3,7:29,1,10,OAK 43,7,10,Derek Carr pass incomplete deep left intended for Jared Cook,1.800,1.250
3,7:24,2,10,OAK 43,7,10,Derek Carr pass complete short middle to Clive Walford for 16 yards (tackle by B.J. Goodson),1.250,2.850
3,6:57,1,10,NYG 41,7,10,Marshawn Lynch middle for 4 yards (tackle by Dalvin Tomlinson and Kelvin Sheppard),2.850,2.850
3,6:17,2,6,NYG 37,7,10,Derek Carr pass incomplete short middle intended for Marshawn Lynch,2.850,2.150
3,6:13,3,6,NYG 37,7,10,Derek Carr pass incomplete,2.150,0.790
3,6:07,4,6,NYG 37,7,10,Marquette King punts 33 yards,0.790,0.380
3,5:53,1,10,NYG 4,7,10,"Geno Smith pass incomplete deep left intended for Tavarres King (defended by Sean Smith). Penalty on Sean Smith: Defensive Pass Interference, 17 yards (no play)",-0.380,0.340
3,5:48,1,10,NYG 21,7,10,Wayne Gallman middle for 4 yards (tackle by Justin Ellis),0.340,0.340
