Quarter,Time,Down,ToGo,Location,MIN,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Blair Walsh kicks off 63 yards, returned by Keshawn Martin for 19 yards (tackle by Matt Asiata)",0.000,0.340
1,14:54,1,10,HOU 21,0,0,Matt Schaub pass complete short right to Arian Foster for 11 yards (tackle by Chad Greenway),0.340,1.070
1,14:20,1,10,HOU 32,0,0,Matt Schaub pass complete short middle to Andre Johnson for 5 yards (tackle by Jasper Brinkley),1.070,1.200
1,13:46,2,5,HOU 37,0,0,Matt Schaub pass complete deep middle to Andre Johnson for 19 yards (tackle by Chris Cook),1.200,2.650
1,13:02,1,10,MIN 44,0,0,Matt Schaub pass incomplete short left intended for DeVier Posey,2.650,2.110
1,12:54,2,10,MIN 44,0,0,Arian Foster left guard for -1 yards (tackle by Chad Greenway),2.110,1.290
1,12:13,3,11,MIN 45,0,0,"Matt Schaub pass incomplete short middle intended for Owen Daniels. Penalty on A.J. Jefferson: Defensive Pass Interference, 12 yards (no play)",1.290,3.380
1,12:08,1,10,MIN 33,0,0,Arian Foster left guard for 2 yards (tackle by A.J. Jefferson),3.380,3.110
1,11:38,2,8,MIN 31,0,0,Arian Foster right tackle for -2 yards (tackle by Kevin Williams),3.110,2.150
1,10:59,3,10,MIN 33,0,0,Matt Schaub pass incomplete short left intended for Andre Johnson (defended by A.J. Jefferson),2.150,1.150
1,10:55,4,10,MIN 33,0,3,Shayne Graham 51 yard field goal good,1.150,3.000
1,10:50,,,HOU 35,0,3,"Shayne Graham kicks off 70 yards, returned by Marcus Sherels for 27 yards (tackle by Roc Carmichael)",0.000,0.410
1,10:50,1,10,MIN 22,0,3,"Penalty on Kyle Rudolph: False Start, 5 yards (no play)",0.410,-0.120
1,10:42,1,15,MIN 17,0,3,Adrian Peterson left tackle for 20 yards (tackle by Glover Quin),-0.120,1.400
1,10:06,1,10,MIN 37,0,3,Adrian Peterson up the middle for -2 yards (tackle by Glover Quin),1.400,0.590
1,9:30,2,12,MIN 35,0,3,Christian Ponder pass complete short right to Kyle Rudolph for 27 yards (tackle by Glover Quin),0.590,3.050
1,8:55,1,10,HOU 38,0,3,Christian Ponder up the middle for 1 yard (tackle by Brooks Reed),3.050,2.640
1,8:21,2,9,HOU 37,0,3,Adrian Peterson left guard for 3 yards (tackle by Darryl Sharpton),2.640,2.340
1,8:21,3,6,HOU 34,0,3,Christian Ponder pass complete deep right to Michael Jenkins for 32 yards (tackle by Brandon Harris),2.340,6.740
1,7:01,1,2,HOU 2,0,3,Adrian Peterson up the middle for -1 yards (tackle by Brooks Reed),6.740,5.530
1,6:24,2,3,HOU 3,6,3,"Christian Ponder pass complete short left to Kyle Rudolph for 3 yards, touchdown",5.530,7.000
1,6:24,,,HOU 2,7,3,Blair Walsh kicks extra point good,0.000,0.000
1,6:19,,,MIN 35,7,3,"Blair Walsh kicks off 63 yards, returned by Keshawn Martin for 20 yards (tackle by Matt Asiata)",0.000,0.410
1,6:12,1,10,HOU 22,7,3,Ben Tate left tackle for no gain (tackle by Fred Evans),0.410,-0.130
1,5:38,2,10,HOU 22,7,3,Matt Schaub pass incomplete short right intended for Andre Johnson,-0.130,-0.820
1,5:32,3,10,HOU 22,7,3,Matt Schaub pass complete short right to Andre Johnson for 4 yards (tackle by Antoine Winfield),-0.820,-1.630
1,4:58,4,6,HOU 26,7,3,"Donnie Jones punts 50 yards, returned by Marcus Sherels for 2 yards (tackle by DeVier Posey). Penalty on DeVier Posey: Player Out of Bounds on Punt, 5 yards",-1.630,-1.000
1,4:44,1,10,MIN 31,7,3,Adrian Peterson up the middle for 2 yards (tackle by Glover Quin),1.000,0.730
1,4:10,2,8,MIN 33,7,3,Jarius Wright left end for 8 yards (tackle by Kareem Jackson),0.730,1.660
1,3:39,1,10,MIN 41,7,3,Christian Ponder up the middle for 1 yard (tackle by Antonio Smith),1.660,1.260
1,3:07,2,9,MIN 42,7,3,Christian Ponder pass incomplete short middle intended for Adrian Peterson,1.260,0.560
1,3:01,3,9,MIN 42,7,3,"Christian Ponder pass complete short right to Toby Gerhart for 5 yards (tackle by Glover Quin). Penalty on Matt Kalil: Personal Foul, 15 yards",0.560,-1.240
1,2:29,4,19,MIN 32,7,3,"Chris Kluwe punts 51 yards, returned by Keshawn Martin for 11 yards (tackle by Rhett Ellison)",-1.240,-0.810
1,2:21,1,10,HOU 28,7,3,Arian Foster right end for 8 yards (tackle by A.J. Jefferson),0.810,1.340
1,1:40,2,2,HOU 36,7,3,Matt Schaub pass complete short middle to Andre Johnson for 17 yards (tackle by Antoine Winfield),1.340,2.460
1,0:59,1,10,MIN 47,7,3,Arian Foster right tackle for -4 yards (tackle by Everson Griffen),2.460,1.370
1,0:24,2,14,HOU 49,7,3,Matt Schaub pass complete short middle to Owen Daniels for 6 yards (tackle by Harrison Smith),1.370,1.490
Quarter,Time,Down,ToGo,Location,MIN,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,MIN 45,7,3,Matt Schaub pass complete short left to Owen Daniels for 14 yards (tackle by A.J. Jefferson),1.490,3.510
2,14:26,1,10,MIN 31,7,3,Matt Schaub pass complete short right to Arian Foster for 3 yards (tackle by Chad Greenway),3.510,3.370
2,13:46,2,7,MIN 28,7,3,"Arian Foster right guard for 5 yards (tackle by Jasper Brinkley). Arian Foster fumbles (forced by Jasper Brinkley), recovered by A.J. Jefferson at MIN-23 (tackle by Garrett Graham)",3.370,-0.340
2,13:36,1,10,MIN 21,7,3,Adrian Peterson right end for -1 yards (tackle by Brooks Reed),0.340,-0.340
2,12:58,2,11,MIN 20,7,3,Christian Ponder pass complete short left to Jarius Wright for 7 yards (tackle by Kareem Jackson),-0.340,-0.100
2,12:29,3,4,MIN 27,7,3,Christian Ponder pass complete short right to Michael Jenkins for 9 yards (tackle by Danieal Manning and Kareem Jackson),-0.100,1.330
2,11:46,1,10,MIN 36,7,3,Adrian Peterson right guard for 7 yards (tackle by Connor Barwin),1.330,1.740
2,11:08,2,3,MIN 43,7,3,Adrian Peterson up the middle for 11 yards (tackle by Glover Quin),1.740,2.520
