Unnamed: 0,CHI,DET
First Downs,17,23
Rush-Yds-TDs,31-89-1,39-192-2
Cmp-Att-Yd-TD-INT,16-25-163-1-1,16-29-199-0-0
Sacked-Yards,3-28,2-29
Net Pass Yards,135,170
Total Yards,224,362
Fumbles-Lost,3-2,3-1
Turnovers,3,1
Penalties-Yards,5-40,10-79
Third Down Conv.,6-12,3-12
Fourth Down Conv.,0-0,1-1
Time of Possession,29:27,35:21
