Quarter,Time,Tm,Detail,CHI,DET
2,9:13,Bears,Paul Edinger 53 yard field goal,3,0
,4:59,Lions,James Stewart 6 yard rush (Jason Hanson kick),3,7
,1:11,Lions,James Stewart 1 yard rush (Jason Hanson kick),3,14
,0:05,Bears,Marty Booker 14 yard pass from Chris Chandler (Paul Edinger kick),10,14
3,10:11,Bears,Anthony Thomas 1 yard rush (Paul Edinger kick),17,14
,8:29,Bears,Paul Edinger 42 yard field goal,20,14
,0:34,Lions,Jason Hanson 30 yard field goal,20,17
4,0:02,Lions,Jason Hanson 24 yard field goal,20,20
OT,10:12,Lions,Jason Hanson 48 yard field goal,20,23
