Quarter,Time,Tm,Detail,PHI,WAS
2.0,3:24,Redskins,Shaun Suisham 33 yard field goal,0,3
3.0,8:43,Redskins,Clinton Portis 1 yard rush (Shaun Suisham kick),0,10
,4:18,Eagles,David Akers 22 yard field goal,3,10
