Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Redskins to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,WAS 20,0,0,Jason Campbell pass complete short middle to Chris Cooley for 5 yards (tackle by Akeem Jordan),0.280,0.410
1,14:33,2,5,WAS 25,0,0,Clinton Portis left end for 1 yard (tackle by Akeem Jordan and Chris Gocong),0.410,-0.160
1,13:58,3,4,WAS 26,0,0,Jason Campbell pass complete short right to Ladell Betts for 10 yards (tackle by Asante Samuel),-0.160,1.330
1,13:34,1,10,WAS 36,0,0,Jason Campbell pass incomplete short middle intended for Santana Moss (defended by Chris Gocong),1.330,0.790
1,13:28,2,10,WAS 36,0,0,Clinton Portis right tackle for 2 yards (tackle by Akeem Jordan),0.790,0.370
1,12:47,3,8,WAS 38,0,0,"Jason Campbell sacked by Victor Abiamiri for -7 yards. Jason Campbell fumbles (forced by Victor Abiamiri), recovered by Casey Rabach at WAS-33",0.370,-1.180
1,12:15,4,13,WAS 33,0,0,"Ryan Plackemeier punts 39 yards, returned by DeSean Jackson for 7 yards (tackle by Ethan Albright)",-1.180,-1.270
1,12:03,1,10,PHI 35,0,0,Donovan McNabb pass complete short left to L.J. Smith for 5 yards (tackle by Carlos Rogers),1.270,1.400
1,11:27,2,5,PHI 40,0,0,Brian Westbrook right guard for 3 yards (tackle by Andre Carter and Rocky McIntosh),1.400,1.090
1,10:44,3,2,PHI 43,0,0,Donovan McNabb pass complete short right to DeSean Jackson for 8 yards (tackle by DeAngelo Hall),1.090,2.320
1,9:59,1,10,WAS 49,0,0,"Penalty on Greg Lewis: False Start, 5 yards (no play)",2.320,1.990
1,9:37,1,15,PHI 46,0,0,Brian Westbrook up the middle for -1 yards (tackle by Cornelius Griffin and Rocky McIntosh),1.990,0.970
1,8:52,2,16,PHI 45,0,0,Donovan McNabb pass incomplete short middle intended for DeSean Jackson (defended by London Fletcher),0.970,0.300
1,8:47,3,16,PHI 45,0,0,Donovan McNabb pass incomplete deep middle intended for Jason Avant,0.300,-0.390
1,8:41,4,16,PHI 45,0,0,Saverio Rocca punts 35 yards,-0.390,-0.280
1,8:32,1,10,WAS 20,0,0,Jason Campbell pass incomplete deep right intended for Fred Davis,0.280,-0.270
1,8:27,2,10,WAS 20,0,0,Jason Campbell pass complete deep right to Devin Thomas for 17 yards,-0.270,1.400
1,7:59,1,10,WAS 37,0,0,Jason Campbell pass incomplete short middle intended for Antwaan Randle El (defended by Juqua Parker),1.400,0.860
1,7:54,2,10,WAS 37,0,0,Clinton Portis right tackle for 9 yards (tackle by Trent Cole and Chris Gocong),0.860,1.360
1,7:14,3,1,WAS 46,0,0,Clinton Portis right end for no gain (tackle by Quintin Mikell),1.360,-0.320
1,6:33,4,1,WAS 46,0,0,Ryan Plackemeier punts 50 yards,-0.320,0.380
1,6:19,1,10,PHI 4,0,0,Brian Westbrook left tackle for 12 yards (tackle by LaRon Landry),-0.380,-0.140
1,5:43,1,10,PHI 16,0,0,Correll Buckhalter right tackle for 2 yards (tackle by LaRon Landry and Cornelius Griffin),-0.140,-0.350
1,5:02,2,8,PHI 18,0,0,Donovan McNabb pass complete short right to Brent Celek for 8 yards (tackle by Rocky McIntosh),-0.350,0.670
1,4:28,1,10,PHI 26,0,0,Donovan McNabb pass incomplete short left intended for Dan Klecko,0.670,0.130
1,4:19,2,10,PHI 26,0,0,Brian Westbrook right guard for 2 yards (tackle by Anthony Montgomery and Lorenzo Alexander),0.130,-0.300
1,3:38,3,8,PHI 28,0,0,Donovan McNabb sacked by Jason Taylor for -10 yards,-0.300,-2.240
1,3:16,4,18,PHI 18,0,0,"Saverio Rocca punts 47 yards, returned by Antwaan Randle El for 3 yards (tackle by Chris Gocong)",-2.240,-1.470
1,3:03,1,10,WAS 38,0,0,Clinton Portis up the middle for 3 yards (tackle by Mike Patterson and Joselio Hanson),1.470,1.330
1,2:30,2,7,WAS 41,0,0,Jason Campbell pass complete short left to Santana Moss for 8 yards (tackle by Sheldon Brown),1.330,2.190
1,1:56,1,10,WAS 49,0,0,Clinton Portis left end for 6 yards (tackle by Stewart Bradley and Mike Patterson),2.190,2.460
1,1:26,2,4,PHI 45,0,0,Clinton Portis right end for 5 yards (tackle by Brian Dawkins),2.460,2.920
1,0:49,1,10,PHI 40,0,0,Jason Campbell pass complete short left to Fred Davis for 6 yards (tackle by Akeem Jordan),2.920,3.180
1,0:15,2,4,PHI 34,0,0,Ladell Betts left tackle for no gain (tackle by Trent Cole),3.180,2.480
Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,PHI 34,0,0,Jason Campbell pass complete short left to Santana Moss for -2 yards (tackle by Akeem Jordan),2.480,0.880
2,14:20,,,,0,0,Timeout #1 by Washington Redskins,0.000,0.880
2,14:20,4,6,PHI 36,0,0,Shaun Suisham 54 yard field goal no good,0.880,-2.060
2,14:05,1,10,PHI 47,0,0,Donovan McNabb pass complete short middle to Correll Buckhalter for 11 yards (tackle by LaRon Landry),2.060,2.790
2,13:30,1,10,WAS 42,0,0,Donovan McNabb pass incomplete short middle intended for L.J. Smith,2.790,2.240
2,13:26,2,10,WAS 42,0,0,Brian Westbrook right guard for 4 yards (tackle by H.B. Blades and London Fletcher),2.240,2.080
2,12:48,3,6,WAS 38,0,0,Donovan McNabb pass complete short right to Dan Klecko for 2 yards (tackle by H.B. Blades),2.080,0.890
2,12:03,4,4,WAS 36,0,0,"Saverio Rocca punts 22 yards, fair catch by Antwaan Randle El",0.890,0.280
2,11:55,1,10,WAS 14,0,0,Clinton Portis left tackle for 6 yards (tackle by Chris Gocong and Stewart Bradley),-0.280,0.150
2,11:20,2,4,WAS 20,0,0,Clinton Portis up the middle for no gain (tackle by Trevor Laws and Stewart Bradley),0.150,-0.680
2,10:41,3,4,WAS 20,0,0,Jason Campbell pass complete short middle to Santana Moss for 12 yards (tackle by Sheldon Brown),-0.680,1.070
2,10:00,1,10,WAS 32,0,0,Jason Campbell pass incomplete short left intended for Chris Cooley,1.070,0.530
2,9:54,2,10,WAS 32,0,0,Jason Campbell pass complete short left to Clinton Portis for 11 yards (tackle by Mike Patterson),0.530,1.800
2,9:36,1,10,WAS 43,0,0,Ladell Betts left end for 4 yards (tackle by Brodrick Bunkley),1.800,1.790
2,8:56,2,6,WAS 47,0,0,Jason Campbell pass complete short left to Ladell Betts for 10 yards (tackle by Sheldon Brown),1.790,2.720
2,8:11,1,10,PHI 43,0,0,Jason Campbell pass incomplete deep left intended for Santana Moss,2.720,2.180
2,8:03,2,10,PHI 43,0,0,Jason Campbell pass complete short right to Chris Cooley for 5 yards (tackle by Stewart Bradley),2.180,2.150
2,7:19,3,5,PHI 38,0,0,"Jason Campbell sacked by Darren Howard for -5 yards. Penalty on Chris Clemons: Defensive Offside, 5 yards (no play)",2.150,3.380
2,6:49,1,10,PHI 33,0,0,Ladell Betts right end for 2 yards (tackle by Mike Patterson),3.380,3.110
2,6:15,2,8,PHI 31,0,0,Ladell Betts left end for 2 yards (tackle by Mike Patterson and Trent Cole),3.110,2.680
2,5:36,3,6,PHI 29,0,0,Jason Campbell pass complete short right to Ladell Betts for 9 yards (tackle by Asante Samuel),2.680,4.240
2,4:53,1,10,PHI 20,0,0,Rock Cartwright right end for 1 yard (tackle by Quintin Demps),4.240,3.820
2,4:18,2,9,PHI 19,0,0,Jason Campbell pass complete short right to Santana Moss for 5 yards (tackle by Brian Dawkins),3.820,3.890
2,3:36,3,4,PHI 14,0,0,Jason Campbell pass incomplete short middle intended for Santana Moss,3.890,2.580
2,3:28,4,4,PHI 14,0,3,Shaun Suisham 33 yard field goal good,2.580,3.000
