Unnamed: 0,PHI,WAS
First Downs,15,17
Rush-Yds-TDs,16-62-0,32-122-1
Cmp-Att-Yd-TD-INT,26-46-230-0-0,18-33-144-0-0
Sacked-Yards,2-17,3-17
Net Pass Yards,213,127
Total Yards,275,249
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,3-20,3-25
Third Down Conv.,3-14,5-15
Fourth Down Conv.,1-1,0-0
Time of Possession,26:46,33:14
