Unnamed: 0,CAR,NOR
First Downs,23,22
Rush-Yds-TDs,42-234-1,11-50-0
Cmp-Att-Yd-TD-INT,14-20-250-1-0,30-49-386-4-1
Sacked-Yards,1-6,2-19
Net Pass Yards,244,367
Total Yards,478,417
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,5-30,7-48
Third Down Conv.,6-12,7-13
Fourth Down Conv.,0-0,1-1
Time of Possession,36:55,23:05
