Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 68 yards, returned by Sinorice Moss for 26 yards (tackle by Chris Clemons)",0.000,0.810
1,14:54,1,10,NYG 28,0,0,Brandon Jacobs right end for 6 yards (tackle by Akeem Jordan),0.810,1.070
1,14:21,2,4,NYG 34,0,0,"Penalty on Juqua Parker: Neutral Zone Infraction, 5 yards (no play)",1.070,1.530
1,14:07,1,10,NYG 39,0,0,Brandon Jacobs left tackle for 3 yards (tackle by Akeem Jordan and Quintin Mikell),1.530,1.390
1,13:31,2,7,NYG 42,0,0,"Eli Manning pass complete short middle to Steve Smith for 6 yards (tackle by Quintin Mikell). Penalty on Stewart Bradley: Face Mask (15 Yards), 15 yards",1.390,3.120
1,13:03,1,10,PHI 37,0,0,Eli Manning pass complete short left to Kevin Boss for 5 yards (tackle by Stewart Bradley),3.120,3.250
1,12:27,2,5,PHI 32,0,0,Mario Manningham right end for -12 yards (tackle by Quintin Mikell),3.250,0.960
1,11:29,3,17,PHI 44,0,0,Eli Manning pass complete short left to Sinorice Moss for 13 yards (tackle by Sheldon Brown),0.960,1.370
1,10:44,4,4,PHI 31,0,0,Eli Manning pass incomplete short left intended for Domenik Hixon (defended by Sheldon Brown),1.370,-1.000
1,10:32,1,10,PHI 31,0,0,Donovan McNabb pass complete short right to L.J. Smith for 9 yards (tackle by Antonio Pierce),1.000,1.680
1,10:08,2,1,PHI 40,0,0,Brian Westbrook left end for -5 yards (tackle by Fred Robbins),1.680,0.300
1,9:30,3,6,PHI 35,0,0,Donovan McNabb pass incomplete short right intended for Kevin Curtis,0.300,-1.040
1,9:18,4,6,PHI 35,0,0,Saverio Rocca punts 32 yards,-1.040,-1.140
1,9:12,1,10,NYG 33,0,0,Brandon Jacobs left guard for 2 yards (tackle by Mike Patterson and Quintin Mikell),1.140,0.860
1,8:33,2,8,NYG 35,0,0,Eli Manning pass incomplete short middle intended for Kevin Boss (defended by Chris Gocong),0.860,0.170
1,8:26,3,8,NYG 35,0,0,Eli Manning pass complete short left to Domenik Hixon for no gain,0.170,-1.040
1,8:00,4,8,NYG 35,0,0,"Jeff Feagles punts 40 yards, returned by DeSean Jackson for 4 yards (tackle by Reuben Droughns)",-1.040,-0.870
1,7:42,1,10,PHI 29,0,0,Donovan McNabb pass complete short middle to Brian Westbrook for 7 yards (tackle by Antonio Pierce),0.870,1.270
1,7:17,2,3,PHI 36,0,0,Brian Westbrook right guard for 4 yards (tackle by Danny Clark),1.270,1.600
1,6:42,1,10,PHI 40,0,0,DeSean Jackson right end for -2 yards (tackle by Danny Clark),1.600,0.780
1,5:50,,,,0,0,Timeout #1 by Philadelphia Eagles,0.000,0.780
1,5:50,2,12,PHI 38,0,0,Donovan McNabb for 2 yards (tackle by Jay Alford),0.780,0.370
1,5:21,3,10,PHI 40,0,0,Donovan McNabb pass complete short middle to L.J. Smith for 4 yards (tackle by Antonio Pierce),0.370,-0.460
1,4:45,4,6,PHI 44,0,0,"Saverio Rocca punts 37 yards, returned by Domenik Hixon for -4 yards (tackle by Akeem Jordan)",-0.460,0.220
1,4:31,1,10,NYG 15,0,0,Derrick Ward right guard for 9 yards (tackle by Trent Cole and Victor Abiamiri),-0.220,0.620
1,3:52,2,1,NYG 24,0,0,Derrick Ward left end for -1 yards (tackle by Akeem Jordan and Trent Cole),0.620,-0.390
1,3:06,3,2,NYG 23,0,0,Ahmad Bradshaw right end for 1 yard (tackle by Stewart Bradley),-0.390,-1.770
1,2:34,4,1,NYG 24,0,0,"Jeff Feagles punts 43 yards, returned by DeSean Jackson for 5 yards (tackle by Danny Clark)",-1.770,-1.470
1,2:18,1,10,PHI 38,0,0,"Penalty on Todd Herremans: False Start, 5 yards (no play)",1.470,1.140
1,2:18,1,15,PHI 33,0,0,Brian Westbrook up the middle for 5 yards (tackle by Mathias Kiwanuka and Michael Johnson),1.140,0.920
1,1:47,2,10,PHI 38,0,0,Donovan McNabb pass complete deep left to Kevin Curtis for 32 yards (tackle by Michael Johnson),0.920,3.580
1,1:03,1,10,NYG 30,0,0,Brian Westbrook right tackle for -1 yards (tackle by Renaldo Wynn and Antonio Pierce),3.580,2.900
1,0:22,2,11,NYG 31,0,0,Donovan McNabb pass incomplete short right intended for DeSean Jackson,2.900,2.210
1,0:14,3,11,NYG 31,0,0,"Penalty on Fred Robbins: Encroachment, 5 yards (no play)",2.210,2.870
1,0:14,3,6,NYG 26,0,0,DeSean Jackson left end for -7 yards (tackle by Mathias Kiwanuka and Kenny Phillips),2.870,1.150
1,0:04,,,,0,0,Timeout #2 by Philadelphia Eagles,0.000,1.150
1,0:04,4,13,NYG 33,3,0,David Akers 51 yard field goal good,1.150,3.000
Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,PHI 30,3,0,"David Akers kicks off 66 yards, returned by Sinorice Moss for 11 yards (tackle by Quintin Demps)",0.000,-0.220
2,14:55,1,10,NYG 15,3,0,Eli Manning pass incomplete deep middle intended for Domenik Hixon,-0.220,-0.710
