Unnamed: 0,PHI,NYG
First Downs,24,14
Rush-Yds-TDs,42-140-1,24-88-0
Cmp-Att-Yd-TD-INT,19-30-191-1-0,13-27-123-1-0
Sacked-Yards,0-0,0-0
Net Pass Yards,191,123
Total Yards,331,211
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,9-73,6-43
Third Down Conv.,12-18,3-11
Fourth Down Conv.,0-0,0-3
Time of Possession,34:54,25:06
