Quarter,Time,Tm,Detail,PHI,NYG
1.0,0:00,Eagles,David Akers 51 yard field goal,3,0
2.0,1:52,Eagles,Brian Westbrook 30 yard rush (David Akers kick),10,0
,0:00,Giants,Kevin Dockery 71 yard blocked field goal return (John Carney kick),10,7
4.0,13:38,Eagles,Brian Westbrook 40 yard pass from Donovan McNabb (David Akers kick),17,7
,2:09,Eagles,David Akers 34 yard field goal,20,7
,0:15,Giants,Darcy Johnson 1 yard pass from Eli Manning (John Carney kick),20,14
