Quarter,Time,Tm,Detail,HOU,TEN
1.0,4:04,Texans,Ka'imi Fairbairn 43 yard field goal,3,0
2.0,13:35,Texans,Ka'imi Fairbairn 24 yard field goal,6,0
,7:43,Texans,Tyrod Taylor 7 yard rush (Ka'imi Fairbairn kick failed),12,0
3.0,7:00,Texans,Tyrod Taylor 5 yard rush (Ka'imi Fairbairn kick),19,0
,2:24,Titans,Dez Fitzpatrick 18 yard pass from Ryan Tannehill (Randy Bullock kick failed),19,6
4.0,7:32,Titans,Anthony Firkser fumble recovery in end zone (Randy Bullock kick),19,13
,3:26,Texans,Ka'imi Fairbairn 37 yard field goal,22,13
