Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matthew Bosher kicks off 68 yards, returned by Bobo Wilson for no gain (tackle by Jeremy Langford and Sharrod Neasman)",0.000,0.810
1,14:55,1,10,TAM 28,0,0,Jameis Winston pass incomplete short right intended for Antony Auclair,0.810,0.260
1,14:50,2,10,TAM 28,0,0,Peyton Barber right guard for 5 yards (tackle by Jordan Richards),0.260,0.230
1,14:18,3,5,TAM 33,0,0,Jameis Winston pass incomplete short left intended for Chris Godwin,0.230,-1.180
1,14:13,4,5,TAM 33,0,0,"Bryan Anger punts 59 yards, returned by Justin Hardy for 16 yards (tackle by Garrison Sanborn and Jacquizz Rodgers)",-1.180,-0.540
1,13:58,1,10,ATL 24,0,0,Tevin Coleman up the middle for -2 yards (tackle by Vinny Curry),0.540,-0.270
1,13:27,2,12,ATL 22,0,0,Matt Ryan pass complete short right to Austin Hooper for 15 yards (tackle by Lavonte David),-0.270,1.400
1,12:57,1,10,ATL 37,0,0,Tevin Coleman right end for 5 yards (tackle by Adarius Taylor),1.400,1.530
1,12:30,2,5,ATL 42,0,0,Matt Ryan pass complete short right to Calvin Ridley for 6 yards (tackle by Brent Grimes),1.530,2.130
1,11:50,1,10,ATL 48,0,0,Matt Ryan pass incomplete short right intended for Marvin Hall (defended by Brent Grimes),2.130,1.580
1,11:45,2,10,ATL 48,0,0,"Brian Hill right guard for no gain (tackle by Jordan Whitehead). Penalty on Jake Matthews: Offensive Holding, 10 yards (no play)",1.580,0.230
1,11:16,2,20,ATL 38,0,0,Matt Ryan pass incomplete short right intended for Julio Jones (defended by Brent Grimes),0.230,-0.430
1,11:13,3,20,ATL 38,0,0,Matt Ryan pass complete short middle to Austin Hooper for 12 yards (tackle by Javien Elliott),-0.430,-0.060
1,10:24,4,8,ATL 50,0,0,Matthew Bosher punts 43 yards out of bounds,-0.060,0.380
1,10:16,1,10,TAM 7,0,0,Peyton Barber up the middle for 6 yards (tackle by Deion Jones),-0.380,-0.340
1,9:38,2,4,TAM 13,0,0,Peyton Barber up the middle for 7 yards (tackle by De'Vondre Campbell),-0.340,0.280
1,9:01,1,10,TAM 20,0,0,Jameis Winston pass complete short middle to Mike Evans for 19 yards (tackle by Brian Poole),0.280,1.530
1,8:23,1,10,TAM 39,0,0,Jameis Winston pass incomplete deep right intended for Chris Godwin,1.530,0.990
1,8:20,2,10,TAM 39,0,0,Peyton Barber right guard for 2 yards (tackle by Deadrin Senat and Steven Means),0.990,0.560
1,7:42,3,8,TAM 41,0,0,Jameis Winston pass complete short left to Adam Humphries for 9 yards (tackle by Deion Jones),0.560,2.260
1,7:02,1,10,TAM 50,0,0,Jameis Winston pass complete deep right to Bobo Wilson for 16 yards (tackle by Bruce Irvin),2.260,3.310
1,6:23,1,10,ATL 34,0,0,"Peyton Barber up the middle for no gain (tackle by Sharrod Neasman). Penalty on Antony Auclair: Offensive Holding, 10 yards (no play)",3.310,2.650
1,6:02,1,20,ATL 44,0,0,Jameis Winston pass complete short middle to Adam Humphries for 8 yards (tackle by De'Vondre Campbell),2.650,2.500
1,5:26,2,12,ATL 36,0,0,Jameis Winston pass complete short left to Chris Godwin for 9 yards (tackle by Robert Alford),2.500,3.010
1,4:58,3,3,ATL 27,0,0,Peyton Barber right guard for 6 yards (tackle by De'Vondre Campbell and Deion Jones),3.010,4.170
1,4:19,1,10,ATL 21,0,0,Jameis Winston pass complete short right to Peyton Barber for 2 yards (tackle by Desmond Trufant),4.170,3.900
1,3:53,2,8,ATL 19,0,6,"Jameis Winston pass complete deep right to Mike Evans for 19 yards, touchdown",3.900,7.000
1,3:48,,,ATL 15,0,7,Cairo Santos kicks extra point good,0.000,0.000
1,3:48,,,TAM 35,0,7,"Cairo Santos kicks off 59 yards, returned by Marvin Hall for no gain (tackle by M.J. Stewart)",0.000,0.340
1,3:43,1,10,ATL 21,0,7,Matt Ryan pass incomplete deep left intended for Mohamed Sanu (defended by Jordan Whitehead),0.340,-0.200
1,3:37,2,10,ATL 21,0,7,Tevin Coleman left end for 2 yards (tackle by Adarius Taylor),-0.200,-0.630
1,2:55,3,8,ATL 23,0,7,Matt Ryan pass complete short middle to Julio Jones for 7 yards (tackle by Lavonte David),-0.630,-1.370
1,2:12,4,1,ATL 30,0,7,"Matthew Bosher punts 49 yards, fair catch by Adam Humphries at TB-21",-1.370,-0.340
1,2:04,1,10,TAM 21,0,7,Peyton Barber left guard for -3 yards (tackle by De'Vondre Campbell and Steven Means),0.340,-0.700
1,1:30,2,13,TAM 18,0,7,Peyton Barber up the middle for 4 yards (tackle by Grady Jarrett and Foyesade Oluokun),-0.700,-0.760
1,0:51,3,9,TAM 22,0,7,Jameis Winston left tackle for 15 yards,-0.760,1.400
1,0:10,1,10,TAM 37,0,7,Jameis Winston pass complete short middle to Mike Evans for 7 yards (tackle by Foyesade Oluokun),1.400,1.800
Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,TAM 44,0,7,Jameis Winston pass incomplete short right intended for Justin Watson (defended by Desmond Trufant),1.800,1.090
2,14:57,3,3,TAM 44,0,7,Jameis Winston pass complete short right to Jacquizz Rodgers for 2 yards (tackle by Sharrod Neasman),1.090,-0.320
2,14:19,4,1,TAM 46,0,7,"Bryan Anger punts 41 yards, fair catch by Justin Hardy at ATL-13",-0.320,0.320
2,14:13,1,10,ATL 13,0,7,Jeremy Langford right end for 4 yards (tackle by Brent Grimes),-0.320,-0.300
2,13:37,2,6,ATL 17,0,7,Jeremy Langford left tackle for 4 yards (tackle by Isaiah Johnson and Lavonte David),-0.300,-0.470
2,12:53,3,2,ATL 21,0,7,Matt Ryan pass incomplete short left intended for Mohamed Sanu (defended by Andrew Adams),-0.470,-1.960
2,12:50,4,2,ATL 21,0,7,"Matthew Bosher punts 40 yards, muffed catch by Adam Humphries, recovered by Adam Humphries at TB-40, returned by Adam Humphries for 7 yards (tackle by Russell Gage)",-1.960,-2.060
2,12:41,1,10,TAM 47,0,7,Peyton Barber left tackle for 2 yards (tackle by Foyesade Oluokun and Jack Crawford),2.060,1.790
2,12:04,2,8,TAM 49,0,7,Jameis Winston pass incomplete short left intended for Mike Evans,1.790,1.090
2,11:59,3,8,TAM 49,0,7,Jameis Winston pass complete short left to Mike Evans for 18 yards (tackle by Robert Alford),1.090,3.380
2,11:14,1,10,ATL 33,0,7,Jameis Winston left end for 8 yards (tackle by Isaiah Oliver),3.380,3.920
2,10:44,2,2,ATL 25,0,7,Peyton Barber up the middle for 6 yards (tackle by Bruce Irvin and Foyesade Oluokun),3.920,4.310
2,10:06,1,10,ATL 19,0,7,Jameis Winston pass incomplete short left,4.310,3.750
2,10:00,2,10,ATL 19,0,7,Peyton Barber left guard for 5 yards (tackle by De'Vondre Campbell),3.750,3.760
2,9:13,3,5,ATL 14,0,7,Jameis Winston sacked by Takkarist McKinley for -4 yards,3.760,2.250
2,8:29,4,9,ATL 18,0,10,Cairo Santos 36 yard field goal good,2.250,3.000
2,8:25,,,TAM 35,0,10,"Cairo Santos kicks off 61 yards, returned by Marvin Hall for no gain (tackle by M.J. Stewart)",0.000,0.480
2,8:21,1,10,ATL 23,0,10,Matt Ryan pass complete short left to Calvin Ridley for 12 yards (tackle by Isaiah Johnson),0.480,1.270
2,7:41,1,10,ATL 35,0,10,Matt Ryan pass complete short right to Mohamed Sanu for 13 yards (tackle by Gerald McCoy and Andrew Adams),1.270,2.130
2,7:03,1,10,ATL 48,0,10,"Penalty on Ryan Schraeder: False Start, 5 yards (no play)",2.130,1.800
2,6:43,1,15,ATL 43,0,10,Matt Ryan sacked by Jason Pierre-Paul for -3 yards,1.800,0.500
2,5:59,2,18,ATL 40,0,10,"Matt Ryan pass complete short middle to Brian Hill for 9 yards (tackle by Jason Pierre-Paul). Penalty on Ty Sambrailo: Unnecessary Roughness, 15 yards",0.500,-0.960
2,5:23,3,24,ATL 34,0,10,Matt Ryan pass incomplete deep right intended for Julio Jones,-0.960,-1.110
2,5:17,4,24,ATL 34,0,10,"Matthew Bosher punts 56 yards, returned by Adam Humphries for 2 yards (tackle by Justin Bethel)",-1.110,0.350
2,5:06,1,10,TAM 12,0,10,"Jameis Winston sacked by Takkarist McKinley for no gain. Penalty on Vic Beasley: Defensive Holding, 5 yards (no play)",-0.350,-0.060
2,4:41,1,10,TAM 17,0,10,Jacquizz Rodgers up the middle for 3 yards (tackle by Deion Jones),-0.060,-0.060
2,4:11,2,7,TAM 20,0,10,Jameis Winston pass complete short right to Chris Godwin for 6 yards (tackle by Desmond Trufant),-0.060,-0.120
