Quarter,Time,Tm,Detail,ATL,TAM
1.0,3:48,Buccaneers,Mike Evans 19 yard pass from Jameis Winston (Cairo Santos kick),0,7
2.0,8:25,Buccaneers,Cairo Santos 36 yard field goal,0,10
,0:46,Buccaneers,Chris Godwin 30 yard pass from Jameis Winston (Cairo Santos kick),0,17
,0:20,Falcons,Julio Jones 19 yard pass from Matt Ryan (Matt Bryant kick),7,17
3.0,8:49,Falcons,Matt Ryan 5 yard pass from Mohamed Sanu (Matt Bryant kick),14,17
,6:39,Buccaneers,Cairo Santos 45 yard field goal,14,20
,1:59,Falcons,Matt Bryant 49 yard field goal,17,20
,0:44,Falcons,Tevin Coleman 23 yard rush (Matt Bryant kick),24,20
4.0,10:51,Falcons,Calvin Ridley 7 yard pass from Matt Ryan (Matt Bryant kick),31,20
,8:09,Buccaneers,Mike Evans 10 yard pass from Jameis Winston (pass failed),31,26
,5:10,Buccaneers,Chris Godwin 19 yard pass from Jameis Winston (pass failed),31,32
,0:00,Falcons,Matt Bryant 37 yard field goal,34,32
