Quarter,Time,Tm,Detail,IND,NOR
1.0,7:28,Saints,Wil Lutz 33 yard field goal,0,3
2.0,12:37,Saints,Michael Thomas 15 yard pass from Drew Brees (Wil Lutz kick),0,10
,6:11,Saints,Tre'Quan Smith 21 yard pass from Drew Brees (Wil Lutz kick),0,17
,0:00,Saints,Wil Lutz 26 yard field goal,0,20
3.0,7:08,Saints,Josh Hill 5 yard pass from Drew Brees (Wil Lutz kick),0,27
,0:35,Saints,Taysom Hill 28 yard pass from Drew Brees (Wil Lutz kick),0,34
4.0,3:56,Colts,Jordan Wilkins 1 yard rush (Chase McLaughlin kick),7,34
