Unnamed: 0,IND,NOR
First Downs,16,27
Rush-Yds-TDs,17-46-1,33-117-0
Cmp-Att-Yd-TD-INT,18-34-165-0-0,29-30-307-4-0
Sacked-Yards,1-6,0-0
Net Pass Yards,159,307
Total Yards,205,424
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,7-49,6-52
Third Down Conv.,3-12,5-9
Fourth Down Conv.,1-2,0-0
Time of Possession,23:38,36:22
