Quarter,Time,Down,ToGo,Location,IND,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 68 yards, returned by Nyheim Hines for 19 yards (tackle by J.T. Gray and Dwayne Washington)",0.000,-0.140
1,14:57,1,10,IND 16,0,0,Jacoby Brissett pass incomplete deep right intended for Marcus Johnson,-0.140,-0.660
1,14:51,2,10,IND 16,0,0,Nyheim Hines right end for 5 yards (tackle by Demario Davis),-0.660,-0.700
1,14:18,3,5,IND 21,0,0,Jacoby Brissett up the middle for 7 yards (tackle by Cameron Jordan),-0.700,0.810
1,13:33,1,10,IND 28,0,0,Jacoby Brissett pass complete deep right to Marcus Johnson for 20 yards (tackle by Eli Apple),0.810,2.130
1,12:51,,,,,,Timeout #1 by Indianapolis Colts,,
1,12:51,1,10,IND 48,0,0,Marlon Mack left tackle for -3 yards (tackle by Chauncey Gardner-Johnson),2.130,1.180
1,12:06,2,13,IND 45,0,0,Marlon Mack left guard for 4 yards (tackle by A.J. Klein and Taylor Stallworth),1.180,1.020
1,11:28,3,9,IND 49,0,0,Jacoby Brissett pass incomplete short left intended for Zach Pascal,1.020,-0.130
1,11:22,4,9,IND 49,0,0,"Rigoberto Sanchez punts 49 yards downed by Clayton Geathers. Penalty on Jonathan Williams: Offensive Holding, 10 yards (no play)",-0.130,-0.780
1,11:11,4,19,IND 39,0,0,"Rigoberto Sanchez punts 4 yards downed by Clayton Geathers. Penalty on Jordan Wilkins: Offensive Holding, 10 yards",-0.780,-3.380
1,11:03,1,10,IND 33,0,0,Latavius Murray left tackle for 4 yards (tackle by Rock Ya-Sin),3.380,3.380
1,10:36,2,6,IND 29,0,0,Drew Brees pass complete short left to Michael Thomas for 6 yards (tackle by Rock Ya-Sin),3.380,4.040
1,9:55,1,10,IND 23,0,0,Latavius Murray left guard for 7 yards (tackle by Darius Leonard and Khari Willis),4.040,4.560
1,9:15,2,3,IND 16,0,0,"Penalty on Larry Warford: False Start, 5 yards (no play)",4.560,3.770
1,9:00,2,8,IND 21,0,0,Drew Brees pass complete short left to Alvin Kamara for 1 yard (tackle by Anthony Walker and Khari Willis),3.770,3.200
1,8:14,3,7,IND 20,0,0,Drew Brees pass complete short middle to Michael Thomas for 5 yards (tackle by Rock Ya-Sin),3.200,2.570
1,7:32,4,2,IND 15,0,3,Wil Lutz 33 yard field goal good,2.570,3.000
1,7:28,,,NOR 35,0,3,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,7:28,1,10,IND 25,0,3,Jacoby Brissett pass complete deep middle to Dontrelle Inman for 22 yards (tackle by Chauncey Gardner-Johnson),0.610,2.060
1,6:48,1,10,IND 47,0,3,Marlon Mack right tackle for no gain (tackle by Chauncey Gardner-Johnson),2.060,1.520
1,6:12,2,10,IND 47,0,3,Marlon Mack left guard for 5 yards (tackle by Malcom Brown and Chauncey Gardner-Johnson),1.520,1.490
1,5:27,3,5,NOR 48,0,3,Jacoby Brissett pass complete short left to Zach Pascal for 7 yards (tackle by Eli Apple),1.490,2.850
1,4:51,1,10,NOR 41,0,3,Marlon Mack left guard for 2 yards (tackle by Chauncey Gardner-Johnson),2.850,2.580
1,4:10,2,8,NOR 39,0,3,Jacoby Brissett pass incomplete short right intended for T.Y. Hilton,2.580,1.880
1,4:06,3,8,NOR 39,0,3,Jacoby Brissett pass incomplete short left intended for Jack Doyle (defended by Demario Davis),1.880,0.660
1,4:02,4,8,NOR 39,0,3,Rigoberto Sanchez punts 29 yards downed by George Odum,0.660,0.380
1,3:54,1,10,NOR 10,0,3,Alvin Kamara left guard for 2 yards (tackle by Margus Hunt),-0.380,-0.630
1,3:19,2,8,NOR 12,0,3,Drew Brees pass complete deep middle to Michael Thomas for 23 yards (tackle by Khari Willis),-0.630,1.270
1,2:42,1,10,NOR 35,0,3,Drew Brees pass complete short left to Latavius Murray for 10 yards (tackle by Anthony Walker),1.270,1.930
1,2:00,1,10,NOR 45,0,3,Alvin Kamara left guard for 6 yards (tackle by Rock Ya-Sin),1.930,2.190
1,1:21,2,4,IND 49,0,3,Drew Brees pass complete short right to Michael Thomas for 4 yards (tackle by Rolan Milligan),2.190,2.590
1,0:50,1,10,IND 45,0,3,Alvin Kamara left end for 2 yards (tackle by Rock Ya-Sin and Anthony Walker),2.590,2.310
1,0:13,2,8,IND 43,0,3,Drew Brees pass complete short right to Alvin Kamara for 6 yards (tackle by Anthony Walker and Rolan Milligan),2.310,2.410
Quarter,Time,Down,ToGo,Location,IND,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,IND 37,0,3,"Drew Brees pass incomplete short right intended for Michael Thomas. Penalty on Rock Ya-Sin: Defensive Holding, 5 yards (no play)",2.410,3.450
2,14:55,1,10,IND 32,0,3,Latavius Murray right guard for -1 yards (tackle by Denico Autry),3.450,2.770
2,14:17,2,11,IND 33,0,3,Drew Brees pass incomplete short right intended for Latavius Murray,2.770,2.080
2,14:12,3,11,IND 33,0,3,Drew Brees pass complete short right to Jared Cook for 18 yards (tackle by Malik Hooker and Rock Ya-Sin),2.080,4.580
2,13:26,1,10,IND 15,0,3,Latavius Murray left end for no gain (tackle by Khari Willis),4.580,3.950
2,12:43,2,10,IND 15,0,9,"Drew Brees pass complete short right to Michael Thomas for 15 yards, touchdown",3.950,7.000
2,12:37,,,IND 15,0,10,Wil Lutz kicks extra point good,0.000,0.000
2,12:37,,,NOR 35,0,10,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,12:37,1,10,IND 25,0,10,Jacoby Brissett pass incomplete short right,0.610,0.060
2,12:34,2,10,IND 25,0,10,Jacoby Brissett pass incomplete short left intended for Jordan Wilkins,0.060,-0.620
2,12:31,3,10,IND 25,0,10,Jacoby Brissett pass incomplete short left intended for Jack Doyle,-0.620,-1.700
2,12:27,4,10,IND 25,0,10,"Rigoberto Sanchez punts 50 yards out of bounds. Penalty on Justin Hardee: Offensive Holding, 10 yards",-1.700,0.220
