Unnamed: 0,TEN,IND
First Downs,24,23
Rush-Yds-TDs,33-142-0,27-88-2
Cmp-Att-Yd-TD-INT,24-43-241-2-1,24-37-270-1-0
Sacked-Yards,1-8,0-0
Net Pass Yards,233,270
Total Yards,375,358
Fumbles-Lost,3-1,0-0
Turnovers,2,0
Penalties-Yards,4-50,5-40
Third Down Conv.,8-15,9-14
Fourth Down Conv.,0-3,0-0
Time of Possession,32:59,27:01
