Quarter,Time,Tm,Detail,TEN,IND
1.0,13:02,Colts,Joseph Addai 8 yard rush (Matt Stover kick),0,7
,6:34,Titans,Rob Bironas 20 yard field goal,3,7
2.0,11:42,Colts,Joseph Addai 1 yard rush (Matt Stover kick),3,14
,1:55,Colts,Austin Collie 4 yard pass from Peyton Manning (Matt Stover kick),3,21
,0:20,Titans,Kenny Britt 6 yard pass from Vince Young (Rob Bironas kick),10,21
,0:00,Colts,Matt Stover 43 yard field goal,10,24
4.0,3:14,Colts,Matt Stover 36 yard field goal,10,27
,1:23,Titans,Bo Scaife 17 yard pass from Vince Young (Rob Bironas kick),17,27
