Quarter,Time,Down,ToGo,Location,TAM,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Sam Martin kicks off 58 yards, returned by Dare Ogunbowale for 23 yards (tackle by Miles Killebrew)",0.000,0.940
1,14:55,1,10,TAM 30,0,0,Jameis Winston pass complete short right to Ronald Jones for 26 yards (tackle by Tracy Walker),0.940,2.650
1,14:20,1,10,DET 44,0,0,Ronald Jones up the middle for 2 yards (tackle by Trey Flowers),2.650,2.380
1,13:37,2,8,DET 42,0,0,"Ronald Jones left tackle for 2 yards (tackle by Rashaan Melvin). Penalty on Josh Wells: Offensive Holding, 10 yards (no play)",2.380,1.030
1,13:12,2,18,TAM 48,0,0,"Jameis Winston pass complete short left to Scott Miller for 5 yards (tackle by Will Harris). Penalty on Josh Wells: Illegal Block Above the Waist, 10 yards",1.030,0.350
1,12:44,2,23,TAM 43,0,0,Jameis Winston pass short middle intended for Ronald Jones is intercepted by Jahlani Tavai at TB-46 and returned for 2 yards,0.350,-2.650
1,12:36,1,10,TAM 44,0,0,Wes Hills up the middle for -3 yards (tackle by William Gholston),2.650,1.710
1,12:02,2,13,TAM 47,0,0,David Blough pass incomplete short left intended for Chris Lacy (defended by Carlton Davis),1.710,1.030
1,11:57,3,13,TAM 47,0,0,David Blough pass incomplete short left intended for Logan Thomas,1.030,0.130
1,11:52,4,13,TAM 47,0,0,"Sam Martin punts 31 yards, fair catch by Justin Watson at TB-16 Penalty on DET: Illegal Formation, 5 yards",0.130,-0.340
1,11:44,1,10,TAM 21,0,0,Jameis Winston pass complete short left to Cameron Brate for 9 yards (tackle by Rashaan Melvin),0.340,1.020
1,11:23,2,1,TAM 30,0,0,Ronald Jones up the middle for 1 yard (tackle by Damon Harrison),1.020,1.000
1,10:48,1,10,TAM 31,0,0,Ronald Jones right tackle for 2 yards (tackle by Tavon Wilson),1.000,0.730
1,10:10,2,8,TAM 33,0,0,Jameis Winston pass complete short right to Breshad Perriman for 22 yards (tackle by Amani Oruwariye),0.730,2.590
1,9:42,1,10,DET 45,0,0,Ronald Jones left end for 4 yards (tackle by Rashaan Melvin and Jahlani Tavai),2.590,2.580
1,8:59,2,6,DET 41,0,0,Jameis Winston pass complete short middle to Justin Watson for 5 yards (tackle by Tavon Wilson),2.580,2.540
1,8:04,3,1,DET 36,0,0,Jameis Winston up the middle for 2 yards (tackle by John Atkins),2.540,3.310
1,7:30,1,10,DET 34,6,0,"Jameis Winston pass complete deep middle to Breshad Perriman for 34 yards, touchdown",3.310,7.000
1,7:25,,,DET 15,7,0,Matt Gay kicks extra point good,0.000,0.000
1,7:25,,,TAM 35,7,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,7:25,1,10,DET 25,7,0,"Wes Hills up the middle for 3 yards (tackle by Lavonte David). Penalty on William Gholston: Illegal Use of Hands, 5 yards",0.610,1.140
1,7:09,1,10,DET 33,7,0,David Blough pass complete short left to Wes Hills for 2 yards (tackle by Jason Pierre-Paul),1.140,0.860
1,6:31,2,8,DET 35,7,0,Ty Johnson left end for 2 yards (tackle by Carlton Davis and Ndamukong Suh),0.860,0.430
1,5:49,3,6,DET 37,7,0,David Blough pass incomplete short left intended for Kenny Golladay,0.430,-0.910
1,5:46,4,6,DET 37,7,0,"Sam Martin punts 62 yards, muffed catch by Jamel Dean",-0.910,0.380
1,5:34,1,10,TAM 1,7,0,Jameis Winston pass incomplete deep middle intended for Chris Godwin,-0.380,-0.780
1,5:29,2,10,TAM 1,7,0,Peyton Barber up the middle for 4 yards (tackle by Trey Flowers),-0.780,-0.950
1,4:47,3,6,TAM 5,7,0,Jameis Winston pass complete short right to Scott Miller for 11 yards,-0.950,-0.140
1,4:19,1,10,TAM 16,7,0,Jameis Winston pass complete deep right to Chris Godwin for 51 yards (tackle by Tavon Wilson),-0.140,3.380
1,3:49,1,10,DET 33,13,0,"Jameis Winston pass complete deep right to Scott Miller for 33 yards, touchdown",3.380,7.000
1,3:42,,,DET 15,14,0,Matt Gay kicks extra point good,0.000,0.000
1,3:42,,,TAM 35,14,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,3:42,1,10,DET 25,14,0,David Blough up the middle for 3 yards (tackle by Carl Nassib),0.610,0.470
1,3:03,2,7,DET 28,14,0,Ty Johnson right tackle for 1 yard (tackle by Shaquil Barrett),0.470,-0.100
1,2:19,3,6,DET 29,14,0,David Blough sacked by Shaquil Barrett for -7 yards,-0.100,-1.900
1,1:45,4,13,DET 22,14,0,"Sam Martin punts 53 yards, fair catch by Justin Watson at TB-25",-1.900,-0.610
1,1:36,1,10,TAM 25,14,0,Peyton Barber up the middle for 3 yards (tackle by Jalen Reeves-Maybin),0.610,0.470
1,0:52,2,7,TAM 28,14,0,Jameis Winston pass complete deep left to O.J. Howard for 25 yards (tackle by Amani Oruwariye and Will Harris),0.470,2.460
1,0:17,1,10,DET 47,14,0,Ronald Jones right end for -3 yards (tackle by Devon Kennard),2.460,1.510
Quarter,Time,Down,ToGo,Location,TAM,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,13,TAM 50,14,0,Jameis Winston pass complete short left to Chris Godwin for 6 yards (tackle by Romeo Okwara and Tracy Walker),1.510,1.620
2,14:26,3,7,DET 44,14,0,Jameis Winston pass incomplete short left intended for O.J. Howard (defended by Rashaan Melvin),1.620,0.330
2,14:22,4,7,DET 44,14,0,"Bradley Pinion punts 31 yards, fair catch by Danny Amendola at DET-13",0.330,0.320
2,14:15,1,10,DET 13,14,0,Wes Hills left end for 3 yards (tackle by Ndamukong Suh),-0.320,-0.440
2,13:37,2,7,DET 16,14,0,Wes Hills right end for -2 yards (tackle by William Gholston),-0.440,-1.300
