Quarter,Time,Down,ToGo,Location,JAX,STL,Detail,EPB,EPA
1,,,,JAX 2,7,14,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,7,14,"Jeff Wilkins kicks off 65 yards, returned by Derrick Wimbush for 40 yards (tackle by Brandon Green)",0.000,1.930
1,10:45,1,10,JAX 45,7,14,"Byron Leftwich pass complete to Alvin Pearman for 2 yards (tackle by Chris Claiborne). Alvin Pearman fumbles (forced by Chris Claiborne), recovered by Mike Furrey at STL-44 (tackle by Chris Naeole)",1.930,-1.860
1,10:35,1,10,STL 44,7,14,Steven Jackson right end for -2 yards (tackle by Mike Peterson and Reggie Hayward),1.860,1.050
1,10:06,2,12,STL 42,7,14,Steven Jackson up the middle for 17 yards (tackle by Deke Cooper),1.050,2.850
1,9:27,1,10,JAX 41,7,14,"Jamie Martin pass incomplete intended for Kevin Curtis. Penalty on Kenny Wright: Defensive Holding, 5 yards (no play)",2.850,3.180
1,9:19,,,,7,14,Timeout #1 by St. Louis Rams,0.000,3.180
1,9:19,1,10,JAX 36,7,14,"Penalty on Kevin Curtis: False Start, 5 yards (no play)",3.180,2.850
1,9:19,1,15,JAX 41,7,14,Steven Jackson right end for 8 yards (tackle by Akin Ayodele),2.850,3.040
1,8:43,2,7,JAX 33,7,14,Jamie Martin pass incomplete intended for Kevin Curtis is intercepted by Rashean Mathis,3.040,-0.280
1,8:31,1,10,JAX 20,7,14,Fred Taylor left end for 2 yards (tackle by Chris Claiborne),0.280,0.000
1,7:49,2,8,JAX 22,7,14,"Byron Leftwich pass incomplete intended for Jimmy Smith. Penalty on Tyoka Jackson: Defensive Offside, 5 yards (no play)",0.000,0.680
1,7:43,2,3,JAX 27,7,14,Fred Taylor left guard for 1 yard (tackle by Ryan Pickett),0.680,0.100
1,7:03,3,2,JAX 28,7,14,Byron Leftwich pass complete to Matt Jones for 9 yards (tackle by Corey Ivy),0.100,1.400
1,6:21,1,10,JAX 37,7,14,Byron Leftwich pass complete to Jimmy Smith for 18 yards (tackle by Corey Ivy),1.400,2.590
1,5:38,1,10,STL 45,7,14,"Byron Leftwich pass complete to Fred Taylor for 3 yards (tackle by Corey Ivy). Penalty on Brad Meester: Illegal Block Above the , 10 yards",2.590,2.130
1,5:15,1,17,JAX 48,7,14,Fred Taylor left tackle for 13 yards (tackle by Mike Furrey),2.130,2.850
1,4:32,2,4,STL 39,7,14,Fred Taylor up the middle for 3 yards (tackle by Jimmy Kennedy),2.850,2.540
1,3:53,3,1,STL 36,7,14,Greg Jones right tackle for 2 yards (tackle by Chris Claiborne and Dexter Coakley),2.540,3.310
1,3:07,1,10,STL 34,7,14,Greg Jones left end for no gain (tackle by Tyoka Jackson),3.310,2.770
1,2:24,2,10,STL 34,7,14,Byron Leftwich up the middle for 9 yards (tackle by Corey Ivy),2.770,3.270
1,1:44,3,1,STL 25,7,14,Greg Jones up the middle for no gain (tackle by Brandon Green),3.270,1.950
1,1:12,4,1,STL 25,7,14,Byron Leftwich pass incomplete intended for Jimmy Smith,1.950,-0.610
1,1:03,1,10,STL 25,7,14,Steven Jackson right end for 1 yard (tackle by Mike Peterson and Daryl Smith),0.610,0.200
1,0:26,2,9,STL 26,7,14,Steven Jackson up the middle for 2 yards (tackle by Daryl Smith),0.200,-0.230
Quarter,Time,Down,ToGo,Location,JAX,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,STL 28,7,14,"Penalty on Alex Barron: False Start, 5 yards (no play)",-0.230,-0.890
2,15:00,3,12,STL 23,7,14,Jamie Martin pass incomplete intended for Marshall Faulk,-0.890,-1.830
2,14:54,4,12,STL 23,7,14,"Bryan Barker punts 51 yards, returned by Alvin Pearman for 9 yards (tackle by Trev Faulk)",-1.830,-1.270
2,14:44,1,10,JAX 35,7,14,Fred Taylor up the middle for -1 yards (tackle by Ryan Pickett),1.270,0.590
2,14:06,2,11,JAX 34,7,14,Fred Taylor up the middle for 8 yards (tackle by Brandon Green and Mike Furrey),0.590,0.960
2,13:26,3,3,JAX 42,7,14,Byron Leftwich pass incomplete intended for Matt Jones,0.960,-0.590
2,13:18,4,3,JAX 42,7,14,"Chris Hanson punts 47 yards, fair catch by Terry Fair",-0.590,0.370
2,13:10,1,10,STL 11,7,14,Steven Jackson up the middle for no gain (tackle by Deke Cooper),-0.370,-0.780
2,12:33,2,10,STL 11,7,14,"Penalty on Alex Barron: False Start, 5 yards (no play)",-0.780,-1.150
2,12:17,2,15,STL 6,7,14,Steven Jackson up the middle for no gain (tackle by Daryl Smith),-1.150,-2.010
2,11:41,3,15,STL 6,7,14,Jamie Martin pass complete to Steven Jackson for 2 yards (tackle by Mike Peterson),-2.010,-2.490
2,10:59,4,13,STL 8,7,14,"Penalty on Anthony Hargrove: False Start, 4 yards (no play)",-2.490,-2.490
2,10:50,4,17,STL 4,7,14,"Bryan Barker punts 46 yards, returned by Alvin Pearman for 17 yards (tackle by Drew Wahlroos)",-2.490,-3.380
2,10:33,1,10,STL 33,7,14,Byron Leftwich pass incomplete intended for George Wrighster (defended by Ryan Pickett),3.380,2.840
2,10:30,2,10,STL 33,7,14,Fred Taylor right guard for 2 yards (tackle by Ryan Pickett),2.840,2.410
2,9:47,3,8,STL 31,7,14,Byron Leftwich pass incomplete intended for Jimmy Smith,2.410,1.320
2,9:41,4,8,STL 31,7,14,Josh Scobee 49 yard field goal no good,1.320,-1.530
2,9:36,1,10,STL 39,7,14,Steven Jackson left tackle for 4 yards (tackle by Mike Peterson and Daryl Smith),1.530,1.530
2,9:05,2,6,STL 43,7,14,Steven Jackson left end for 4 yards (tackle by Mike Peterson),1.530,1.360
2,8:28,3,2,STL 47,7,14,Jamie Martin pass complete to Kevin Curtis for 17 yards (tackle by Deon Grant),1.360,3.180
2,7:40,1,10,JAX 36,7,14,Marshall Faulk up the middle for no gain (tackle by John Henderson),3.180,2.640
2,6:59,2,10,JAX 36,7,14,Jamie Martin pass incomplete intended for Kevin Curtis is intercepted by Rashean Mathis at JAX-17 and returned for 20 yards,2.640,-1.400
2,6:48,1,10,JAX 37,7,14,Byron Leftwich pass complete to Jimmy Smith for 9 yards (tackle by DeJuan Groce),1.400,2.070
2,6:12,2,1,JAX 46,7,14,Fred Taylor left tackle for -2 yards (tackle by DeJuan Groce),2.070,1.090
2,5:29,,,,7,14,Timeout #1 by Jacksonville Jaguars,0.000,1.090
2,5:29,3,3,JAX 44,7,14,Byron Leftwich pass complete to Ernest Wilford for 28 yards (tackle by Mike Furrey),1.090,3.710
2,4:53,1,10,STL 28,7,14,Fred Taylor right end for 14 yards (tackle by Mike Furrey),3.710,4.650
2,4:17,1,10,STL 14,7,14,Fred Taylor left end for 3 yards (tackle by Pisa Tinoisamoa),4.650,4.520
2,3:33,2,7,STL 11,7,14,"Penalty on Vince Manuwai: False Start, 5 yards (no play)",4.520,3.720
2,3:07,2,12,STL 16,7,14,Byron Leftwich pass complete to Fred Taylor for -4 yards (tackle by Dexter Coakley and Brandon Green),3.720,2.610
2,2:24,3,16,STL 20,13,14,"Byron Leftwich pass complete to Ernest Wilford for 20 yards, touchdown",2.610,7.000
,,,,,,,"STL challenged the ruling, and the play was upheld.",,
2,,,,STL 2,14,14,Josh Scobee kicks extra point good,0.000,0.000
2,,,,JAX 30,14,14,"Josh Scobee kicks off 63 yards, returned by Terry Fair for 19 yards (tackle by Tracy White)",0.000,0.670
2,2:10,1,10,STL 26,14,14,Jamie Martin pass complete to Shaun McDonald for 18 yards (tackle by Rashean Mathis),0.670,1.860
2,2:00,1,10,STL 44,14,14,Marshall Faulk left tackle for 11 yards (tackle by Deke Cooper),1.860,2.590
2,1:39,1,10,JAX 45,14,14,Jamie Martin pass incomplete intended for Shaun McDonald,2.590,2.040
2,1:34,2,10,JAX 45,14,14,Jamie Martin pass complete to Shaun McDonald for 23 yards (tackle by Deon Grant),2.040,4.110
2,1:04,1,10,JAX 22,14,14,Marshall Faulk up the middle for 2 yards (tackle by Mike Peterson and John Henderson),4.110,3.830
2,0:48,2,8,JAX 20,14,14,"Jamie Martin pass incomplete intended for Dane Looker. Penalty on Alex Barron: Illegal Use of Hands, 10 yards (no play)",3.830,2.480
2,0:43,2,18,JAX 30,14,14,"Jamie Martin pass complete to Alex Barron for no gain. Penalty on Alex Barron: Illegal Touch Pass, 5 yards (no play)",2.480,1.810
2,0:35,2,23,JAX 35,14,14,"Penalty on Alex Barron: False Start, 5 yards (no play)",1.810,1.130
2,0:35,2,28,JAX 40,14,14,Jamie Martin pass complete to Dane Looker for 9 yards (tackle by Rashean Mathis),1.130,1.690
2,0:28,3,19,JAX 31,14,14,Marshall Faulk left guard for 8 yards (tackle by Deke Cooper),1.690,1.930
2,0:05,,,,14,14,Timeout #3 by St. Louis Rams,0.000,1.930
2,0:05,4,11,JAX 23,14,17,Jeff Wilkins 41 yard field goal good. Penalty on Rashean Mathis: Defensive Offside (Declined),1.930,3.000
Quarter,Time,Down,ToGo,Location,JAX,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 30,14,17,"Josh Scobee kicks off 67 yards, returned by Terry Fair for 14 yards (tackle by Nick Sorensen)",0.000,-0.060
3,14:56,1,10,STL 17,14,17,Steven Jackson left tackle for 36 yards (tackle by Deke Cooper),-0.060,2.460
3,14:21,1,10,JAX 47,14,17,Steven Jackson right tackle for 4 yards (tackle by John Henderson),2.460,2.450
3,13:47,2,6,JAX 43,14,17,Steven Jackson right end for 2 yards (tackle by Mike Peterson and John Henderson),2.450,2.010
3,13:04,3,4,JAX 41,14,17,Jamie Martin pass incomplete intended for Dane Looker is intercepted by Deon Grant at JAX-14,2.010,0.280
3,12:58,1,10,JAX 14,14,17,Fred Taylor up the middle for 14 yards (tackle by Corey Ivy),-0.280,0.810
3,12:32,1,10,JAX 28,14,17,Fred Taylor up the middle for 8 yards (tackle by Chris Claiborne),0.810,1.340
3,11:49,2,2,JAX 36,14,17,Greg Jones right tackle for no gain (tackle by Ryan Pickett),1.340,0.630
3,11:05,3,2,JAX 36,14,17,Byron Leftwich pass complete to Matt Jones for 7 yards (tackle by Corey Ivy),0.630,1.800
3,10:29,1,10,JAX 43,14,17,Fred Taylor up the middle for no gain (tackle by Pisa Tinoisamoa),1.800,1.250
3,9:51,2,10,JAX 43,14,17,Byron Leftwich pass incomplete intended for Reggie Williams,1.250,0.560
3,9:43,3,10,JAX 43,14,17,Byron Leftwich pass incomplete intended for Reggie Williams,0.560,-0.520
3,9:37,4,10,JAX 43,14,17,Chris Hanson punts 30 yards,-0.520,-0.740
3,9:30,1,10,STL 27,14,17,Jamie Martin sacked by Mike Peterson for -7 yards,0.740,-0.750
3,9:00,2,17,STL 20,14,17,Steven Jackson up the middle for 6 yards (tackle by Mike Peterson),-0.750,-0.620
3,8:20,3,11,STL 26,14,17,Jamie Martin pass incomplete intended for Kevin Curtis,-0.620,-1.630
3,8:13,4,11,STL 26,14,17,"Bryan Barker punts 40 yards, returned by Alvin Pearman for no gain",-1.630,-1.200
3,8:01,1,10,JAX 34,14,17,Byron Leftwich sacked by Chris Claiborne and Ryan Pickett for -3 yards,1.200,0.250
3,7:27,2,13,JAX 31,14,17,Fred Taylor right tackle for 7 yards (tackle by Adam Archuleta),0.250,0.500
3,6:42,3,6,JAX 38,14,17,Alvin Pearman up the middle for 45 yards (tackle by DeJuan Groce),0.500,4.440
3,5:54,1,10,STL 17,14,17,Fred Taylor right guard for 2 yards (tackle by Brian Howard),4.440,4.150
3,5:15,2,8,STL 15,20,17,"Byron Leftwich pass complete to Matt Jones for 15 yards, touchdown",4.150,7.000
3,,,,STL 2,21,17,Josh Scobee kicks extra point good,0.000,0.000
3,,,,JAX 30,21,17,"Josh Scobee kicks off 62 yards, returned by Terry Fair for 17 yards (tackle by Pat Thomas)",0.000,0.610
3,5:02,1,10,STL 25,21,17,Jamie Martin pass incomplete intended for Steven Jackson,0.610,0.060
3,4:55,2,10,STL 25,21,17,Steven Jackson up the middle for 12 yards (tackle by Rashean Mathis),0.060,1.400
3,4:28,1,10,STL 37,21,17,Jamie Martin pass complete to Brandon Manumaleuna for 3 yards (tackle by Daryl Smith),1.400,1.260
3,3:47,2,7,STL 40,21,17,Jamie Martin pass complete to Brandon Manumaleuna for 4 yards (tackle by Deke Cooper),1.260,1.090
3,3:03,3,3,STL 44,21,17,Jamie Martin pass complete to Dane Looker for 6 yards (tackle by Rashean Mathis),1.090,2.260
3,2:36,1,10,STL 50,21,17,Steven Jackson left guard for 5 yards (tackle by Marcellus Wiley and Akin Ayodele),2.260,2.390
3,2:03,2,5,JAX 45,21,17,Jamie Martin pass complete to Marshall Faulk for 3 yards (tackle by Rashean Mathis),2.390,2.080
3,1:21,3,2,JAX 42,21,17,Steven Jackson left tackle for -1 yards (tackle by Mike Peterson),2.080,0.400
3,0:46,4,3,JAX 43,21,17,"Bryan Barker punts 43 yards, touchback",0.400,-0.280
3,0:35,1,10,JAX 20,21,17,"Penalty on Kyle Brady: False Start, 5 yards (no play)",0.280,-0.310
3,0:35,1,15,JAX 15,21,17,Byron Leftwich pass complete to Ernest Wilford for 27 yards (tackle by Mike Furrey),-0.310,1.730
Quarter,Time,Down,ToGo,Location,JAX,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,JAX 42,21,17,Byron Leftwich pass incomplete intended for Ernest Wilford is intercepted by Mike Furrey at STL-33 and returned for 37 yards,1.730,-3.580
4,14:45,1,10,JAX 30,21,17,Steven Jackson left end for 6 yards (tackle by Akin Ayodele),3.580,3.840
4,14:17,2,4,JAX 24,21,17,Steven Jackson left end for 7 yards (tackle by Daryl Smith),3.840,4.440
4,13:34,1,10,JAX 17,21,17,Steven Jackson right end for -2 yards (tackle by Reggie Hayward),4.440,3.600
4,12:54,2,12,JAX 19,21,23,"Jamie Martin pass complete to Steven Jackson for 19 yards, touchdown",3.600,7.000
4,,,,JAX 2,21,24,Jeff Wilkins kicks extra point good,0.000,0.000
4,,,,STL 30,21,24,"Jeff Wilkins kicks off 66 yards, returned by Derrick Wimbush for 24 yards (tackle by Madison Hedgecock)",0.000,0.810
4,12:38,1,10,JAX 28,21,24,Fred Taylor right tackle for 3 yards (tackle by Damione Lewis),0.810,0.670
4,11:59,2,7,JAX 31,21,24,Byron Leftwich pass complete to Ernest Wilford for 37 yards (tackle by Ronald Bartell),0.670,3.450
4,11:34,1,10,STL 32,21,24,Fred Taylor right tackle for -5 yards (tackle by Brandon Chillar),3.450,2.230
4,10:54,2,15,STL 37,21,24,Byron Leftwich pass complete to Kyle Brady for 4 yards (tackle by Chris Claiborne),2.230,2.080
4,10:08,3,11,STL 33,21,24,Byron Leftwich pass complete to Matt Jones for 7 yards (tackle by Corey Ivy),2.080,1.810
4,9:30,4,4,STL 26,21,24,Josh Scobee 44 yard field goal no good,1.810,-1.200
4,9:25,1,10,STL 34,21,24,Jamie Martin pass complete to Kevin Curtis for 5 yards (tackle by Kenny Wright),1.200,1.330
4,8:53,2,5,STL 39,21,24,Steven Jackson left tackle for 5 yards (tackle by Rob Meier),1.330,1.860
4,8:17,1,10,STL 44,21,24,Steven Jackson right end for 5 yards (tackle by Terry Cousin),1.860,1.990
4,7:47,2,5,STL 49,21,24,Marshall Faulk right end for -2 yards (tackle by Reggie Hayward),1.990,1.030
4,7:07,3,7,STL 47,21,24,Jamie Martin pass complete to Dane Looker for 8 yards (tackle by Terry Cousin),1.030,2.590
4,6:28,1,10,JAX 45,21,24,Marshall Faulk up the middle for 4 yards (tackle by Daryl Smith),2.590,2.580
4,5:46,2,6,JAX 41,21,24,Steven Jackson left guard for 2 yards (tackle by Daryl Smith),2.580,2.150
4,5:01,3,4,JAX 39,21,24,Jamie Martin pass incomplete intended for Kevin Curtis (defended by Reggie Hayward),2.150,0.660
4,4:52,4,4,JAX 39,21,24,"Bryan Barker punts 24 yards, fair catch by Alvin Pearman. Penalty on Anthony Hargrove: Interference with Opport, 15 yards",0.660,-0.940
4,4:45,1,10,JAX 30,21,24,Fred Taylor up the middle for -2 yards (tackle by Corey Ivy),0.940,0.120
4,4:05,2,12,JAX 28,21,24,Byron Leftwich pass complete to Alvin Pearman for -7 yards (tackle by Ryan Pickett),0.120,-1.480
4,3:20,3,19,JAX 21,21,24,Byron Leftwich pass complete to Ernest Wilford for 18 yards (tackle by Mike Furrey),-1.480,-0.780
4,2:27,4,1,JAX 39,21,24,Byron Leftwich pass complete to Derrick Wimbush for 5 yards (tackle by Dexter Coakley),-0.780,1.860
4,2:00,1,10,JAX 44,21,24,Byron Leftwich sacked by Brandon Green for -4 yards,1.860,0.780
4,1:48,,,,21,24,Timeout #1 by Jacksonville Jaguars,0.000,0.780
4,1:48,2,14,JAX 40,21,24,Byron Leftwich pass complete to Ernest Wilford for 15 yards (tackle by Brandon Chillar),0.780,2.590
4,1:41,1,10,STL 45,21,24,Byron Leftwich pass incomplete intended for Jimmy Smith (defended by DeJuan Groce),2.590,2.040
4,1:36,2,10,STL 45,21,24,Byron Leftwich pass incomplete intended for Matt Jones (defended by Brandon Chillar),2.040,1.360
4,1:31,3,10,STL 45,21,24,Byron Leftwich pass incomplete intended for Matt Jones,1.360,0.270
4,1:26,4,10,STL 45,21,24,Byron Leftwich pass incomplete intended for Matt Jones (defended by Ronald Bartell),0.270,-1.930
4,1:21,1,10,STL 45,21,24,Steven Jackson left guard for 51 yards (tackle by Akin Ayodele),1.930,6.280
4,1:01,,,,21,24,Timeout #2 by Jacksonville Jaguars,0.000,6.280
4,1:01,1,4,JAX 4,21,24,Steven Jackson right guard for no gain (tackle by Akin Ayodele),6.280,5.340
4,0:56,,,,21,24,Timeout #3 by Jacksonville Jaguars,0.000,5.340
4,0:56,2,4,JAX 4,21,24,Jamie Martin kneels for -1 yards (tackle by John Henderson),5.340,4.260
4,0:20,3,5,JAX 5,21,24,Jamie Martin kneels for -1 yards (tackle by Marcus Stroud),4.260,2.990
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
