Quarter,Time,Tm,Detail,JAX,STL
1.0,12:47,Rams,Brandon Chillar 29 yard blocked punt return (Jeff Wilkins kick),0,7
,12:24,Jaguars,Fred Taylor 71 yard rush (Josh Scobee kick),7,7
,10:54,Rams,Kevin Curtis 83 yard pass from Jamie Martin (Jeff Wilkins kick),7,14
2.0,2:16,Jaguars,Ernest Wilford 20 yard pass from Byron Leftwich (Josh Scobee kick),14,14
,0:00,Rams,Jeff Wilkins 41 yard field goal,14,17
3.0,5:07,Jaguars,Matt Jones 15 yard pass from Byron Leftwich (Josh Scobee kick),21,17
4.0,12:45,Rams,Steven Jackson 19 yard pass from Jamie Martin (Jeff Wilkins kick),21,24
