Unnamed: 0,CIN,BAL
First Downs,23,13
Rush-Yds-TDs,30-119-2,28-105-2
Cmp-Att-Yd-TD-INT,24-46-373-1-3,17-27-270-2-1
Sacked-Yards,2-9,1-2
Net Pass Yards,364,268
Total Yards,483,373
Fumbles-Lost,1-0,3-0
Turnovers,3,1
Penalties-Yards,6-43,6-69
Third Down Conv.,5-15,5-14
Fourth Down Conv.,0-1,0-0
Time of Possession,32:53,27:07
