Quarter,Time,Tm,Detail,DAL,TEN
1.0,0:13,Cowboys,Dan Bailey 48 yard field goal,3,0
2.0,12:54,Cowboys,DeMarco Murray 3 yard rush (Dan Bailey kick),10,0
,1:02,Cowboys,Dan Bailey 44 yard field goal,13,0
,0:04,Cowboys,Dan Bailey 51 yard field goal,16,0
3.0,10:57,Titans,Ryan Succop 47 yard field goal,16,3
,7:45,Titans,Delanie Walker 61 yard pass from Jake Locker (Ryan Succop kick),16,10
,2:09,Cowboys,Dez Bryant 3 yard pass from Tony Romo (Dan Bailey kick),23,10
4.0,8:15,Cowboys,Dan Bailey 48 yard field goal,26,10
